Reporting Area,Shiga toxin-producing  Escherichia coli  *,Shigellosis,Smallpox,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Streptococcal toxic shock syndrome
Reporting Area,Shiga toxin-producing  Escherichia coli  *,Shigellosis,Smallpox,Total,Confirmed,Probable,Streptococcal toxic shock syndrome
United States,8169,21097,—,4269,154,4115,283
New England,347,283,—,26,—,26,46
Connecticut,127,51,—,6,—,6,26
Maine,37,2,—,4,—,4,8
Massachusetts,125,183,—,8,—,8,6
New Hampshire,23,13,—,2,—,2,1
Rhode Island,11,32,—,4,—,4,3
Vermont,24,2,—,2,—,2,2
Middle Atlantic,770,1553,—,123,5,118,16
New Jersey,155,299,—,64,2,62,7
New York (excluding New York City),255,224,—,27,2,25,9
New York City,114,368,—,10,1,9,—
Pennsylvania,246,662,—,22,—,22,—
East North Central,1099,3409,—,164,5,159,110
Illinois,313,592,—,68,1,67,70
Indiana,101,291,—,40,—,40,27
Michigan,148,690,—,13,2,11,2
Ohio,264,1101,—,24,2,22,11
Wisconsin,273,735,—,19,—,19,—
West North Central,1427,2318,—,535,8,527,7
Iowa,298,425,—,11,—,11,N
Kansas,148,249,—,130,2,128,—
Minnesota,410,593,—,6,—,6,—
Missouri,334,830,—,350,5,345,6
Nebraska,123,177,—,31,—,31,—
North Dakota,31,16,—,1,—,1,—
South Dakota,83,28,—,6,1,5,1
South Atlantic,594,2825,—,970,89,881,33
Delaware,15,83,—,17,1,16,—
District of Columbia,7,23,—,4,—,4,—
Florida,99,753,—,12,3,9,N
Georgia,119,672,—,74,74,—,2
Maryland,74,151,—,1,—,1,—
North Carolina,79,520,—,482,6,476,21
South Carolina,39,253,—,54,4,50,2
Virginia,139,358,—,312,1,311,7
West Virginia,23,12,—,14,—,14,1
East South Central,331,855,—,1326,11,1315,6
Alabama,39,239,—,453,1,452,N
Kentucky,87,301,—,167,5,162,3
Mississippi,24,81,—,111,1,110,N
Tennessee,181,234,—,595,4,591,3
West South Central,1330,5632,—,1049,15,1034,1
Arkansas,108,154,—,821,6,815,1
Louisiana,28,418,—,17,—,17,—
Oklahoma,179,674,—,124,7,117,N
Texas,1015,4386,—,87,2,85,N
Mountain,891,1847,—,56,20,36,64
Arizona,148,1231,—,27,16,11,1
Colorado,235,192,—,4,—,4,5
Idaho,179,39,—,7,3,4,2
Montana,133,8,—,9,1,8,3
Nevada,55,61,—,4,—,4,19
New Mexico,48,234,—,—,—,—,—
Utah,78,78,—,4,—,4,32
Wyoming,15,4,—,1,—,1,2
Pacific,1380,2375,—,20,1,19,—
Alaska,14,8,—,N,N,N,N
California,890,2036,—,14,1,13,N
Hawaii,26,39,—,N,N,N,—
Oregon,191,101,—,6,—,6,N
Washington,259,191,—,—,—,—,N
Territories,—,37,—,—,—,—,—
American Samoa,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,14,—,N,N,N,—
Puerto Rico,—,23,—,N,N,N,N
U.S. Virgin Islands,—,—,—,—,—,—,—
