Reporting Area,Giardiasis,Gonorrhea,"Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease",Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Age <5 years,Age <5 years,Age <5 years,Age <5 years,Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Serotype b,Nontypeable,Unknown serotype,Non-b serotype,Hansen's disease
United States,15193,555608,5548,33,200,203,189,94
New England,1060,14073,296,3,8,—,6,3
Connecticut,221,3913,73,—,—,—,3,1
Maine,129,620,34,1,3,—,—,N
Massachusetts,551,7737,134,2,3,—,2,2
New Hampshire,114,513,26,—,1,—,—,—
Rhode Island,45,1087,18,—,1,—,—,—
Vermont,N,203,11,—,—,—,1,N
Middle Atlantic,2771,58782,851,6,23,35,11,10
New Jersey,377,9439,150,—,—,13,—,3
New York (excluding New York City),866,10620,271,4,8,9,5,N
New York City,975,23479,117,1,5,—,2,5
Pennsylvania,553,15244,313,1,10,13,4,2
East North Central,1853,83064,961,5,52,12,29,2
Illinois,N,23859,226,—,12,2,5,—
Indiana,192,11835,160,1,5,6,4,—
Michigan,560,15742,198,1,13,1,8,—
Ohio,423,23967,255,2,19,2,7,2
Wisconsin,678,7661,122,1,3,1,5,—
West North Central,1533,32817,396,2,2,38,12,2
Iowa,273,3758,3,1,—,—,—,1
Kansas,104,4545,57,—,2,—,2,1
Minnesota,643,6519,125,—,—,19,—,—
Missouri,242,13086,128,—,—,18,—,—
Nebraska,131,2653,45,—,—,—,8,—
North Dakota,36,966,17,—,—,1,—,N
South Dakota,104,1290,21,1,—,—,2,—
South Atlantic,2394,121061,1306,2,33,37,31,19
Delaware,29,1784,22,—,—,2,—,—
District of Columbia,56,4563,18,—,—,—,—,—
Florida,997,31683,286,2,14,10,10,17
Georgia,603,22667,252,—,2,14,16,—
Maryland,168,10978,128,—,6,—,—,1
North Carolina,N,22871,207,—,6,2,2,1
South Carolina,156,12623,167,—,—,5,—,—
Virginia,284,12596,172,—,5,1,1,—
West Virginia,101,1296,54,—,—,3,2,N
East South Central,191,41049,423,3,20,6,21,8
Alabama,191,11948,95,1,5,—,8,1
Kentucky,N,7417,87,1,3,5,5,—
Mississippi,N,9258,70,—,—,—,5,3
Tennessee,N,12426,171,1,12,1,3,4
West South Central,372,75217,655,3,28,10,33,26
Arkansas,151,6710,62,—,2,1,3,3
Louisiana,221,12017,62,1,2,1,4,—
Oklahoma,N,9081,128,—,3,2,7,N
Texas,N,47409,403,2,21,6,19,23
Mountain,1314,35713,433,6,26,8,29,2
Arizona,145,12502,135,2,14,1,12,1
Colorado,510,8478,94,—,6,—,4,—
Idaho,160,987,27,—,—,1,3,—
Montana,125,782,19,1,1,—,1,—
Nevada,46,5520,39,—,1,3,—,—
New Mexico,80,4489,48,3,—,2,3,—
Utah,204,2543,64,—,4,1,6,1
Wyoming,44,412,7,—,—,—,—,—
Pacific,3705,93832,227,3,8,57,17,22
Alaska,90,2189,23,2,1,—,9,2
California,2548,75348,55,—,—,55,—,3
Hawaii,53,1358,29,—,—,2,—,17
Oregon,345,5022,113,—,4,—,5,N
Washington,669,9915,7,1,3,—,3,N
Territories,22,805,13,—,—,2,—,14
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,202,4,—,—,—,—,14
Puerto Rico,22,588,9,—,—,2,—,—
U.S. Virgin Islands,—,15,—,—,—,—,—,—
