Reporting Area,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Q fever,Q fever,Q fever
Reporting Area,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Total,Acute,Chronic
"U.S. Residents, excluding U.S. Territories",1,—,—,4,212,178,34
New England,—,—,—,1,1,—,1
Connecticut,—,—,—,N,—,—,—
Maine,—,—,—,—,—,—,—
Massachusetts,—,—,—,1,—,—,—
New Hampshire,—,—,—,—,N,N,N
Rhode Island,—,—,—,—,1,—,1
Vermont,—,—,—,—,—,—,—
Middle Atlantic,—,—,—,—,17,13,4
New Jersey,—,—,—,—,3,2,1
New York (excluding New York City),—,—,—,—,3,3,—
New York City,—,—,—,—,1,—,1
Pennsylvania,—,—,—,—,10,8,2
East North Central,—,—,—,—,21,19,2
Illinois,—,—,—,—,9,8,1
Indiana,—,—,—,—,—,—,—
Michigan,—,—,—,—,5,5,—
Ohio,—,—,—,—,3,3,—
Wisconsin,—,—,—,—,4,3,1
West North Central,—,—,—,—,60,51,9
Iowa,—,—,—,—,18,14,4
Kansas,—,—,—,—,4,4,—
Minnesota,—,—,—,—,12,9,3
Missouri,—,—,—,—,8,8,—
Nebraska,—,—,—,—,5,5,—
North Dakota,—,—,—,—,2,2,—
South Dakota,—,—,—,—,11,9,2
South Atlantic,—,—,—,1,16,12,4
Delaware,—,—,—,—,—,—,—
District of Columbia,—,—,—,—,—,—,—
Florida,—,—,—,—,2,2,—
Georgia,—,—,—,—,—,—,—
Maryland,—,—,—,1,6,4,2
North Carolina,—,—,—,—,—,—,—
South Carolina,—,—,—,—,2,—,2
Virginia,—,—,—,—,6,6,—
West Virginia,—,—,—,—,—,—,—
East South Central,—,—,—,—,8,6,2
Alabama,—,—,—,—,2,2,—
Kentucky,—,—,—,—,1,—,1
Mississippi,—,—,—,—,1,1,—
Tennessee,—,—,—,—,4,3,1
West South Central,—,—,—,—,21,15,6
Arkansas,—,—,—,—,—,—,N
Louisiana,—,—,—,—,1,1,—
Oklahoma,—,—,—,—,1,1,—
Texas,—,—,—,N,19,13,6
Mountain,1,—,—,1,21,15,6
Arizona,—,—,—,1,6,5,1
Colorado,—,—,—,—,5,3,2
Idaho,—,—,—,—,4,3,1
Montana,—,—,—,—,2,2,—
Nevada,—,—,—,—,2,1,1
New Mexico,1,—,—,—,1,—,1
Utah,—,—,—,—,1,1,—
Wyoming,—,—,—,—,—,—,—
Pacific,—,—,—,1,47,47,—
Alaska,—,—,—,—,—,—,—
California,—,—,—,—,39,39,—
Hawaii,—,—,—,—,—,—,—
Oregon,—,—,—,—,5,5,—
Washington,—,—,—,1,3,3,—
Territories,—,—,—,—,—,—,—
American Samoa,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,—,—,—,N,N,N
Puerto Rico,—,—,—,N,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—
