Reporting Area,Malaria,Measles  §,Measles  §,Measles  §
Reporting Area,Malaria,Total,Imported,Indigenous
"U.S. Residents, excluding U.S. Territories",1936,1275,83,1192
New England,121,10,3,7
Connecticut,9,4,—,4
Maine,15,2,—,2
Massachusetts,73,3,2,1
New Hampshire,8,1,1,—
Rhode Island,13,—,—,—
Vermont,3,—,—,—
Middle Atlantic,518,947,26,921
New Jersey,102,19,2,17
New York (excluding New York City),58,306,11,295
New York City,243,605,5,600
Pennsylvania,115,17,8,9
East North Central,183,57,7,50
Illinois,66,9,3,6
Indiana,22,1,—,1
Michigan,25,46,4,42
Ohio,58,1,—,1
Wisconsin,12,—,—,—
West North Central,164,3,1,2
Iowa,23,2,1,1
Kansas,10,—,—,—
Minnesota,77,—,—,—
Missouri,23,1,—,1
Nebraska,14,—,—,—
North Dakota,11,—,—,—
South Dakota,6,—,—,—
South Atlantic,513,29,4,25
Delaware,20,—,—,—
District of Columbia,29,—,—,—
Florida,52,3,2,1
Georgia,55,18,—,18
Maryland,180,5,—,5
North Carolina,76,—,—,—
South Carolina,—,1,—,1
Virginia,100,2,2,—
West Virginia,1,—,—,—
East South Central,43,7,2,5
Alabama,9,—,—,—
Kentucky,14,2,1,1
Mississippi,5,—,—,—
Tennessee,15,5,1,4
West South Central,174,26,5,21
Arkansas,—,—,—,—
Louisiana,7,—,—,—
Oklahoma,11,4,—,4
Texas,156,22,5,17
Mountain,92,5,4,1
Arizona,30,1,1,—
Colorado,39,1,1,—
Idaho,1,2,2,—
Montana,—,—,—,—
Nevada,10,—,—,—
New Mexico,1,1,—,1
Utah,10,—,—,—
Wyoming,1,—,—,—
Pacific,128,191,31,160
Alaska,3,1,—,1
California,88,73,21,52
Hawaii,2,2,—,2
Oregon,4,25,5,20
Washington,31,90,5,85
Territories,2,—,—,—
American Samoa,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—
Guam,—,—,—,—
Puerto Rico,2,—,—,—
U.S. Virgin Islands,—,—,—,—
