Disease,Female,Female,Male,Male,Sex not stated,Total
Disease,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,1,0.00,—,1
Arboviral diseases,,,,,,
Chikungunya virus disease,79,0.05,38,0.02,—,117
Eastern equine encephalitis virus disease,,,,,,
Neuroinvasive,3,0.00,3,0.00,—,6
Non-neuroinvasive,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,
Neuroinvasive,5,0.00,20,0.01,—,25
Non-neuroinvasive,1,0.00,15,0.01,—,16
La Crosse virus disease,,,,,,
Neuroinvasive,43,0.03,40,0.02,—,83
Non-neuroinvasive,—,—,3,0.00,—,3
Powassan virus disease,,,,,,
Neuroinvasive,7,0.00,14,0.01,—,21
Non-neuroinvasive,—,—,—,—,—,—
St. Louis encephalitis virus disease,,,,,,
Neuroinvasive,2,0.00,3,0.00,—,5
Non-neuroinvasive,2,0.00,1,0.00,—,3
West Nile virus disease,,,,,,
Neuroinvasive,604,0.36,1053,0.65,—,1657
Non-neuroinvasive,405,0.24,584,0.36,—,989
Western equine encephalitis virus disease,,,,,,
Neuroinvasive,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—
Babesiosis,,,,,,
Total,765,0.55,1393,1.04,2,2160
Confirmed,651,0.47,1208,0.90,2,1861
Probable,114,0.08,185,0.14,—,299
Botulism,,,,,,
Total,112,0.07,113,0.07,—,225
Foodborne,11,0.01,6,0.00,—,17
Infant,86,4.58,71,3.61,—,157
Other (wound & unspecified),15,0.01,36,0.02,—,51
Brucellosis,56,0.03,82,0.05,—,138
Campylobacteriosis,33351,20.09,36693,22.77,156,70200
Chancroid,—,—,3,0.00,—,3
Chlamydia trachomatis  infection,1145063,689.64,610447,378.86,3158,1758668
Cholera,5,0.00,9,0.01,—,14
Coccidioidomycosis  *,7032,10.33,8552,12.82,27,15611
Cryptosporidiosis,,,,,,
Total,6476,3.90,6038,3.75,19,12533
Confirmed,4540,2.73,4428,2.75,12,8980
Probable,1936,1.17,1610,1.00,7,3553
Cyclosporiasis,1924,1.30,1594,1.11,1,3519
Dengue virus infections  †,,,,,,
Dengue,215,0.13,209,0.13,—,424
Dengue-like illness,19,0.01,22,0.01,—,41
Severe dengue,8,0.00,1,0.00,—,9
Diphtheria,1,0.00,—,—,—,1
Ehrlichiosis and Anaplasmosis,,,,,,
Anaplasma phagocytophilum  infection,1575,0.98,2430,1.57,3,4008
Ehrlichia chaffeensis  infection,803,0.50,992,0.64,4,1799
Ehrlichia ewingii  infection,10,0.01,23,0.01,—,33
Undetermined ehrlichiosis/anaplasmosis,127,0.08,156,0.10,—,283
Giardiasis,5957,4.58,9540,7.55,51,15548
Gonorrhea,241074,145.19,341401,211.88,930,583405
"Haemophilus influenzae,  invasive disease",,,,,,
"All ages, all serotypes",2972,1.79,2568,1.59,33,5573
Age <5 years,,,,,,
Serotype b,16,0.17,22,0.22,—,38
Non-b serotype,76,0.79,115,1.13,—,191
