Reporting Area,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Mumps,Novel Influenza A virus infections,Paratyphoid fever *
Reporting Area,All serogroups,Serogroups ACWY,Serogroup B,Other serogroups,Unknown serogroup,Mumps,Novel Influenza A virus infections,Paratyphoid fever *
United States,327,100,81,23,123,2515,14,133
New England,26,17,6,2,1,74,—,5
Connecticut,2,—,2,—,—,3,—,1
Maine,1,1,—,—,—,4,—,—
Massachusetts,22,15,4,2,1,45,—,4
New Hampshire,—,—,—,—,—,3,—,—
Rhode Island,1,1,—,—,—,5,—,—
Vermont,—,—,—,—,—,14,—,—
Middle Atlantic,41,9,19,4,9,461,—,30
New Jersey,6,—,—,—,6,41,—,2
New York (excluding New York City),12,4,7,1,—,61,—,10
New York City,10,3,5,2,—,215,—,14
Pennsylvania,13,2,7,1,3,144,—,4
East North Central,38,12,21,3,2,425,8,16
Illinois,7,2,4,1,—,300,—,12
Indiana,9,2,6,—,1,17,1,2
Michigan,4,2,1,—,1,42,3,1
Ohio,8,2,6,—,—,40,4,1
Wisconsin,10,4,4,2,—,26,—,—
West North Central,17,—,1,—,16,76,—,8
Iowa,1,—,—,—,1,26,—,1
Kansas,1,—,1,—,—,4,—,—
Minnesota,—,—,—,—,—,13,—,7
Missouri,12,—,—,—,12,24,—,—
Nebraska,3,—,—,—,3,9,—,—
North Dakota,—,—,—,—,—,—,—,—
South Dakota,—,—,—,—,—,—,—,—
South Atlantic,64,20,20,5,19,356,—,13
Delaware,2,—,—,—,2,22,—,1
District of Columbia,—,—,—,—,—,9,—,—
Florida,18,2,11,—,5,55,—,—
Georgia,17,11,2,2,2,42,—,—
Maryland,6,2,2,2,—,27,—,5
North Carolina,9,3,4,—,2,12,—,—
South Carolina,5,—,—,—,5,8,—,—
Virginia,6,2,1,—,3,178,—,4
West Virginia,1,—,—,1,—,3,—,3
East South Central,16,9,4,—,3,45,—,7
Alabama,3,1,1,—,1,15,—,6
Kentucky,6,4,1,—,1,8,—,1
Mississippi,1,1,—,—,—,10,—,—
Tennessee,6,3,2,—,1,12,—,—
West South Central,27,10,3,6,8,324,—,23
Arkansas,2,—,1,1,—,13,—,10
Louisiana,—,—,—,—,—,28,—,—
Oklahoma,4,2,1,1,—,19,—,—
Texas,21,8,1,4,8,264,—,13
Mountain,18,10,4,3,1,78,—,6
Arizona,1,1,—,—,—,15,—,2
Colorado,7,5,1,1,—,33,—,—
Idaho,2,—,—,2,—,2,—,—
Montana,—,—,—,—,—,6,—,—
Nevada,4,4,—,—,—,3,—,3
New Mexico,1,—,—,—,1,6,—,—
Utah,3,—,3,—,—,13,—,1
Wyoming,—,—,—,—,—,—,—,—
Pacific,80,13,3,—,64,676,6,25
Alaska,3,1,2,—,—,226,—,1
California,43,—,—,—,43,139,6,20
Hawaii,1,—,—,—,1,236,—,—
Oregon,13,12,1,—,—,17,—,1
Washington,20,—,—,—,20,58,—,3
Territories,1,1,—,—,—,3,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,1,1,—,—,—,3,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
