Reporting Area,Salmonellosis (excluding  S.  Typhi infection and  S.  Paratyphi infection)  §,Severe acute respiratory syndrome-associated coronavirus disease,Shiga toxin-producing  Escherichia coli  (STEC),Shigellosis,Smallpox
"U.S. Residents, excluding U.S. Territories",58371,—,16939,18574,—
New England,2211,—,388,513,—
Connecticut,524,—,133,128,—
Maine,140,—,27,12,—
Massachusetts,1109,—,96,255,—
New Hampshire,173,—,35,21,—
Rhode Island,152,—,48,85,—
Vermont,113,—,49,12,—
Middle Atlantic,6273,—,1795,2224,—
New Jersey,1478,—,59,526,—
New York (excluding New York City),1544,—,559,334,—
New York City,1547,—,738,1107,—
Pennsylvania,1704,—,439,257,—
East North Central,6418,—,2201,1415,—
Illinois,2000,—,558,467,—
Indiana,859,—,227,138,—
Michigan,1071,—,288,214,—
Ohio,1610,—,589,431,—
Wisconsin,878,—,539,165,—
West North Central,3671,—,2328,667,—
Iowa,819,—,599,100,—
Kansas,522,—,230,55,—
Minnesota,840,—,697,295,—
Missouri,922,—,385,122,—
Nebraska,310,—,200,67,—
North Dakota,92,—,81,19,—
South Dakota,166,—,136,9,—
South Atlantic,17015,—,2516,3061,—
Delaware,—,—,34,32,—
District of Columbia,54,—,13,75,—
Florida,7099,—,788,1420,—
Georgia,2702,—,473,600,—
Maryland,1001,—,243,199,—
North Carolina,2644,—,386,324,—
South Carolina,1853,—,114,128,—
Virginia,1396,—,398,262,—
West Virginia,266,—,67,21,—
East South Central,4092,—,994,917,—
Alabama,1000,—,138,431,—
Kentucky,748,—,379,124,—
Mississippi,1233,—,94,179,—
Tennessee,1111,—,383,183,—
West South Central,8406,—,1752,4794,—
Arkansas,655,—,134,160,—
Louisiana,1253,—,90,555,—
Oklahoma,1123,—,234,164,—
Texas,5375,—,1294,3915,—
Mountain,3008,—,1463,1038,—
Arizona,954,—,297,426,—
Colorado,694,—,499,271,—
Idaho,215,—,210,50,—
Montana,138,—,68,11,—
Nevada,246,—,54,85,—
New Mexico,374,—,100,128,—
Utah,326,—,185,66,—
Wyoming,61,—,50,1,—
Pacific,7277,—,3502,3945,—
Alaska,49,—,6,6,—
California,5762,—,2674,3382,—
Hawaii,282,—,3,83,—
Oregon,459,—,354,160,—
Washington,725,—,465,314,—
Territories,480,—,1,37,—
American Samoa,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—
Guam,15,—,—,31,—
Puerto Rico,465,—,1,6,—
U.S. Virgin Islands,—,—,—,—,—
