Disease,Hispanic,Hispanic,Non-Hispanic,Non-Hispanic,Ethnicity not stated,Total
Disease,No.,Rate,No.,Rate,No.,No.
Anthrax,S,S,S,S,S,1
Arboviral diseases,,,,,,
Chikungunya virus disease,16,0.03,102,0.04,74,192
Eastern equine encephalitis virus disease,,,,,,
Neuroinvasive,—,—,27,0.01,11,38
Non-neuroinvasive,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,
Neuroinvasive,—,—,13,0.00,12,25
Non-neuroinvasive,S,S,S,S,S,20
La Crosse virus disease,,,,,,
Neuroinvasive,—,—,38,0.01,10,48
Non-neuroinvasive,S,S,S,S,S,7
Powassan virus disease,,,,,,
Neuroinvasive,1,0.00,21,0.01,17,39
Non-neuroinvasive,S,S,S,S,S,4
St. Louis encephalitis virus disease,,,,,,
Neuroinvasive,S,S,S,S,S,15
Non-neuroinvasive,S,S,S,S,S,2
West Nile virus disease,,,,,,
Neuroinvasive,94,0.16,410,0.15,132,636
Non-neuroinvasive,32,0.05,216,0.08,90,338
Western equine encephalitis virus disease,,,,,,
Neuroinvasive,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—
Babesiosis,,,,,,
Total,134,0.25,1422,0.66,864,2420
Confirmed,123,0.23,1193,0.55,750,2066
Probable,11,0.02,229,0.11,114,354
Botulism,,,,,,
Total,43,0.07,114,0.04,39,196
Foodborne,S,S,S,S,S,20
Infant,25,2.54,90,3.21,33,148
Other (wound & unspecified),9,0.01,14,0.01,5,28
Brucellosis,69,0.11,58,0.02,38,165
Campylobacteriosis,9113,15.04,40467,15.12,21929,71509
"Candida auris  , clinical  †",6,0.01,77,0.03,92,175
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,55,0.10,793,0.32,635,1483
Chancroid,S,S,S,S,S,8
Chlamydia trachomatis  infection,231908,382.86,892539,333.45,684256,1808703
Cholera,S,S,S,S,S,14
Coccidioidomycosis  §,2138,8.36,4007,3.59,12262,18407
Cryptosporidiosis,,,,,,
Total,1450,2.39,9048,3.38,3477,13975
Confirmed,1069,1.76,6473,2.42,2643,10185
Probable,381,0.63,2575,0.96,834,3790
Cyclosporiasis,564,0.98,2823,1.17,1316,4703
Dengue virus infections  ¶,,,,,,
Dengue,591,0.98,473,0.18,350,1414
Dengue-like illness,12,0.02,22,0.01,9,43
Severe dengue,16,0.03,10,0.00,4,30
Diphtheria,S,S,S,S,S,2
Ehrlichiosis and Anaplasmosis,,,,,,
Anaplasma phagocytophilum  infection,109,0.19,3553,1.37,1993,5655
Ehrlichia chaffeensis  infection,75,0.13,1482,0.57,536,2093
Ehrlichia ewingii  infection,—,—,33,0.01,10,43
Undetermined ehrlichiosis/anaplasmosis,3,0.01,141,0.06,41,185
Giardiasis,1315,2.94,7668,3.61,5877,14860
Gonorrhea,70850,116.97,372240,139.07,173302,616392
"Haemophilus influenzae,  invasive disease",,,,,,
"All ages, all serotypes",384,0.63,4274,1.60,1485,6143
Age <5 years,,,,,,
Serotype b,S,S,S,S,S,18
Non-b serotype,26,0.51,134,0.93,53,213
Nontypeable,40,0.79,114,0.79,46,200
Unknown serotype,40,0.79,139,0.96,75,254
Hansen's disease,7,0.01,45,0.02,25,77
"Hantavirus infection, non-hantavirus pulmonary syndrome  **",S,S,S,S,S,3
Hantavirus pulmonary syndrome,S,S,S,S,S,18
Hemolytic uremic syndrome post-diarrheal,55,0.09,254,0.10,83,392
Hepatitis  ††,,,,,,
"A, acute",916,1.51,14344,5.36,3586,18846
"B, acute",230,0.38,2582,0.97,732,3544
"B, perinatal infection",S,S,S,S,S,19
"C, acute",391,0.68,3879,1.51,1209,5479
Confirmed,350,0.61,2834,1.10,952,4136
Probable,41,0.07,1045,0.41,257,1343
"C, perinatal infection",14,0.58,112,1.42,91,217
Human immunodeficiency virus diagnoses,8103,13.38,23620,8.82,—,31723
Influenza-associated pediatric mortality,41,0.22,101,0.19,18,160
Invasive pneumococcal disease  §§,,,,,,
All ages,1372,3.49,13031,6.34,5548,19951
Confirmed,1340,3.41,12890,6.27,5459,19689
Probable,32,0.08,141,0.07,89,262
Age <5 years,150,0.36,683,0.31,282,1115
Confirmed,144,4.00,673,5.56,274,1091
Probable,6,0.17,10,0.08,8,24
Legionellosis,588,0.97,6376,2.38,1926,8890
Leptospirosis,9,0.02,63,0.03,22,94
Listeriosis  ¶¶,,,,,,
Total,146,0.24,623,0.23,159,928
Confirmed,133,0.22,598,0.22,149,880
Probable,13,0.02,25,0.01,10,48
Lyme disease,,,,,,
Total,560,0.93,15536,5.83,18849,34945
Confirmed,378,0.63,10088,3.79,12987,23453
Probable,182,0.30,5448,2.05,5862,11492
Malaria,43,0.07,1376,0.51,517,1936
Measles  ***,,,,,,
Total,47,0.08,933,0.35,295,1275
Indigenous,46,0.08,868,0.32,278,1192
Imported,1,0.00,65,0.02,17,83
Meningococcal disease,,,,,,
All serogroups,59,0.10,253,0.09,59,371
Serogroups ACWY,23,0.04,100,0.04,16,139
Serogroup B,5,0.01,41,0.02,14,60
Other serogroups,3,0.00,18,0.01,3,24
Unknown serogroup,28,0.05,94,0.04,26,148
Mumps,1262,2.08,1409,0.53,1109,3780
Novel Influenza A virus infections,S,S,S,S,S,1
Pertussis,2859,4.72,11460,4.28,4298,18617
Plague,S,S,S,S,S,1
"Poliomyelitis, paralytic",—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—
Psittacosis,S,S,S,S,S,4
Q fever,,,,,,
Total,30,0.05,127,0.05,55,212
Acute,26,0.04,107,0.04,45,178
Chronic,4,0.01,20,0.01,10,34
Rabies,,,,,,
Human,—,—,—,—,—,—
Rubella,S,S,S,S,S,6
"Rubella, congenital syndrome",S,S,S,S,S,1
Salmonella  Paratyphi infection  †††,8,0.01,92,0.03,55,155
