Reporting Area,Dengue virus infections  §,Dengue virus infections  §,Dengue virus infections  §,Diphtheria,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis
Reporting Area,Dengue,Dengue-like illness,Severe dengue,Diphtheria,Anaplasma phagocytophilum  infection,Ehrlichia chaffeensis  infection,Ehrlichia ewingii  infection,Undetermined ehrlichiosis/anaplasmosis
"U.S. Residents, excluding U.S. Territories",1414,43,30,2,5655,2093,43,185
New England,63,3,—,—,2668,138,—,7
Connecticut,16,—,—,—,298,2,N,N
Maine,1,—,—,—,685,13,—,2
Massachusetts,35,3,—,—,698,29,—,—
New Hampshire,—,—,—,—,301,10,—,—
Rhode Island,8,—,—,—,151,45,—,—
Vermont,3,—,—,—,535,39,—,5
Middle Atlantic,249,2,6,—,2053,306,4,47
New Jersey,69,1,3,—,142,142,4,7
New York (excluding New York City),40,—,—,—,1603,141,—,28
New York City,110,1,1,—,94,11,—,—
Pennsylvania,30,—,2,—,214,12,—,12
East North Central,100,4,6,—,369,217,1,40
Illinois,40,2,5,—,10,55,1,—
Indiana,13,—,1,—,5,58,—,—
Michigan,19,1,—,—,14,5,—,—
Ohio,11,1,—,—,6,23,—,—
Wisconsin,17,—,—,—,334,76,—,40
West North Central,42,5,—,—,442,501,25,71
Iowa,8,1,—,—,14,16,—,4
Kansas,1,2,—,—,4,47,—,3
Minnesota,18,2,—,—,405,16,—,41
Missouri,7,—,—,—,8,413,24,22
Nebraska,7,—,—,—,1,9,—,—
North Dakota,—,—,—,—,10,—,1,1
South Dakota,1,—,—,—,—,—,—,—
South Atlantic,486,11,15,1,74,399,4,16
Delaware,4,—,—,—,7,41,—,—
District of Columbia,6,—,—,—,—,—,—,—
Florida,387,7,14,—,21,32,2,—
Georgia,5,1,—,—,—,3,—,—
Maryland,25,—,—,—,16,67,1,1
North Carolina,24,2,1,—,11,154,—,—
South Carolina,9,1,—,—,—,—,—,12
Virginia,22,—,—,1,16,93,1,3
West Virginia,4,—,—,—,3,9,—,—
East South Central,17,—,—,—,20,268,3,3
Alabama,3,—,—,—,7,30,1,1
Kentucky,3,—,—,—,4,102,1,1
Mississippi,—,—,—,—,2,11,—,—
Tennessee,11,—,—,—,7,125,1,1
West South Central,78,6,1,—,14,260,6,1
Arkansas,3,—,—,—,9,243,6,1
Louisiana,4,3,—,—,1,2,—,—
Oklahoma,1,—,—,—,—,6,—,—
Texas,70,3,1,—,4,9,—,—
Mountain,72,7,2,1,4,2,—,—
Arizona,16,3,—,1,4,—,—,—
Colorado,31,2,1,—,N,N,N,N
Idaho,1,—,1,—,N,N,N,N
Montana,6,—,—,—,—,—,—,—
Nevada,7,—,—,—,—,1,—,—
New Mexico,—,2,—,—,N,N,N,N
Utah,10,—,—,—,—,—,—,—
Wyoming,1,—,—,—,—,1,—,—
Pacific,307,5,—,—,11,2,—,—
Alaska,1,2,—,—,N,N,N,N
California,260,2,—,—,7,—,—,—
Hawaii,14,1,—,—,N,N,N,N
Oregon,13,—,—,—,3,—,—,—
Washington,19,—,—,—,1,2,—,—
Territories,106,7,5,—,—,—,—,—
American Samoa,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,2,—,—,—,—,—,—,—
Guam,22,—,—,—,N,N,N,N
Puerto Rico,79,7,5,—,N,N,N,N
U.S. Virgin Islands,3,—,—,—,—,—,—,—
