Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Q fever,Q fever,Q fever
Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Total,Acute,Chronic
United States,18975,5,—,—,5,193,153,40
New England,1161,—,—,—,—,1,1,—
Connecticut,76,—,—,—,N,—,—,—
Maine,410,—,—,—,—,—,—,—
Massachusetts,408,—,—,—,—,1,1,—
New Hampshire,75,—,—,—,—,N,N,N
Rhode Island,84,—,—,—,—,—,—,—
Vermont,108,—,—,—,—,—,—,—
Middle Atlantic,2141,—,—,—,1,12,7,5
New Jersey,465,—,—,—,—,3,3,—
New York (excluding New York City),543,—,—,—,1,1,1,—
New York City,148,—,—,—,—,1,1,—
Pennsylvania,985,—,—,—,—,7,2,5
East North Central,3434,—,—,—,1,19,14,5
Illinois,689,—,—,—,—,3,1,2
Indiana,382,—,—,—,—,4,3,1
Michigan,744,—,—,—,1,4,3,1
Ohio,865,—,—,—,—,2,1,1
Wisconsin,754,—,—,—,—,6,6,—
West North Central,1663,—,—,—,—,36,31,5
Iowa,161,—,—,—,—,17,16,1
Kansas,203,—,—,—,—,4,3,1
Minnesota,730,—,—,—,—,3,3,—
Missouri,412,—,—,—,—,4,2,2
Nebraska,98,—,—,—,—,3,3,—
North Dakota,50,—,—,—,—,—,—,—
South Dakota,9,—,—,—,—,5,4,1
South Atlantic,1657,—,—,—,—,15,12,3
Delaware,9,—,—,—,—,1,1,—
District of Columbia,22,—,—,—,—,—,—,—
Florida,358,—,—,—,—,3,2,1
Georgia,234,—,—,—,—,—,—,—
Maryland,107,—,—,—,—,—,—,—
North Carolina,427,—,—,—,—,3,3,—
South Carolina,191,—,—,—,—,1,—,1
Virginia,296,—,—,—,—,4,4,—
West Virginia,13,—,—,—,—,3,2,1
East South Central,937,—,—,—,—,11,6,5
Alabama,231,—,—,—,—,—,—,—
Kentucky,449,—,—,—,—,6,2,4
Mississippi,35,—,—,—,—,—,—,—
Tennessee,222,—,—,—,—,5,4,1
West South Central,2284,—,—,—,—,23,20,3
Arkansas,225,—,—,—,—,3,3,N
Louisiana,87,—,—,—,—,—,—,—
Oklahoma,207,—,—,—,—,1,1,—
Texas,1765,—,—,—,N,19,16,3
Mountain,2039,5,—,—,1,28,23,5
Arizona,420,1,—,—,—,7,6,1
Colorado,671,—,—,—,—,6,6,—
Idaho,89,—,—,—,—,4,2,2
Montana,106,—,—,—,—,3,2,1
Nevada,92,—,—,—,—,5,4,1
New Mexico,197,4,—,—,—,—,—,—
Utah,446,—,—,—,1,2,2,—
Wyoming,18,—,—,—,—,1,1,—
Pacific,3659,—,—,—,2,48,39,9
Alaska,59,—,—,—,—,—,—,—
California,2576,—,—,—,2,38,29,9
Hawaii,39,—,—,—,—,—,—,—
Oregon,245,—,—,—,—,8,8,—
Washington,740,—,—,—,—,2,2,—
Territories,14,—,—,—,—,—,—,—
American Samoa,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,0,—,—,—,—,N,N,N
Puerto Rico,14,—,—,—,N,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
