Reporting Area,Arboviral diseases,Arboviral diseases,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Western equine encephalitis virus disease,Western equine encephalitis virus disease,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Neuroinvasive,Non-neuroinvasive,Total,Confirmed,Probable,Total,Foodborne,Infant,Other (wound & unspecified)
United States,—,—,2368,1994,374,177,19,137,21
New England,—,—,1286,1122,164,1,—,1,—
Connecticut,—,—,317,257,60,—,—,—,—
Maine,—,—,118,105,13,—,—,—,—
Massachusetts,—,—,590,547,43,1,—,1,—
New Hampshire,—,—,78,61,17,—,—,—,—
Rhode Island,—,—,161,137,24,—,—,—,—
Vermont,—,—,22,15,7,—,—,—,—
Middle Atlantic,—,—,890,756,134,24,—,24,—
New Jersey,—,—,193,169,24,7,—,7,—
New York (excluding New York City),—,—,606,509,97,1,—,1,—
New York City,—,—,91,78,13,4,—,4,—
Pennsylvania,—,—,N,N,N,12,—,12,—
East North Central,—,—,93,64,29,4,1,3,—
Illinois,—,—,—,—,—,—,—,—,—
Indiana,—,—,1,1,—,1,1,—,—
Michigan,—,—,3,2,1,—,—,—,—
Ohio,—,—,1,—,1,3,—,3,—
Wisconsin,—,—,88,61,27,—,—,—,—
West North Central,—,—,61,30,31,4,—,4,—
Iowa,—,—,2,1,1,—,—,—,—
Kansas,—,—,N,N,N,2,—,2,—
Minnesota,—,—,59,29,30,—,—,—,—
Missouri,—,—,—,—,—,—,—,—,—
Nebraska,—,—,—,—,—,2,—,2,—
North Dakota,—,—,—,—,—,—,—,—,—
South Dakota,—,—,—,—,—,—,—,—,—
South Atlantic,—,—,21,12,9,15,—,15,—
Delaware,—,—,4,3,1,1,—,1,—
District of Columbia,—,—,—,—,—,—,—,—,—
Florida,—,—,9,7,2,1,—,1,—
Georgia,—,—,N,N,N,2,—,2,—
Maryland,—,—,5,2,3,7,—,7,—
North Carolina,—,—,N,N,N,1,—,1,—
South Carolina,—,—,2,—,2,—,—,—,—
Virginia,—,—,N,N,N,3,—,3,—
West Virginia,—,—,1,—,1,—,—,—,—
East South Central,—,—,2,2,—,12,—,12,—
Alabama,—,—,1,1,—,—,—,—,—
Kentucky,—,—,—,—,—,7,—,7,—
Mississippi,—,—,N,N,N,—,—,—,—
Tennessee,—,—,1,1,—,5,—,5,—
West South Central,—,—,1,—,1,11,—,11,—
Arkansas,—,—,—,—,—,2,—,2,—
Louisiana,—,—,1,—,1,1,—,1,—
Oklahoma,—,—,N,N,N,—,—,—,—
Texas,—,—,—,—,—,8,—,8,—
Mountain,—,—,2,2,—,11,—,9,2
Arizona,—,—,N,N,N,5,—,4,1
Colorado,—,—,N,N,N,—,—,—,—
Idaho,—,—,N,N,N,2,—,2,—
Montana,—,—,—,—,—,2,—,2,—
Nevada,—,—,N,N,N,—,—,—,—
New Mexico,—,—,N,N,N,1,—,—,1
Utah,—,—,1,1,—,1,—,1,—
Wyoming,—,—,1,1,—,—,—,—,—
Pacific,—,—,12,6,6,95,18,58,19
Alaska,—,—,N,N,N,3,3,—,—
California,—,—,6,4,2,81,15,48,18
Hawaii,—,—,N,N,N,—,—,—,—
Oregon,—,—,5,1,4,4,—,4,—
Washington,—,—,1,1,—,7,—,6,1
Territories,—,—,—,—,—,—,—,—,—
American Samoa,—,—,U,U,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—,—
Puerto Rico,—,—,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
