observationAbout,observationDate,value,variableMeasured,scalingFactor
dcid:geoId/47,2022,44760,dcid:Count_Death_Male,
dcid:geoId/47,2022,12.92743,dcid:Count_Death_Male_AsAFractionOf_Count_Person_Male,1000
dcid:geoId/47,2022,12.04689,dcid:AgeAdjusted_Count_MortalityEvent_Male_AsAFractionOf_AgeAdjusted_Count_Person_Male,1000
dcid:geoId/47,2022,37140,dcid:Count_MortalityEvent_Male_White,
dcid:geoId/47,2022,13.59908,dcid:Count_MortalityEvent_Male_White_AsAFractionOf_Count_Person_Male_White,1000
dcid:geoId/47,2022,11.69788,dcid:AgeAdjusted_Count_MortalityEvent_Male_White_AsAFractionOf_AgeAdjusted_Count_Person_Male_White,1000
dcid:geoId/47,2022,6752,dcid:Count_MortalityEvent_Male_Black,
dcid:geoId/47,2022,12.06723,dcid:Count_MortalityEvent_Male_Black_AsAFractionOf_Count_Person_Male_Black,1000
dcid:geoId/47,2022,14.70649,dcid:AgeAdjusted_Count_MortalityEvent_Male_Black_AsAFractionOf_AgeAdjusted_Count_Person_Male_Black,1000
dcid:geoId/47001,2022,604,dcid:Count_Death_Male,
dcid:geoId/47001,2022,15.52021,dcid:Count_Death_Male_AsAFractionOf_Count_Person_Male,1000
dcid:geoId/47001,2022,12.81472,dcid:AgeAdjusted_Count_MortalityEvent_Male_AsAFractionOf_AgeAdjusted_Count_Person_Male,1000
dcid:geoId/47001,2022,570,dcid:Count_MortalityEvent_Male_White,
dcid:geoId/47001,2022,16.06313,dcid:Count_MortalityEvent_Male_White_AsAFractionOf_Count_Person_Male_White,1000
dcid:geoId/47001,2022,12.81559,dcid:AgeAdjusted_Count_MortalityEvent_Male_White_AsAFractionOf_AgeAdjusted_Count_Person_Male_White,1000
dcid:geoId/47001,2022,27,dcid:Count_MortalityEvent_Male_Black,
dcid:geoId/47001,2022,16.70792,dcid:Count_MortalityEvent_Male_Black_AsAFractionOf_Count_Person_Male_Black,1000
dcid:geoId/47001,2022,17.24714,dcid:AgeAdjusted_Count_MortalityEvent_Male_Black_AsAFractionOf_AgeAdjusted_Count_Person_Male_Black,1000
