observationAbout,observationDate,value,variableMeasured,scalingFactor
dcid:geoId/47,2022,40237,dcid:Count_Death_Female,
dcid:geoId/47,2022,11.21136,dcid:Count_Death_Female_AsAFractionOf_Count_Person_Female,1000
dcid:geoId/47,2022,8.4264,dcid:AgeAdjusted_Count_MortalityEvent_Female_AsAFractionOf_AgeAdjusted_Count_Person_Female,1000
dcid:geoId/47,2022,34159,dcid:Count_MortalityEvent_Female_White,
dcid:geoId/47,2022,12.24192,dcid:Count_MortalityEvent_Female_White_AsAFractionOf_Count_Person_Female_White,1000
dcid:geoId/47,2022,8.44181,dcid:AgeAdjusted_Count_MortalityEvent_Female_White_AsAFractionOf_AgeAdjusted_Count_Person_Female_White,1000
dcid:geoId/47,2022,5486,dcid:Count_MortalityEvent_Female_Black,
dcid:geoId/47,2022,8.83073,dcid:Count_MortalityEvent_Female_Black_AsAFractionOf_Count_Person_Female_Black,1000
dcid:geoId/47,2022,8.79846,dcid:AgeAdjusted_Count_MortalityEvent_Female_Black_AsAFractionOf_AgeAdjusted_Count_Person_Female_Black,1000
dcid:geoId/47001,2022,604,dcid:Count_Death_Female,
dcid:geoId/47001,2022,15.09887,dcid:Count_Death_Female_AsAFractionOf_Count_Person_Female,1000
dcid:geoId/47001,2022,9.72769,dcid:AgeAdjusted_Count_MortalityEvent_Female_AsAFractionOf_AgeAdjusted_Count_Person_Female,1000
dcid:geoId/47001,2022,575,dcid:Count_MortalityEvent_Female_White,
dcid:geoId/47001,2022,15.7121,dcid:Count_MortalityEvent_Female_White_AsAFractionOf_Count_Person_Female_White,1000
dcid:geoId/47001,2022,9.79502,dcid:AgeAdjusted_Count_MortalityEvent_Female_White_AsAFractionOf_AgeAdjusted_Count_Person_Female_White,1000
dcid:geoId/47001,2022,25,dcid:Count_MortalityEvent_Female_Black,
dcid:geoId/47001,2022,16.01537,dcid:Count_MortalityEvent_Female_Black_AsAFractionOf_Count_Person_Female_Black,1000
dcid:geoId/47001,2022,14.18212,dcid:AgeAdjusted_Count_MortalityEvent_Female_Black_AsAFractionOf_AgeAdjusted_Count_Person_Female_Black,1000
