,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
State,,Indicator,Units,1991
Nigeria,Young,Rural,%,90.4
,Young,Urban,%,90.9
,Young,Total,%,86.8
,Old,Rural,%,7.3
,Old,Total,%,6.4
,Old,Urban,%,4.7
,Both,Rural,%,97.6
,Both,Urban,%,88.6
,Both,Total,%,93.2
Abuja,Young,Rural,%,77.5
,Young,Urban,%,56.2
,Young,Total,%,70.4
,Old,Rural,%,5.5
,Old,Total,%,4.2
,Old,Urban,%,1.2
,Both,Rural,%,83
,Both,Urban,%,57.4
,Both,Total,%,74.6
Abia,Young,Rural,%,96.5
,Young,Urban,%,77.6
,Young,Total,%,88.9
,Old,Rural,%,10.3
,Old,Total,%,7.9
,Old,Urban,%,4.2
,Both,Rural,%,106.8
,Both,Urban,%,8.2
,Both,Total,%,96.8
Adamawa,Young,Rural,%,104.9
,Young,Urban,%,84.8
,Young,Total,%,86.9
,Old,Rural,%,5.1
,Old,Total,%,7.4
,Old,Urban,%,2.4
,Both,Rural,%,110
,Both,Urban,%,87
,Both,Total,%,94.3
Akwa Ibom,Young,Rural,%,89.1
,Young,Urban,%,82.8
,Young,Total,%,102.1
,Old,Rural,%,9.7
,Old,Total,%,4.8
,Old,Urban,%,8.5
,Both,Rural,%,98.8
,Both,Urban,%,91.3
,Both,Total,%,106.9
Anambra,Young,Rural,%,81.4
,Young,Urban,%,77.3
,Young,Total,%,78.8
,Old,Rural,%,7.9
,Old,Total,%,6.5
,Old,Urban,%,6
,Both,Rural,%,89.4
,Both,Urban,%,83.3
,Both,Total,%,85.3
Bauchi,Young,Rural,%,94
,Young,Urban,%,91.2
,Young,Total,%,93.4
,Old,Rural,%,6
,Old,Total,%,5.8
,Old,Urban,%,4.2
,Both,Rural,%,100
,Both,Urban,%,95.4
,Both,Total,%,99.2
Benue,Young,Rural,%,106.4
,Young,Urban,%,94.1
,Young,Total,%,104.5
,Old,Rural,%,10.7
,Old,Total,%,9.4
,Old,Urban,%,4
