parameter,value
url,https://nepszamlalas2022.ksh.hu/en/database/#/table/WBS012/N4IgFgpghgJiBcBtEAVAkgWQKIH0AKWASmgPIAiATBSADSpECqAMjilk-ntXSgIKEBlAFLsmAFhABdOgGcAljAgJkbQsxwBxLCQDMtEFi0CAWgMNTZEAMYAXOQHsAdsukgAZnIA2NiACcZCKAA1nKOcPAgGFAADvoQjja-chABSCr8wqISNMGh4SACEDb6AG5QngCuKcqR-gBi-gCaAAwArAC0AIzZII2dHRQ9jRQdOkM6HWJDYh2tQ60dAGxDix0A7ENrHQAcQ5pY2636ANJYAGo4vFo4dSQajfoAcljYOGYAGlIAvtLIhlgmMwaWi5MIIApFUrlKqpZBkNACHAPOjwxGPfSonCPXj6DhoHDGYwYhGdYkCbggVF6FEInqoo40gSLMlrMnbMkATjJnWa3NJjM6FNRnWplJJdIRuPQUvxaCYTBlWLlCskPxoKkYLDYeK4IJAITBEUKxToZUq1SQIDOJ30AAkGN9JKqvkA
description,The health status of the population aged 5 and older by county and settlement type of Hungary  2022. 
process,"To download data:
Click on the url -> Dimensions drag them to columns,rows or sections"", -> In columns drag ""Census year"" and ""Types of settlement"", ""Social characteristics"", and In rows drag  ""county, region"" and  ""Health condition: disability, functional difficulties ""  -> accordingly it creates table  -> click download."
#place_type,"Country,AdministrativeArea1,AdministrativeArea2"
#places_within,country/HUN
start_date,2022
end_date,
release_frequency,
comments,
output_columns,"observationAbout, observationDate, value, variableMeasured,unit, scalingFactor"
places_resolved_csv,https://docs.google.com/spreadsheets/d/1LRZmgPjyJV0M-rqHJbOPS0rq8Ez8obqxDJtUGZ0y978/edit?resourcekey=0-O9gfEuDV5BGR4rjkw61pyQ#gid=1058208911
mapped_rows,3
mapped_columns,2
header_rows,3
#input_rows,40
