key,p1,v1,k2,v2,k3,v3,k4,v4,k5,v5,,,,,,,,,,
observationAbout,observationAbout,{Data},populationType,MedicalConditionIncident,measuredProperty,count,statType,dcs:measuredValue,PlaceOfResidenceClassification,,Age,,DisabilityStatus,,MedicalCondition,,Gender,,#End,#value
5–14 éves,age,[5 14 Years],value,{Number},Age, 5–14 éves,,,,,,,,,,,,,,
15–24 éves,age,[15 24 Years],value,{Number},Age, 15–24 éves,,,,,,,,,,,,,,
25–34 éves,age,[25 34 Years],value,{Number},Age, 25–34 éves,,,,,,,,,,,,,,
35–44 éves,age,[35 44 Years],value,{Number},Age, 35–44 éves,,,,,,,,,,,,,,
45–54 éves,age,[45 54 Years],value,{Number},Age, 45–54 éves,,,,,,,,,,,,,,
55–64 éves,age,[55 64 Years],value,{Number},Age, 55–64 éves,,,,,,,,,,,,,,
65–74 éves,age,[65 74 Years],value,{Number},Age, 65–74 éves,,,,,,,,,,,,,,
75–84 éves,age,[75 84 Years],value,{Number},Age, 75–84 éves,,,,,,,,,,,,,,
85 éves és idősebb,age,[85 - Years],value,{Number},Age, 85 éves és idősebb,,,,,,,,,,,,,,
2022,observationDate,2022,nameWithLanguage,"""{Age} {Gender} {DisabilityStatus} {MedicalCondition} {PlaceOfResidenceClassification} népesség @hu""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Férfi,value,{Number},gender,Male,Gender, Férfi,age,[5 - Years],Age, 5 éves és idősebb,,,,,,,,,,
Nő,value,{Number},gender,Female,Gender, Nő,age,[5 - Years],Age, 5 éves és idősebb,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Összesen,value,{Number},age,[5 - Years],Age, 5 éves és idősebb,,,,,,,,,,,,,,
Fogyatékossága van,disabilityStatus,WithDisability,DisabilityStatus,Fogyatékossága van,,,,,,,,,,,,,,,,
Mozgáskorlátozott,disabilityStatus,MobilityDisability,DisabilityStatus,Mozgáskorlátozott,,,,,,,,,,,,,,,,
Autizmus spektrumzavar,disabilityStatus,AutismSpectrumDisorder,DisabilityStatus,Autizmus spektrumzavar,,,,,,,,,,,,,,,,
Értelmi fogyatékossággal él,disabilityStatus,IntellectualDisability,DisabilityStatus,Értelmi fogyatékossággal él,,,,,,,,,,,,,,,,
Pszichoszociális fogyatékossággal él,disabilityStatus,PsychosocialDisability,DisabilityStatus,Pszichoszociális fogyatékossággal él,,,,,,,,,,,,,,,,
Beszédhibával él,disabilityStatus,SpeechImpediment,DisabilityStatus,Beszédhibával él,,,,,,,,,,,,,,,,
Beszédfogyatékossággal él,disabilityStatus,SpeechDisability,DisabilityStatus,Beszédfogyatékossággal él,,,,,,,,,,,,,,,,
"Gyengénlátó, aliglátó",disabilityStatus,LowSightDisability,DisabilityStatus,"Gyengénlátó, aliglátó",,,,,,,,,,,,,,,,
Vak,disabilityStatus,Blind,DisabilityStatus,Vak,,,,,,,,,,,,,,,,
Nagyothalló,disabilityStatus,HardOfHearing,DisabilityStatus,Nagyothalló,,,,,,,,,,,,,,,,
Siket,disabilityStatus,Deaf,DisabilityStatus,Siket,,,,,,,,,,,,,,,,
Siketvak (látás- és hallássérült),disabilityStatus,DeafAndBlind,DisabilityStatus,Siketvak (látás- és hallássérült),,,,,,,,,,,,,,,,
Súlyos-halmozott fogyatékossággal él,disabilityStatus,CumulativeDisability,DisabilityStatus,Súlyos-halmozott fogyatékossággal él,,,,,,,,,,,,,,,,
Súlyos belszervi fogyatékossággal él,disabilityStatus,InternalDisability,DisabilityStatus,Súlyos belszervi fogyatékossággal él,,,,,,,,,,,,,,,,
Más fogyatékosság,disabilityStatus,OtherDisability,DisabilityStatus,Más fogyatékosság,,,,,,,,,,,,,,,,
Nincs fogyatékossága,disabilityStatus,NoDisability,DisabilityStatus,Nincs fogyatékossága,,,,,,,,,,,,,,,,
Tartós betegség,#ignore,ignore,,,,,,,,,,,,,,,,,,
Nem válaszolt a fogyatékossági kérdésre,#ignore,ignore,,,,,,,,,,,,,,,,,,
Van tartós betegsége,medicalCondition,WithLongTermIllness,MedicalCondition,Van tartós betegsége,,,,,,,,,,,,,,,,
Nincs tartós betegsége,medicalCondition,WithOutLongTermIllness,MedicalCondition,Nincs tartós betegsége,,,,,,,,,,,,,,,,
Nem válaszolt a tartós betegségre vonatkozó kérdésre,#ignore,ignore,,,,,,,,,,,,,,,,,,
Város(ok),placeOfResidenceClassification,Urban,PlaceOfResidenceClassification,Város(ok),,,,,,,,,,,,,,,,
Község(ek),placeOfResidenceClassification,Rural,PlaceOfResidenceClassification,Község(ek),,,,,,,,,,,,,,,,
