"State of Residence","State of Residence Code","Year","Year Code",Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
"Alabama","01","2016","2016",59151,0.31%,27.18,38.20,38.33,3192.66,27.69,10.63,50.40,46.74
"Alabama","01","2017","2017",58941,0.31%,27.29,38.20,38.30,3189.11,27.90,10.58,50.34,47.23
"Alabama","01","2018","2018",57761,0.30%,27.42,38.15,38.24,3184.39,28.15,10.52,50.39,47.80
"Alabama","01","2019","2019",58615,0.31%,27.46,38.11,38.20,3181.87,28.33,10.42,50.55,47.54
"Alabama","01","2020","2020",57647,0.30%,27.61,38.08,38.23,3179.09,28.55,10.21,50.81,48.06
"Alaska","02","2016","2016",11209,0.06%,28.13,38.66,38.82,3399.40,27.03,10.86,45.21,47.90
"Alaska","02","2017","2017",10445,0.06%,28.42,38.64,38.79,3394.32,27.21,10.74,45.29,48.76
"Alaska","02","2018","2018",10086,0.05%,28.56,38.59,38.74,3400.19,27.33,10.79,45.61,48.77
"Alaska","02","2019","2019",9822,0.05%,28.73,38.55,38.70,3384.06,27.50,10.94,46.07,50.28
"Alaska","02","2020","2020",9469,0.05%,28.80,38.51,38.69,3378.93,27.45,10.63,45.29,49.85
"Arizona","04","2016","2016",84520,0.45%,28.06,38.52,38.63,3283.64,26.84,10.84,49.98,54.77
"Arizona","04","2017","2017",81872,0.43%,28.21,38.50,38.56,3280.37,27.04,10.87,50.39,54.51
"Arizona","04","2018","2018",80723,0.43%,28.37,38.45,38.55,3276.34,27.24,10.72,50.53,53.81
"Arizona","04","2019","2019",79375,0.42%,28.48,38.44,38.57,3279.08,27.39,10.59,50.61,54.17
"Arizona","04","2020","2020",76947,0.41%,28.61,38.44,38.57,3278.34,27.58,10.62,51.10,54.23
"Arkansas","05","2016","2016",38274,0.20%,26.76,38.33,38.55,3246.22,27.13,10.39,48.69,45.71
"Arkansas","05","2017","2017",37520,0.20%,26.87,38.28,38.56,3228.37,27.57,10.55,48.56,44.94
"Arkansas","05","2018","2018",37018,0.20%,27.03,38.24,38.42,3228.43,28.14,10.50,49.00,47.66
"Arkansas","05","2019","2019",36564,0.19%,27.08,38.18,38.39,3221.91,28.39,10.60,49.28,47.27
"Arkansas","05","2020","2020",35251,0.19%,27.19,38.17,38.37,3219.05,28.65,10.19,49.20,46.48
"California","06","2016","2016",488827,2.58%,29.62,38.62,38.72,3291.74,26.37,11.85,54.18,41.97
"California","06","2017","2017",471658,2.49%,29.82,38.61,38.70,3288.97,26.55,11.94,54.36,41.65
"California","06","2018","2018",454920,2.40%,30.04,38.59,38.68,3288.10,26.73,11.88,54.42,41.87
"California","06","2019","2019",446479,2.36%,30.19,38.56,38.61,3281.53,26.89,11.91,54.77,41.71
"California","06","2020","2020",420259,2.22%,30.31,38.55,38.64,3284.82,27.15,11.54,54.97,41.36
"Colorado","08","2016","2016",66613,0.35%,29.23,38.65,38.71,3197.91,26.07,10.24,48.63,45.66
"Colorado","08","2017","2017",64382,0.34%,29.37,38.62,38.67,3191.34,26.22,10.39,48.66,45.39
"Colorado","08","2018","2018",62885,0.33%,29.51,38.56,38.63,3185.43,26.33,10.52,48.37,44.53
"Colorado","08","2019","2019",62869,0.33%,29.64,38.51,38.61,3180.53,26.46,10.54,48.40,44.60
"Colorado","08","2020","2020",61494,0.32%,29.76,38.49,38.61,3180.08,26.60,10.20,48.94,45.24
"Connecticut","09","2016","2016",36015,0.19%,30.25,38.59,38.73,3287.73,26.45,11.98,52.50,48.34
"Connecticut","09","2017","2017",35221,0.19%,30.37,38.57,38.75,3280.06,26.63,12.15,53.83,51.80
"Connecticut","09","2018","2018",34725,0.18%,30.49,38.56,38.74,3293.07,26.85,12.46,53.75,50.25
"Connecticut","09","2019","2019",34258,0.18%,30.62,38.51,38.72,3281.95,26.87,12.68,53.42,48.83
"Connecticut","09","2020","2020",33460,0.18%,30.70,38.51,38.73,3285.57,27.10,12.33,54.58,49.98
"Delaware","10","2016","2016",10992,0.06%,28.71,38.49,38.53,3263.60,27.34,10.77,52.01,47.07
"Delaware","10","2017","2017",10855,0.06%,28.80,38.47,38.57,3259.86,27.45,10.79,53.16,52.14
"Delaware","10","2018","2018",10621,0.06%,28.99,38.44,38.62,3250.47,27.61,10.36,52.79,49.96
"Delaware","10","2019","2019",10562,0.06%,29.17,38.33,38.49,3233.63,28.15,10.68,53.41,48.16
"Delaware","10","2020","2020",10392,0.05%,29.30,38.27,38.48,3233.66,28.03,10.66,53.57,48.35
"District of Columbia","11","2016","2016",9858,0.05%,30.24,38.56,38.62,3207.44,25.78,10.34,52.03,47.32
"District of Columbia","11","2017","2017",9560,0.05%,30.41,38.51,38.49,3202.25,25.74,10.58,51.87,48.30
"District of Columbia","11","2018","2018",9212,0.05%,30.85,38.51,38.52,3205.47,25.88,10.28,51.73,45.21
"District of Columbia","11","2019","2019",9079,0.05%,31.06,38.49,38.55,3201.45,26.25,10.61,52.70,45.16
"District of Columbia","11","2020","2020",8874,0.05%,31.27,38.51,38.57,3205.00,26.40,10.18,52.48,47.02
"Florida","12","2016","2016",225022,1.19%,28.78,38.40,38.56,3240.40,26.43,10.76,53.83,51.12
"Florida","12","2017","2017",223630,1.18%,28.91,38.39,38.52,3233.04,26.62,10.75,54.07,52.14
"Florida","12","2018","2018",221542,1.17%,29.14,38.37,38.51,3239.27,26.84,10.73,54.47,52.71
"Florida","12","2019","2019",220002,1.16%,29.27,38.32,38.48,3233.46,27.01,10.67,54.66,53.49
"Florida","12","2020","2020",209671,1.11%,29.38,38.32,38.48,3234.44,27.19,10.20,54.80,54.91
"Georgia","13","2016","2016",130042,0.69%,28.16,38.30,38.50,3206.54,27.33,11.22,51.55,47.01
"Georgia","13","2017","2017",129243,0.68%,28.30,38.28,38.46,3202.11,27.43,11.29,51.95,48.24
"Georgia","13","2018","2018",126172,0.67%,28.42,38.26,38.44,3198.96,27.61,11.36,52.06,47.46
"Georgia","13","2019","2019",126371,0.67%,28.51,38.23,38.36,3192.61,27.74,11.47,51.97,46.95
"Georgia","13","2020","2020",122473,0.65%,28.61,38.23,38.37,3196.29,27.98,11.17,52.13,47.05
"Hawaii","15","2016","2016",18059,0.10%,29.24,38.44,38.72,3227.76,26.16,10.57,49.89,48.38
"Hawaii","15","2017","2017",17517,0.09%,29.35,38.43,38.68,3228.80,26.49,10.88,50.27,51.67
"Hawaii","15","2018","2018",16972,0.09%,29.57,38.42,38.71,3224.87,26.69,10.35,50.84,58.18
"Hawaii","15","2019","2019",16797,0.09%,29.68,38.37,38.69,3219.85,26.86,10.35,50.88,57.09
"Hawaii","15","2020","2020",15785,0.08%,29.76,38.44,38.74,3230.17,27.12,9.90,50.97,57.67
"Idaho","16","2016","2016",22482,0.12%,27.90,38.58,38.72,3302.53,26.51,11.37,45.26,49.32
"Idaho","16","2017","2017",22181,0.12%,27.97,38.59,38.75,3304.75,26.78,11.53,45.90,48.44
"Idaho","16","2018","2018",21403,0.11%,28.12,38.53,38.68,3288.50,26.89,11.66,44.81,46.73
"Idaho","16","2019","2019",22063,0.12%,28.28,38.53,38.69,3293.29,27.05,11.75,45.63,46.88
"Idaho","16","2020","2020",21533,0.11%,28.34,38.53,38.72,3294.11,27.14,11.26,45.43,46.03
"Illinois","17","2016","2016",154445,0.81%,29.15,38.40,38.58,3266.33,27.19,11.37,50.22,44.61
"Illinois","17","2017","2017",149390,0.79%,29.28,38.40,38.57,3264.73,27.39,11.40,49.95,44.31
"Illinois","17","2018","2018",144815,0.76%,29.46,38.35,38.52,3260.21,27.57,11.43,49.96,44.70
"Illinois","17","2019","2019",140128,0.74%,29.59,38.32,38.50,3256.02,27.69,11.44,50.55,46.38
"Illinois","17","2020","2020",133298,0.70%,29.69,38.31,38.52,3253.51,27.93,11.18,50.26,45.88
"Indiana","18","2016","2016",83091,0.44%,27.73,38.49,38.61,3280.87,27.44,11.49,46.96,47.92
