"State of Residence","State of Residence Code","Year","Year Code",Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
"Alabama","01","2016","2016",38778,0.28%,27.57,38.35,38.53,3279.70,26.92,10.86,48.97,44.36
"Alabama","01","2017","2017",38285,0.28%,27.65,38.35,38.49,3280.24,27.14,10.78,48.52,44.89
"Alabama","01","2018","2018",37865,0.27%,27.73,38.32,38.45,3276.46,27.37,10.72,48.86,46.06
"Alabama","01","2019","2019",37932,0.27%,27.77,38.28,38.42,3275.53,27.59,10.59,48.88,44.83
"Alabama","01","2020","2020",37421,0.27%,27.90,38.23,38.44,3268.30,27.79,10.36,48.83,44.85
"Alaska","02","2016","2016",6467,0.05%,28.80,38.89,39.11,3427.75,26.43,11.18,44.10,45.09
"Alaska","02","2017","2017",5930,0.04%,29.07,38.86,39.08,3429.41,26.52,11.11,43.16,45.38
"Alaska","02","2018","2018",5723,0.04%,29.31,38.84,39.03,3427.97,26.56,11.26,44.20,46.10
"Alaska","02","2019","2019",5550,0.04%,29.56,38.76,38.93,3410.04,26.78,11.15,44.97,47.17
"Alaska","02","2020","2020",5378,0.04%,29.47,38.74,38.94,3403.50,26.82,10.96,43.26,44.28
"Arizona","04","2016","2016",69241,0.50%,28.08,38.55,38.67,3299.69,26.72,10.97,50.05,54.33
"Arizona","04","2017","2017",66790,0.48%,28.23,38.53,38.60,3298.19,26.94,11.00,50.42,54.02
"Arizona","04","2018","2018",65606,0.47%,28.37,38.48,38.59,3294.57,27.10,10.84,50.61,53.32
"Arizona","04","2019","2019",64192,0.46%,28.47,38.48,38.62,3298.22,27.27,10.72,50.66,53.33
"Arizona","04","2020","2020",62414,0.45%,28.61,38.48,38.61,3296.87,27.45,10.74,51.09,53.67
"Arkansas","05","2016","2016",28583,0.21%,26.97,38.43,38.69,3305.09,26.85,10.68,48.84,45.05
