COUNTRY,Country,Resource,Stocks and flows,Class,Year,Unit,Value
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2000,Barrels,4.115
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2001,Barrels,4.271
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2002,Barrels,4.12
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2003,Barrels,3.869
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2004,Barrels,3.76
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2005,Barrels,3.841
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2006,Barrels,4.768
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2007,Barrels,4.512
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2008,Barrels,4.563
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2009,Barrels,4.401
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2010,Barrels,3.99
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2011,Barrels,3.777
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2012,Barrels,3.746
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2013,Barrels,3.793
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2014,Barrels,3.942
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2015,Barrels,3.771
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2016,Barrels,4.015
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2017,Barrels,4.08
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2018,Barrels,4.229
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2019,Barrels,4.853
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2020,Barrels,4.632
CAN,Canada,Crude oil,Opening stock,Class A - Commercially recoverable resources,2021,Barrels,4.644
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2000,Barrels,0.656
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2001,Barrels,0.355
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2002,Barrels,0.283
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2003,Barrels,0.424
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2004,Barrels,0.596
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2005,Barrels,1.425
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2006,Barrels,0.238
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2007,Barrels,0.562
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2008,Barrels,0.333
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2009,Barrels,0.027
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2010,Barrels,0.235
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2011,Barrels,0.43
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2012,Barrels,0.525
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2013,Barrels,0.654
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2014,Barrels,0.339
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2015,Barrels,0.706
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2016,Barrels,0.498
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2017,Barrels,0.592
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2018,Barrels,1.089
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2019,Barrels,0.255
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2020,Barrels,0.45
CAN,Canada,Crude oil,Upward reappraisals,Class A - Commercially recoverable resources,2021,Barrels,0.446
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2000,Barrels,0.656
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2001,Barrels,0.355
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2002,Barrels,0.283
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2003,Barrels,0.424
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2004,Barrels,0.596
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2005,Barrels,1.425
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2006,Barrels,0.238
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2007,Barrels,0.562
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2008,Barrels,0.333
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2009,Barrels,0.027
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2010,Barrels,0.235
