Year,Geo,StatVar,Quantity,Unit
2016,geoId/01,Count_BirthEvent_LiveBirth,59151,
2016,geoId/01,Mean_MothersAge_BirthEvent_LiveBirth,27.18,Years
2016,geoId/01,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.20,Week
2016,geoId/01,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.33,Week
2016,geoId/01,Mean_BirthWeight_BirthEvent_LiveBirth,3192.66,Gram
2016,geoId/01,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,27.69,
2016,geoId/01,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.63,
2016,geoId/01,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,50.40,Month
2016,geoId/01,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,46.74,Month
2017,geoId/01,Count_BirthEvent_LiveBirth,58941,
2017,geoId/01,Mean_MothersAge_BirthEvent_LiveBirth,27.29,Years
2017,geoId/01,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.20,Week
2017,geoId/01,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.30,Week
2017,geoId/01,Mean_BirthWeight_BirthEvent_LiveBirth,3189.11,Gram
2017,geoId/01,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,27.90,
2017,geoId/01,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.58,
2017,geoId/01,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,50.34,Month
2017,geoId/01,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,47.23,Month
2018,geoId/01,Count_BirthEvent_LiveBirth,57761,
2018,geoId/01,Mean_MothersAge_BirthEvent_LiveBirth,27.42,Years
2018,geoId/01,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.15,Week
2018,geoId/01,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.24,Week
2018,geoId/01,Mean_BirthWeight_BirthEvent_LiveBirth,3184.39,Gram
2018,geoId/01,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,28.15,
2018,geoId/01,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.52,
2018,geoId/01,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,50.39,Month
2018,geoId/01,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,47.80,Month
2019,geoId/01,Count_BirthEvent_LiveBirth,58615,
2019,geoId/01,Mean_MothersAge_BirthEvent_LiveBirth,27.46,Years
2019,geoId/01,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.11,Week
2019,geoId/01,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.20,Week
2019,geoId/01,Mean_BirthWeight_BirthEvent_LiveBirth,3181.87,Gram
2019,geoId/01,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,28.33,
2019,geoId/01,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.42,
2019,geoId/01,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,50.55,Month
2019,geoId/01,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,47.54,Month
2020,geoId/01,Count_BirthEvent_LiveBirth,57647,
2020,geoId/01,Mean_MothersAge_BirthEvent_LiveBirth,27.61,Years
2020,geoId/01,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.08,Week
2020,geoId/01,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.23,Week
2020,geoId/01,Mean_BirthWeight_BirthEvent_LiveBirth,3179.09,Gram
2020,geoId/01,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,28.55,
2020,geoId/01,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.21,
2020,geoId/01,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,50.81,Month
2020,geoId/01,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,48.06,Month
2016,geoId/02,Count_BirthEvent_LiveBirth,11209,
2016,geoId/02,Mean_MothersAge_BirthEvent_LiveBirth,28.13,Years
2016,geoId/02,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.66,Week
2016,geoId/02,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.82,Week
2016,geoId/02,Mean_BirthWeight_BirthEvent_LiveBirth,3399.40,Gram
2016,geoId/02,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,27.03,
2016,geoId/02,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.86,
2016,geoId/02,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,45.21,Month
2016,geoId/02,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,47.90,Month
2017,geoId/02,Count_BirthEvent_LiveBirth,10445,
2017,geoId/02,Mean_MothersAge_BirthEvent_LiveBirth,28.42,Years
2017,geoId/02,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.64,Week
2017,geoId/02,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.79,Week
2017,geoId/02,Mean_BirthWeight_BirthEvent_LiveBirth,3394.32,Gram
2017,geoId/02,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,27.21,
2017,geoId/02,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.74,
2017,geoId/02,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,45.29,Month
2017,geoId/02,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,48.76,Month
2018,geoId/02,Count_BirthEvent_LiveBirth,10086,
2018,geoId/02,Mean_MothersAge_BirthEvent_LiveBirth,28.56,Years
2018,geoId/02,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.59,Week
2018,geoId/02,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.74,Week
2018,geoId/02,Mean_BirthWeight_BirthEvent_LiveBirth,3400.19,Gram
2018,geoId/02,Mean_PrePregnancyBMI_BirthEvent_LiveBirth,27.33,
2018,geoId/02,Mean_PrenatalVisitCount_BirthEvent_LiveBirth,10.79,
2018,geoId/02,Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,45.61,Month
2018,geoId/02,Mean_IntervalSinceLastPregnancyOutcomeNotLiveBirth_BirthEvent_LiveBirth,48.77,Month
2019,geoId/02,Count_BirthEvent_LiveBirth,9822,
2019,geoId/02,Mean_MothersAge_BirthEvent_LiveBirth,28.73,Years
2019,geoId/02,Mean_OeGestationalAge_BirthEvent_LiveBirth,38.55,Week
2019,geoId/02,Mean_LmpGestationalAge_BirthEvent_LiveBirth,38.70,Week
2019,geoId/02,Mean_BirthWeight_BirthEvent_LiveBirth,3384.06,Gram
