place_name,dcid
UNITED STATES,country/USA
ALABAMA,geoId/01
ALASKA,geoId/02
ARIZONA,geoId/04
ARKANSAS,geoId/05
CALIFORNIA,geoId/06
COLORADO,geoId/08
CONNECTICUT,geoId/09
DELAWARE,geoId/10
DISTRICT OF COLUMBIA,geoId/11
FLORIDA,geoId/12
GEORGIA,geoId/13
HAWAII,geoId/15
IDAHO,geoId/16
ILLINOIS,geoId/17
INDIANA,geoId/18
IOWA,geoId/19
KANSAS,geoId/20
KENTUCKY,geoId/21
LOUISIANA,geoId/22
MAINE,geoId/23
MARYLAND,geoId/24
MASSACHUSETTS,geoId/25
MICHIGAN,geoId/26
MINNESOTA,geoId/27
MISSISSIPPI,geoId/28
MISSOURI,geoId/29
MONTANA,geoId/30
NEBRASKA,geoId/31
NEVADA,geoId/32
NEW HAMPSHIRE,geoId/33
NEW JERSEY,geoId/34
NEW MEXICO,geoId/35
NEW YORK,geoId/36
NORTH CAROLINA,geoId/37
NORTH DAKOTA,geoId/38
OHIO,geoId/39
OKLAHOMA,geoId/40
OREGON,geoId/41
PENNSYLVANIA,geoId/42
RHODE ISLAND,geoId/44
SOUTH CAROLINA,geoId/45
SOUTH DAKOTA,geoId/46
TENNESSEE,geoId/47
TEXAS,geoId/48
UTAH,geoId/49
VERMONT,geoId/50
VIRGINIA,geoId/51
WASHINGTON,geoId/53
WEST VIRGINIA,geoId/54
WISCONSIN,geoId/55
WYOMING,geoId/56
PUERTO RICO,geoId/72
