observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:geoId/sch3400660,2017,47.9,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400660,2017,47.1,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400660,2017,28.3,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400960,2017,48.6,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400960,2017,3,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400960,2017,45.5,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400990,2017,55.4,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400990,2017,33.1,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400990,2017,39.5,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400006,2017,32.2,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400006,2017,27.6,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3400006,2017,36.2,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402340,2017,50.5,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402340,2017,77.1,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402340,2017,11.7,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402400,2017,48.5,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402400,2017,56,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3402400,2017,28.6,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404530,2017,47.3,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404530,2017,20.1,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404530,2017,45.8,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404560,2017,48,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404560,2017,40.5,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404560,2017,28.9,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404860,2017,49.2,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404860,2017,88.1,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3404860,2017,9.8,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405280,2017,49,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405280,2017,84.2,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405280,2017,9.4,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405730,2017,48.1,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405730,2017,43.9,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405730,2017,23.1,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3405730,2017,227,dcid:Count_Student_SharedTime_EnrolledInSchool,,
dcid:geoId/sch3406060,2017,45.9,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406060,2017,43.9,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406060,2017,23.4,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406510,2017,48.9,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406510,2017,34.7,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406510,2017,26.8,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406510,2017,2,dcid:Count_Student_HalfDay_EnrolledInSchool_PreKindergarten,,
dcid:geoId/sch3406570,2017,48.1,dcid:Count_Student_Female_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406570,2017,65,dcid:Count_Student_White_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
dcid:geoId/sch3406570,2017,28.7,dcid:Count_Student_HispanicOrLatino_EnrolledInSchool_AsAFractionOf_Count_Student_EnrolledInSchool,Percent,
