observationDate,observationPeriod,measurementMethod,observationAbout,value,agg_by,variableMeasured
1971-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,200.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,3500.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/21,68.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/28,187.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,22.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,67.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/35,10.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/40,6.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/37,40.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,89.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,750.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/40,50.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/48,3.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,84.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,400.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,21.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
