name,Description,url,Intervention assumptions,Methods:
Auquan,Auquan Data Science,https://covid19-infection-model.auquan.com/,These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,SEIR model
Ensemble,"University of Massachusetts, Amherst",https://reichlab.io/,The national and state-level ensemble forecasts include models that assume certain social distancing measures will continue and models that assume those measures will not continue.,"Equal-weighted combination of 2 to 11 models, depending on the availability of national and state-level forecasts. To ensure consistency, the ensemble includes only models with 4 week-ahead forecasts and models that do not assign a significant probability to there being fewer cumulative deaths than have already been reported. Only one model was available for the forecasts for Guam and the Northern Mariana Islands."
Columbia,Columbia University,https://columbia.maps.arcgis.com/apps/webappviewer/index.html?id=ade6ba85450c4325a12a5b9c09ba796c,"This model is based on assumptions about how levels of social distancing will change in the future.  It assumes a 20% reduction in contact rates for each successive week that stay-at-home orders remain in place or are expected to remain in place. Once a state has re-opened, contact rates are assumed to increase by 5% each week.",Metapopulation SEIR model
Geneva,University of Geneva / Swiss Data Science Center,https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,The projections assume that social distancing policies in place at the date of calibration are extended for the future weeks.,Exponential and linear statistical models fit to the recent growth rate of cumulative deaths.
GA_Tech,"Georgia Institute of Technology, College of Computing",https://www.cc.gatech.edu/~badityap/covid.html,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,Deep learning
Imperial,"Imperial College, London",https://mrc-ide.github.io/covid19-short-term-forecasts/index.html,These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,"Ensembles of mechanistic transmission models, fit to different parameter assumptions."
ISU,Iowa State University,http://www.covid19dashboard.us/, These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,Nonparametric spatiotemporal model
JHU,Johns Hopkins University,https://github.com/HopkinsIDD/COVIDScenarioPipeline,This model assumes that the effectiveness of interventions is reduced after shelter-in-place orders are lifted.,Stochastic metapopulation SEIR model
LANL,Los Alamos National Laboratory,https://covid-19.bsvgateway.org/,"This model assumes that currently implemented interventions and corresponding reductions in transmission will continue, resulting in an overall decrease in the growth rate of COVID-19 deaths.",Statistical dynamical growth model accounting for population susceptibility
MIT,Massachusetts Institute of Technology,https://www.covidanalytics.io/projections,The projections assume that current interventions will remain in place indefinitely.,SEIR model
MOBS,"Northeastern University, Laboratory for the Modeling of Biological and Socio-technical Systems",https://covid19.gleamproject.org/,The projections assume that social distancing policies in place at the date of calibration are extended for the future weeks.,"Metapopulation, age-structured SLIR model"
UA,University of Arizona,https://doi.org/10.1016/j.epidem.2016.10.002,This model assumes that current interventions will remain in effect for at least four weeks after the forecasts are made,Statistical curve-fitting approach
UCLA,"University of California, Los Angeles",https://covid19.uclaml.org/,These projections assume that current interventions will not change during the forecasted period.,Modified SEIR model
UMass-MB,"University of Massachusetts, Amherst",https://reichlab.io/, These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,Bayesian SEIRD model
ERDC,US Army Engineer Research and Development Center,https://github.com/erdc-cv19/covid19-forecast-hub,These projections assume that current interventions will not change during the forecasted period.,SEIR mechanistic model
UT,"University of Texas, Austin",https://covid-19.tacc.utexas.edu/projections/,This model estimates the extent of social distancing using geolocation data from mobile phones and assumes that the extent of social distancing will not change during the period of forecasting. The model is designed to predict confirmed COVID-19 deaths resulting from only a single wave of transmission.,Nonlinear Bayesian hierarchical regression with a negative-binomial model for daily variation in death rates
YYG,Youyang Gu,http://covid19-projections.com/about/,The model accounts for individual state-by-state re-openings and their impact on infections and deaths.,SEIS mechanistic model
CAN,COVID Act Now,https://covidactnow.org/?s=43246,These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,SEIR model
IHME,Institute of Health Metrics and Evaluation,https://covid19.healthdata.org/united-states-of-america,Projections are adjusted to reflect differences in aggregate population mobility and community mitigation policies.,Combination of a mechanistic disease transmission model and a curve-fitting approach
