observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/USA,2021,760156,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,,
country/USA,2021,100,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent,100
country/USA,2021,466613,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,,
country/USA,2021,100,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent,100
country/USA,2021,293543,dcid:Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,,
country/USA,2021,100,dcid:Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent,100
country/USA,2021,63328,dcid:Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,,
country/USA,2021,100,dcid:Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent,100
country/USA,2021,30548,dcid:Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NonFacultyResearcherOccupation,,
country/USA,2021,100,dcid:Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NonFacultyResearcherOccupation_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NonFacultyResearcherOccupation,Percent,100
country/USA,2021,387277,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_Male,,
country/USA,2021,50.9,dcid:Percent_Male_In_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent,100
country/USA,2021,226856,dcid:Count_Student_ScienceOrEngineeringOrHealth_MastersDegree_Male,,
