"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2011","BE","KM2","TOTAL","30,528",""
"2011","BE1","KM2","TOTAL","161",""
"2011","BE10","KM2","TOTAL","161",""
"2011","BE100","KM2","TOTAL","161",""
"2011","BE2","KM2","TOTAL","13,522.0",""
"2011","BE21","KM2","TOTAL","2,867.0",""
"2011","BE211","KM2","TOTAL","1,000.0",""
"2011","BE212","KM2","TOTAL","510.0",""
"2011","BE213","KM2","TOTAL","1,357.0",""
"2011","BE22","KM2","TOTAL","2,422.0",""
"2011","BE221","KM2","TOTAL","906.0",""
"2011","BE222","KM2","TOTAL","884.0",""
"2011","BE223","KM2","TOTAL","632.0",""
"2011","BE23","KM2","TOTAL","2,982.0",""
"2011","BE231","KM2","TOTAL","469.0",""
"2011","BE232","KM2","TOTAL","342.0",""
"2011","BE233","KM2","TOTAL","334.0",""
"2011","BE234","KM2","TOTAL","944.0",""
"2011","BE235","KM2","TOTAL","419.0",""
"2011","BE236","KM2","TOTAL","475.0",""
"2011","BE24","KM2","TOTAL","2,106.0",""
"2011","BE241","KM2","TOTAL","943.0",""
"2011","BE242","KM2","TOTAL","1,163.0",""
"2011","BE25","KM2","TOTAL","3,144.0",""
"2011","BE251","KM2","TOTAL","661.0",""
"2011","BE252","KM2","TOTAL","362.0",""
"2011","BE253","KM2","TOTAL","550.0",""
"2011","BE254","KM2","TOTAL","403.0",""
"2011","BE255","KM2","TOTAL","292.0",""
"2011","BE256","KM2","TOTAL","272.0",""
"2011","BE257","KM2","TOTAL","330.0",""
"2011","BE258","KM2","TOTAL","275.0",""
"2011","BE3","KM2","TOTAL","16,844.0",""
"2011","BE31","KM2","TOTAL","1,091.0",""
"2011","BE310","KM2","TOTAL","1,091.0",""
"2011","BE32","KM2","TOTAL","3,786.0",""
"2011","BE321","KM2","TOTAL","487.0",""
"2011","BE322","KM2","TOTAL","555.0",""
"2011","BE323","KM2","TOTAL","584.0",""
"2011","BE324","KM2","TOTAL","101.0",""
"2011","BE325","KM2","TOTAL","517.0",""
"2011","BE326","KM2","TOTAL","934.0",""
"2011","BE327","KM2","TOTAL","608.0",""
"2011","BE33","KM2","TOTAL","3,862.0",""
"2011","BE331","KM2","TOTAL","659.0",""
"2011","BE332","KM2","TOTAL","797.0",""
"2011","BE334","KM2","TOTAL","390.0",""
"2011","BE335","KM2","TOTAL","1,163.0",""
"2011","BE336","KM2","TOTAL","854.0",""
"2011","BE34","KM2","TOTAL","4,440.0",""
"2011","BE341","KM2","TOTAL","317.0",""
"2011","BE342","KM2","TOTAL","1,043.0",""
"2011","BE343","KM2","TOTAL","954.0",""
"2011","BE344","KM2","TOTAL","1,355.0",""
"2011","BE345","KM2","TOTAL","771.0",""
"2011","BE35","KM2","TOTAL","3,666.0",""
"2011","BE351","KM2","TOTAL","1,592.0",""
"2011","BE352","KM2","TOTAL","1,165.0",""
"2011","BE353","KM2","TOTAL","909.0",""
"2011","BG","KM2","TOTAL","110,899.7","b"
"2011","BG3","KM2","TOTAL","68,321.7","b"
"2011","BG31","KM2","TOTAL","19,074.8","b"
"2011","BG311","KM2","TOTAL","3,033.4","b"
"2011","BG312","KM2","TOTAL","3,635.3","b"
"2011","BG313","KM2","TOTAL","3,619.9","b"
"2011","BG314","KM2","TOTAL","4,650.2","b"
"2011","BG315","KM2","TOTAL","4,136.0","b"
"2011","BG32","KM2","TOTAL","14,805.4","b"
"2011","BG321","KM2","TOTAL","4,661.5","b"
"2011","BG322","KM2","TOTAL","2,023.0","b"
"2011","BG323","KM2","TOTAL","2,861.2","b"
"2011","BG324","KM2","TOTAL","2,413.4","b"
"2011","BG325","KM2","TOTAL","2,846.3","b"
"2011","BG33","KM2","TOTAL","14,644.6","b"
"2011","BG331","KM2","TOTAL","3,821.8","b"
"2011","BG332","KM2","TOTAL","4,717.8","b"
"2011","BG333","KM2","TOTAL","3,394.5","b"
"2011","BG334","KM2","TOTAL","2,710.5","b"
"2011","BG34","KM2","TOTAL","19,796.9","b"
"2011","BG341","KM2","TOTAL","7,747.2","b"
"2011","BG342","KM2","TOTAL","3,543.9","b"
"2011","BG343","KM2","TOTAL","3,355.4","b"
"2011","BG344","KM2","TOTAL","5,150.4","b"
"2011","BG4","KM2","TOTAL","42,578.0","b"
"2011","BG41","KM2","TOTAL","20,254.7","b"
"2011","BG411","KM2","TOTAL","1,284.9","b"
"2011","BG412","KM2","TOTAL","7,064.1","b"
"2011","BG413","KM2","TOTAL","6,450.8","b"
"2011","BG414","KM2","TOTAL","2,391.6","b"
"2011","BG415","KM2","TOTAL","3,063.3","b"
"2011","BG42","KM2","TOTAL","22,323.3","b"
"2011","BG421","KM2","TOTAL","5,915.2","b"
"2011","BG422","KM2","TOTAL","5,534.4","b"
"2011","BG423","KM2","TOTAL","4,455.4","b"
"2011","BG424","KM2","TOTAL","3,206.3","b"
"2011","BG425","KM2","TOTAL","3,212.0","b"
"2011","CZ","KM2","TOTAL","78,865.4",""
"2011","CZ0","KM2","TOTAL","78,865.4",""
"2011","CZ01","KM2","TOTAL","496.1",""
"2011","CZ010","KM2","TOTAL","496.1",""
"2011","CZ02","KM2","TOTAL","11,015.3",""
"2011","CZ020","KM2","TOTAL","11,015.3",""
"2011","CZ03","KM2","TOTAL","17,617.8",""
"2011","CZ031","KM2","TOTAL","10,056.9",""
"2011","CZ032","KM2","TOTAL","7,560.9",""
"2011","CZ04","KM2","TOTAL","8,648.9",""
"2011","CZ041","KM2","TOTAL","3,314.4",""
"2011","CZ042","KM2","TOTAL","5,334.6",""
"2011","CZ05","KM2","TOTAL","12,440.4",""
"2011","CZ051","KM2","TOTAL","3,163.0",""
"2011","CZ052","KM2","TOTAL","4,758.6",""
"2011","CZ053","KM2","TOTAL","4,518.8",""
"2011","CZ06","KM2","TOTAL","13,990.2",""
"2011","CZ063","KM2","TOTAL","6,795.5",""
"2011","CZ064","KM2","TOTAL","7,194.6",""
"2011","CZ07","KM2","TOTAL","9,229.8",""
"2011","CZ071","KM2","TOTAL","5,266.6",""
"2011","CZ072","KM2","TOTAL","3,963.2",""
"2011","CZ08","KM2","TOTAL","5,426.8",""
"2011","CZ080","KM2","TOTAL","5,426.8",""
"2011","DK","KM2","TOTAL","42,959.1",""
"2011","DK0","KM2","TOTAL","42,959.1",""
"2011","DK01","KM2","TOTAL","2,546.2",""
"2011","DK011","KM2","TOTAL","167.0",""
"2011","DK012","KM2","TOTAL","342.1",""
"2011","DK013","KM2","TOTAL","1,448.8",""
"2011","DK014","KM2","TOTAL","588.3",""
"2011","DK02","KM2","TOTAL","7,217.7",""
"2011","DK021","KM2","TOTAL","807.8",""
"2011","DK022","KM2","TOTAL","6,409.9",""
"2011","DK03","KM2","TOTAL","12,321.6",""
"2011","DK031","KM2","TOTAL","3,544.4",""
"2011","DK032","KM2","TOTAL","8,777.2",""
"2011","DK04","KM2","TOTAL","13,000.4",""
"2011","DK041","KM2","TOTAL","7,158.7",""
"2011","DK042","KM2","TOTAL","5,841.7",""
"2011","DK05","KM2","TOTAL","7,873.2",""
"2011","DK050","KM2","TOTAL","7,873.2",""
"2011","DE","KM2","TOTAL","357,121.4",""
"2011","DE1","KM2","TOTAL","35,751.5",""
"2011","DE11","KM2","TOTAL","10,557.7",""
"2011","DE111","KM2","TOTAL","207.4",""
"2011","DE112","KM2","TOTAL","617.9",""
"2011","DE113","KM2","TOTAL","641.5",""
