observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
country/CAN,2000,4.115,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:2:7
country/CAN,2001,4.271,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:3:7
country/CAN,2002,4.12,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:4:7
country/CAN,2003,3.869,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:5:7
country/CAN,2004,3.76,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:6:7
country/CAN,2005,3.841,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:7:7
country/CAN,2006,4.768,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:8:7
country/CAN,2007,4.512,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:9:7
country/CAN,2008,4.563,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:10:7
country/CAN,2009,4.401,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:11:7
country/CAN,2010,3.99,dcid:OpeningStocks_Stocks_Fuel_CrudeOil_CommerciallyRecoverableResources,Barrel,,/usr/local/google/home/kuru/DC_July092024/data/statvar_imports/oecd_data/materials_energyresources/testdata/sample_input/OECD_MaterialsAndEnergyResources_data.csv:12:7
