original,replacement,diseases,dcid,sameAs
AIDS  *;Current  quarter,Acquired Immune Deficiency Syndrome;Current quarter,Acquired Immune Deficiency Syndrome,AIDS,
Anthrax;Current  week,Anthrax;Current week,Anthrax,AnthraxDisease,bio/DOID_7427
Anthrax;Current week,Anthrax;Current week,Anthrax,AnthraxDisease,bio/DOID_7427
Babesiosis;Current  week,Babesiosis;Current week,Babesiosis,Babesiosis,bio/DOID_9643
Babesiosis;Current week,Babesiosis;Current week,Babesiosis,Babesiosis,bio/DOID_9643
Brucellosis;Current  week,Current week;Brucellosis,Brucellosis,Brucellosis,bio/DOID_11077
Brucellosis;Current week,Current week;Brucellosis,Brucellosis,Brucellosis,bio/DOID_11077
Campylobacteriosis;Current  week,Campylobacteriosis;Current week,Campylobacteriosis,Campylobacteriosis,bio/DOID_13622
Campylobacteriosis;Current week,Campylobacteriosis;Current week,Campylobacteriosis,Campylobacteriosis,bio/DOID_13622
"Candida auris  , clinical §;Current  week",Candida auris;clinical;Current week,Candida auris,CandidaAuris,
"Candida auris  , clinical §;Current week",Candida auris;clinical;Current week,Candida auris,CandidaAuris,
"Candida auris  , clinical;Current week",Candida auris;clinical;Current week,Candida auris,CandidaAuris,
Carbapenemase-producing carbapenem-resistant  Enterobacteriaceae  §;Current  week,Carbapenemase-producing carbapenem-resistant Enterobacteriaceae;Current week,Carbapenem Resistant Enterobacteriaceae,CarbapenemResistantEnterobacteriaceae,
Carbapenemase-producing carbapenem-resistant  Enterobacteriaceae  §;Current week,Carbapenemase-producing carbapenem-resistant Enterobacteriaceae;Current week,Carbapenem Resistant Enterobacteriaceae,CarbapenemResistantEnterobacteriaceae,
Carbapenemase-producing carbapenem-resistant  Enterobacteriaceae;Current week,Carbapenemase-producing carbapenem-resistant Enterobacteriaceae;Current week,Carbapenem Resistant Enterobacteriaceae,CarbapenemResistantEnterobacteriaceae,
Chancroid;Current  week,Current week;Chancroid,Chancroid,Chancroid,bio/DOID_13778
Chancroid;Current week,Current week;Chancroid,Chancroid,Chancroid,bio/DOID_13778
;Varicella (chickenpox);Current  week,Current week;Chickenpox,Chickenpox,Chickenpox,bio/DOID_8659
Varicella (chickenpox);Current  week,Current week;Chickenpox,Chickenpox,Chickenpox,bio/DOID_8659
Varicella morbidity;Current  week,Current week;Chickenpox,Chickenpox,Chickenpox,bio/DOID_8659
"Arboviral diseases, neuroinvasive and non-neuroinvasive;Chikungunya virus disease;Current  week",Current week;Chikungunya virus disease,Chikungunya virus disease,Chikungunya,bio/DOID_0050012
Arboviral diseases;Chikungunya virus disease;Current week,Current week;Chikungunya virus disease,Chikungunya virus disease,Chikungunya,bio/DOID_0050012
Chlamydia †;Current week,Chlamydia trachomatis infection;Current week,Chlamydia trachomatis infection,Chlamydia,bio/DOID_11263
Chlamydia  †;Current  week,Chlamydia trachomatis infection;Current week,Chlamydia trachomatis infection,Chlamydia,bio/DOID_11263
Chlamydia trachomatis  infection §;Current week,Chlamydia trachomatis infection;Current week,Chlamydia trachomatis infection,Chlamydia,bio/DOID_11263
Chlamydia trachomatis  infection;Current  week,Chlamydia trachomatis infection;Current week,Chlamydia trachomatis infection,Chlamydia,bio/DOID_11263
Chlamydia trachomatis  infection;Current week,Chlamydia trachomatis infection;Current week,Chlamydia trachomatis infection,Chlamydia,bio/DOID_11263
Cholera;Current  week,Current week;cholera,cholera,Cholera,bio/DOID_1498
Cholera;Current week,Current week;cholera,cholera,Cholera,bio/DOID_1498
Coccidioidomycosis;Current  week,Coccidioidomycosis;Current week,Coccidioidomycosis,Coccidioidomycosis,bio/DOID_13450
Coccidioidomycosis;Current week,Coccidioidomycosis;Current week,Coccidioidomycosis,Coccidioidomycosis,bio/DOID_13450
;Cryptosporidiosis;Current  week,Cryptosporidiosis;Current week,Cryptosporidiosis,Cryptosporidiosis,bio/DOID_1733
Cryptosporidiosis;Current  week,Cryptosporidiosis;Current week,Cryptosporidiosis,Cryptosporidiosis,bio/DOID_1733
Cryptosporidiosis;Current week,Cryptosporidiosis;Current week,Cryptosporidiosis,Cryptosporidiosis,bio/DOID_1733
Cyclosporiasis;Current  week,Current week;Cyclosporiasis,Cyclosporiasis,Cyclosporiasis,bio/DOID_12750
Cyclosporiasis;Current week,Current week;Cyclosporiasis,Cyclosporiasis,Cyclosporiasis,bio/DOID_12750
Dengue virus infection;Dengue †;Current  week,dengue fever;Current week,dengue fever,DengueDisease,bio/DOID_12205
Dengue Virus Infection;Dengue Fever  §;Current  week,dengue fever;Current week,dengue fever,DengueDisease,bio/DOID_12205
Dengue Virus Infection;Dengue Fever  †;Current  week,dengue fever;Current week,dengue fever,DengueDisease,bio/DOID_12205
Dengue virus infections §;Dengue;Current  week,dengue fever;Current week,dengue fever,DengueDisease,bio/DOID_12205
Dengue virus infections;Dengue;Current week,dengue fever;Current week,dengue fever,DengueDisease,bio/DOID_12205
