LgdCode,StatVar,Category_Count
502,Count_CivicStructure_AgriculturalFacility,202
502,Count_CivicStructure_EducationFacility,606
502,Count_CivicStructure_MedicalFacility,429
502,Count_CivicStructure_TransportOrAdminFacility,1252
503,Count_CivicStructure_AgriculturalFacility,1984
503,Count_CivicStructure_EducationFacility,701
503,Count_CivicStructure_MedicalFacility,605
503,Count_CivicStructure_TransportOrAdminFacility,1993
504,Count_CivicStructure_AgriculturalFacility,242
504,Count_CivicStructure_EducationFacility,388
504,Count_CivicStructure_MedicalFacility,320
504,Count_CivicStructure_TransportOrAdminFacility,1103
505,Count_CivicStructure_AgriculturalFacility,552
505,Count_CivicStructure_EducationFacility,572
505,Count_CivicStructure_MedicalFacility,364
505,Count_CivicStructure_TransportOrAdminFacility,1627
506,Count_CivicStructure_AgriculturalFacility,1442
506,Count_CivicStructure_EducationFacility,505
506,Count_CivicStructure_MedicalFacility,626
506,Count_CivicStructure_TransportOrAdminFacility,1674
510,Count_CivicStructure_AgriculturalFacility,797
510,Count_CivicStructure_EducationFacility,506
510,Count_CivicStructure_MedicalFacility,489
510,Count_CivicStructure_TransportOrAdminFacility,1495
511,Count_CivicStructure_AgriculturalFacility,356
511,Count_CivicStructure_EducationFacility,470
511,Count_CivicStructure_MedicalFacility,493
511,Count_CivicStructure_TransportOrAdminFacility,1235
515,Count_CivicStructure_AgriculturalFacility,1169
515,Count_CivicStructure_EducationFacility,474
515,Count_CivicStructure_MedicalFacility,423
515,Count_CivicStructure_TransportOrAdminFacility,1340
517,Count_CivicStructure_AgriculturalFacility,1645
517,Count_CivicStructure_EducationFacility,533
517,Count_CivicStructure_MedicalFacility,431
517,Count_CivicStructure_TransportOrAdminFacility,2359
519,Count_CivicStructure_AgriculturalFacility,367
519,Count_CivicStructure_EducationFacility,472
519,Count_CivicStructure_MedicalFacility,318
519,Count_CivicStructure_TransportOrAdminFacility,1268
520,Count_CivicStructure_AgriculturalFacility,1155
520,Count_CivicStructure_EducationFacility,434
520,Count_CivicStructure_MedicalFacility,307
520,Count_CivicStructure_TransportOrAdminFacility,1338
521,Count_CivicStructure_AgriculturalFacility,645
521,Count_CivicStructure_EducationFacility,361
521,Count_CivicStructure_MedicalFacility,257
521,Count_CivicStructure_TransportOrAdminFacility,1110
523,Count_CivicStructure_AgriculturalFacility,700
523,Count_CivicStructure_EducationFacility,464
523,Count_CivicStructure_MedicalFacility,331
523,Count_CivicStructure_TransportOrAdminFacility,1341
229,Count_CivicStructure_AgriculturalFacility,28
229,Count_CivicStructure_EducationFacility,34
229,Count_CivicStructure_MedicalFacility,22
229,Count_CivicStructure_TransportOrAdminFacility,28
230,Count_CivicStructure_AgriculturalFacility,11
230,Count_CivicStructure_EducationFacility,6
230,Count_CivicStructure_MedicalFacility,7
230,Count_CivicStructure_TransportOrAdminFacility,16
231,Count_CivicStructure_AgriculturalFacility,41
231,Count_CivicStructure_EducationFacility,49
231,Count_CivicStructure_MedicalFacility,24
231,Count_CivicStructure_TransportOrAdminFacility,45
232,Count_CivicStructure_AgriculturalFacility,59
232,Count_CivicStructure_EducationFacility,39
232,Count_CivicStructure_MedicalFacility,45
232,Count_CivicStructure_TransportOrAdminFacility,111
233,Count_CivicStructure_AgriculturalFacility,18
233,Count_CivicStructure_EducationFacility,28
233,Count_CivicStructure_MedicalFacility,33
233,Count_CivicStructure_TransportOrAdminFacility,43
234,Count_CivicStructure_AgriculturalFacility,119
234,Count_CivicStructure_EducationFacility,33
234,Count_CivicStructure_MedicalFacility,22
234,Count_CivicStructure_TransportOrAdminFacility,33
235,Count_CivicStructure_AgriculturalFacility,209
235,Count_CivicStructure_EducationFacility,14
235,Count_CivicStructure_MedicalFacility,6
235,Count_CivicStructure_TransportOrAdminFacility,20
236,Count_CivicStructure_AgriculturalFacility,55
236,Count_CivicStructure_EducationFacility,46
236,Count_CivicStructure_MedicalFacility,39
236,Count_CivicStructure_TransportOrAdminFacility,63
237,Count_CivicStructure_AgriculturalFacility,109
237,Count_CivicStructure_EducationFacility,67
237,Count_CivicStructure_MedicalFacility,59
237,Count_CivicStructure_TransportOrAdminFacility,91
238,Count_CivicStructure_AgriculturalFacility,13
238,Count_CivicStructure_EducationFacility,18
238,Count_CivicStructure_MedicalFacility,15
238,Count_CivicStructure_TransportOrAdminFacility,23
