key,prop,val,,,,,,,,
RCDTS,observationAbout,{Data},observationDate,2019,measuredProperty,count,populationType,Student,,
# ISA Proficiency Total Student,value,{Number},assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,,,
# ISA Proficiency - Male,value,{Number},gender,Male,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Female,value,{Number},gender,Female,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - White,value,{Number},race,White,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Black or African American,value,{Number},race,BlackOrAfricanAmerican,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Hispanic or Latino,value,{Number},race,HispanicOrLatino,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Asian,value,{Number},race,Asian,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Native Hawaiian or Other Pacific Islander,value,{Number},race,NativeHawaiianOrPacificIslander,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - American Indian or Alaska Native,value,{Number},race,AmericanIndianOrAlaskaNative,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Two or More Races,value,{Number},race,TwoOrMoreRaces,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Children with Disabilities,value,{Number},disabilityStatus,WithDisability,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - IEP,value,{Number},courseSpecialization,IndividualEducationProgram,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - EL,value,{Number},languageLearned,EnglishLearner,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Low Income,value,{Number},incomeStatus,LowIncome,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Homeless,value,{Number},socialVulnerabilityStatus,Homeless,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Migrant,value,{Number},socialVulnerabilityStatus,Migrant,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
# ISA Proficiency - Military,value,{Number},armedForcesStatus,Military,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,,
% ISA Proficiency,value,{Number},assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,-schoolSubject,,
% ISA Proficiency - Male %,value,{Number},gender,Male,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-gender,-schoolSubject"
% ISA Proficiency - Female,value,{Number},gender,Female,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-gender,-schoolSubject"
% ISA Proficiency - White,value,{Number},race,White,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Black or African American,value,{Number},race,BlackOrAfricanAmerican,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Hispanic or Latino,value,{Number},race,HispanicOrLatino,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Asian,value,{Number},race,Asian,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Native Hawaiian or Other Pacific Islander,value,{Number},race,NativeHawaiianOrOtherPacificIslander,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - American Indian or Alaska Native,value,{Number},race,AmericanIndianOrAlaskaNative,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Two or More Races,value,{Number},race,TwoOrMoreRaces,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-race,-schoolSubject"
% ISA Proficiency - Children with Disabilities,value,{Number},disabilityStatus,WithDisability,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-disabilityStatus,-schoolSubject"
% ISA Proficiency - IEP,value,{Number},courseSpecialization,IndividualEducationProgram,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-courseSpecialization,-schoolSubject"
% ISA Proficiency - EL,value,{Number},languageLearned,EnglishLearner,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-languageLearned,-schoolSubject"
