atc_code,atc_name,ddd,uom,adm_r,note
A,ALIMENTARY TRACT AND METABOLISM,NA,NA,NA,NA
A01,STOMATOLOGICAL PREPARATIONS,NA,NA,NA,NA
A01A,STOMATOLOGICAL PREPARATIONS,NA,NA,NA,NA
A01AA,Caries prophylactic agents,NA,NA,NA,NA
A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride
A01AA02,sodium monofluorophosphate,NA,NA,NA,NA
A01AA03,olaflur,1.1,mg,O,NA
A01AA04,stannous fluoride,NA,NA,NA,NA
A01AA30,combinations,NA,NA,NA,NA
A01AA51,"sodium fluoride, combinations",NA,NA,NA,NA
A01AB,Antiinfectives and antiseptics for local oral treatment,NA,NA,NA,NA
A01AB02,hydrogen peroxide,60,mg,O,NA
A01AB03,chlorhexidine,30,mg,O,NA
A01AB04,amphotericin B,40,mg,O,NA
A01AB05,polynoxylin,0.18,g,O,NA
A01AB06,domiphen,3,mg,O,NA
A01AB07,oxyquinoline,80,mg,O,NA
A01AB08,neomycin,NA,NA,NA,NA
A01AB09,miconazole,0.2,g,O,NA
A01AB10,natamycin,20,mg,O,NA
A01AB11,various,NA,NA,NA,NA
A01AB12,hexetidine,NA,NA,NA,NA
A01AB13,tetracycline,NA,NA,NA,NA
A01AB14,benzoxonium chloride,NA,NA,NA,NA
A01AB15,tibezonium iodide,NA,NA,NA,NA
A01AB16,mepartricin,NA,NA,NA,NA
A01AB17,metronidazole,NA,NA,NA,NA
A01AB18,clotrimazole,NA,NA,NA,NA
A01AB19,sodium perborate,NA,NA,NA,NA
A01AB21,chlortetracycline,NA,NA,NA,NA
A01AB22,doxycycline,NA,NA,NA,NA
A01AB23,minocycline,1,mg,O,NA
A01AB24,octenidine,NA,NA,NA,NA
A01AB25,oxytetracycline,NA,NA,NA,NA
A01AC,Corticosteroids for local oral treatment,NA,NA,NA,NA
A01AC01,triamcinolone,NA,NA,NA,NA
A01AC02,dexamethasone,NA,NA,NA,NA
A01AC03,hydrocortisone,NA,NA,NA,NA
A01AC04,prednisolone,NA,NA,NA,NA
A01AC54,"prednisolone, combinations",NA,NA,NA,NA
A01AD,Other agents for local oral treatment,NA,NA,NA,NA
A01AD01,epinephrine,NA,NA,NA,NA
A01AD02,benzydamine,NA,NA,NA,NA
A01AD05,acetylsalicylic acid,NA,NA,NA,NA
A01AD06,adrenalone,NA,NA,NA,NA
A01AD07,amlexanox,NA,NA,NA,NA
A01AD08,becaplermin,NA,NA,NA,NA
A01AD11,various,NA,NA,NA,NA
A02,DRUGS FOR ACID RELATED DISORDERS,NA,NA,NA,NA
A02A,ANTACIDS,NA,NA,NA,NA
A02AA,Magnesium compounds,NA,NA,NA,NA
A02AA01,magnesium carbonate,NA,NA,NA,NA
A02AA02,magnesium oxide,NA,NA,NA,NA
A02AA03,magnesium peroxide,NA,NA,NA,NA
A02AA04,magnesium hydroxide,3,g,O,NA
A02AA05,magnesium silicate,NA,NA,NA,NA
A02AA10,combinations,NA,NA,NA,NA
A02AB,Aluminium compounds,NA,NA,NA,NA
A02AB01,aluminium hydroxide,NA,NA,NA,NA
A02AB02,algeldrate,5,g,O,NA
A02AB03,aluminium phosphate,NA,NA,NA,NA
A02AB04,dihydroxialumini sodium carbonate,4,g,O,NA
A02AB05,aluminium acetoacetate,NA,NA,NA,NA
A02AB06,aloglutamol,NA,NA,NA,NA
A02AB07,aluminium glycinate,NA,NA,NA,NA
A02AB10,combinations,NA,NA,NA,NA
A02AC,Calcium compounds,NA,NA,NA,NA
A02AC01,calcium carbonate,NA,NA,NA,NA
A02AC02,calcium silicate,6,g,O,NA
A02AC10,combinations,NA,NA,NA,NA
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",NA,NA,NA,NA
A02AD01,ordinary salt combinations,NA,NA,NA,Standard dose: 10 tablets or 50 ml mixt
A02AD02,magaldrate,NA,NA,NA,NA
A02AD03,almagate,NA,NA,NA,NA
A02AD04,hydrotalcite,NA,NA,NA,NA
A02AD05,almasilate,NA,NA,NA,NA
A02AF,Antacids with antiflatulents,NA,NA,NA,NA
A02AF01,magaldrate and antiflatulents,NA,NA,NA,NA
A02AF02,ordinary salt combinations and antiflatulents,NA,NA,NA,NA
A02AG,Antacids with antispasmodics,NA,NA,NA,NA
A02AH,Antacids with sodium bicarbonate,NA,NA,NA,NA
A02AX,"Antacids, other combinations",NA,NA,NA,NA
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),NA,NA,NA,NA
A02BA,H2-receptor antagonists,NA,NA,NA,NA
A02BA01,cimetidine,0.8,g,O,NA
A02BA01,cimetidine,0.8,g,P,NA
A02BA02,ranitidine,0.3,g,O,NA
A02BA02,ranitidine,0.3,g,P,NA
A02BA03,famotidine,40,mg,O,NA
A02BA03,famotidine,40,mg,P,NA
A02BA04,nizatidine,0.3,g,O,NA
A02BA04,nizatidine,0.3,g,P,NA
A02BA05,niperotidine,NA,NA,NA,NA
A02BA06,roxatidine,0.15,g,O,NA
A02BA07,ranitidine bismuth citrate,0.8,g,O,NA
A02BA08,lafutidine,20,mg,O,NA
A02BA51,"cimetidine, combinations",NA,NA,NA,NA
A02BA53,"famotidine, combinations",NA,NA,NA,NA
A02BB,Prostaglandins,NA,NA,NA,NA
A02BB01,misoprostol,0.8,mg,O,NA
A02BB02,enprostil,70,mcg,O,NA
A02BC,Proton pump inhibitors,NA,NA,NA,NA
A02BC01,omeprazole,20,mg,O,NA
A02BC01,omeprazole,20,mg,P,NA
A02BC02,pantoprazole,40,mg,O,NA
A02BC02,pantoprazole,40,mg,P,NA
A02BC03,lansoprazole,30,mg,O,NA
A02BC04,rabeprazole,20,mg,O,NA
A02BC05,esomeprazole,30,mg,O,NA
A02BC05,esomeprazole,30,mg,P,NA
A02BC06,dexlansoprazole,30,mg,O,NA
A02BC07,dexrabeprazole,NA,NA,NA,NA
A02BC08,vonoprazan,NA,NA,NA,NA
A02BC09,tegoprazan,NA,NA,NA,NA
A02BC53,"lansoprazole, combinations",NA,NA,NA,NA
A02BC54,"rabeprazole, combinations",NA,NA,NA,NA
A02BD,Combinations for eradication of Helicobacter pylori,NA,NA,NA,NA
A02BD01,"omeprazole, amoxicillin and metronidazole",NA,NA,NA,NA
A02BD02,"lansoprazole, tetracycline and metronidazole",NA,NA,NA,NA
A02BD03,"lansoprazole, amoxicillin and metronidazole",NA,NA,NA,NA
A02BD04,"pantoprazole, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD05,"omeprazole, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD06,"esomeprazole, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD07,"lansoprazole, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD08,"bismuth subcitrate, tetracycline and metronidazole",NA,NA,NA,NA
A02BD09,"lansoprazole, clarithromycin and tinidazole",NA,NA,NA,NA
A02BD10,"lansoprazole, amoxicillin and levofloxacin",NA,NA,NA,NA
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",NA,NA,NA,NA
A02BD12,"rabeprazole, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD13,"rabeprazole, amoxicillin and metronidazole",NA,NA,NA,NA
A02BD14,"vonoprazan, amoxicillin and clarithromycin",NA,NA,NA,NA
A02BD15,"vonoprazan, amoxicillin and metronidazole",NA,NA,NA,NA
A02BD16,"omeprazole, amoxicillin and rifabutin",NA,NA,NA,NA
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),NA,NA,NA,NA
A02BX01,carbenoxolone,0.15,g,O,NA
A02BX02,sucralfate,4,g,O,NA
A02BX03,pirenzepine,0.1,g,O,NA
A02BX03,pirenzepine,20,mg,P,NA
A02BX04,methiosulfonium chloride,NA,NA,NA,NA
A02BX05,bismuth subcitrate,0.48,g,O,NA
A02BX06,proglumide,1.2,g,O,NA
A02BX07,gefarnate,NA,NA,NA,NA
A02BX08,sulglicotide,NA,NA,NA,NA
A02BX09,acetoxolone,NA,NA,NA,NA
A02BX10,zolimidine,NA,NA,NA,NA
A02BX11,troxipide,NA,NA,NA,NA
A02BX12,bismuth subnitrate,NA,NA,NA,NA
A02BX13,alginic acid,NA,NA,NA,NA
A02BX14,rebamipide,0.3,g,O,NA
A02BX15,teprenone,NA,NA,NA,NA
A02BX51,"carbenoxolone, combinations excl. psycholeptics",NA,NA,NA,NA
A02BX71,"carbenoxolone, combinations with psycholeptics",NA,NA,NA,NA
A02BX77,"gefarnate, combinations with psycholeptics",NA,NA,NA,NA
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,NA,NA,NA,NA
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,NA,NA,NA,NA
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,NA,NA,NA,NA
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",NA,NA,NA,NA
A03AA01,oxyphencyclimine,20,mg,O,NA
A03AA03,camylofin,0.2,g,O,NA
A03AA03,camylofin,0.2,g,R,NA
A03AA04,mebeverine,0.3,g,O,NA
A03AA05,trimebutine,0.6,g,O,NA
A03AA06,rociverine,NA,NA,NA,NA
A03AA07,dicycloverine,80,mg,O,NA
A03AA07,dicycloverine,80,mg,P,NA
A03AA08,dihexyverine,NA,NA,NA,NA
A03AA09,difemerine,NA,NA,NA,NA
A03AA30,piperidolate,NA,NA,NA,NA
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",NA,NA,NA,NA
A03AB01,benzilone,70,mg,O,NA
A03AB02,glycopyrronium bromide,3,mg,O,NA
A03AB02,glycopyrronium bromide,0.3,mg,P,NA
A03AB02,glycopyrronium bromide,3,mg,R,NA
A03AB03,oxyphenonium,25,mg,O,NA
A03AB04,penthienate,15,mg,O,NA
A03AB05,propantheline,60,mg,O,NA
A03AB05,propantheline,60,mg,P,NA
