VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
District lgd code,DistrictCode,Key Identifier,,0,,,,District LGD Code
District,DistrictName,Key Identifier,,0,,,,District
Year,Year,Key Identifier,"",0,"","","",Year
Women age group 15 to 19 years who are anaemic (%),I6822_7,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Women of age 15 to 19 years who are anaemic (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NHFS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Women age group 15 to 49 years who are anaemic (%),I6822_8,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among all women age 15 to 19 years who are anaemic (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Married women age group 15 to 49 years use any family planning methods (%),I6822_9,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women age 15 to 49 years using any family planning methods. (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
Married women age group 15 to 49 years any modern family planning method (%),I6822_10,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women age 15 to 49 years using any modern family planning method (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
