key,prop,val,,,,,,,,
#Reporting Area,,,,,,,,,,
observationDate,observationDate,{Data},,,,,,,,
Previous 52 week Max,value,{Number},,,populationType,MedicalConditionIncident,measurementMethod,CDC_NNDSS_Diseases_WeeklyTables,observationPeriod,P1W
Anthrax,medicalCondition,AnthraxDisease,,,,,,,,
"Arboviral diseases, Chikungunya virus disease",medicalCondition,Chikungunya,,,,,,,,
"Arboviral diseases, Eastern equine encephalitis virus disease",medicalCondition,EasternEquineEncephalitis,,,,,,,,
"Arboviral diseases, Jamestown Canyon  virus disease",medicalCondition,JamestownCanyonVirusDisease,,,,,,,,
"Viral hemorrhagic fevers, Machupo virus",medicalCondition,MachupoHemorrhagicFever,,,,,,,,
"Arboviral diseases, La Crosse  virus disease",#ignore,ignore,,,,,,,,
"Arboviral diseases, Powassan virus disease",medicalCondition,PowassanVirusDisease,,,,,,,,
Yellow fever,#ignore,ignore,,,,,,,,
"Arboviral diseases, St. Louis encephalitis virus disease",#ignore,ignore,,,,,,,,
"Arboviral diseases, West Nile virus disease",medicalCondition,WestNileVirusDisease,,,,,,,,
Babesiosis,medicalCondition,Babesiosis,,,,,,,,
"Botulism, Foodborne",medicalCondition,FoodborneBotulism,,,,,,,,
"Botulism, Infant",medicalCondition,InfantBotulism,,,,,,,,
"Arboviral diseases, Western equine encephalitis virus disease",#ignore,ignore,,,,,,,,
"Botulism, Other (wound & unspecified)",medicalCondition,WoundBotulism,,,,,,,,
Brucellosis,medicalCondition,"Brucellosis
",,,,,,,,
Campylobacteriosis,medicalCondition,Campylobacteriosis,,,,,,,,
"Candida auris, clinical",medicalCondition,CandidaAuris,medicalStatus,ClinicalCase,,,,,,
"Candida auris, screening",medicalCondition,CandidaAuris,,,,,,,,
"Carbapenemase-Producing Organisms (CPO), Total",#ignore,ignore,,,,,,,,
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,medicalCondition,CarbapenemResistantEnterobacteriaceae,,,,,,,,
Chancroid,medicalCondition,Chancroid,,,,,,,,
Cholera,medicalCondition,Cholera,,,,,,,,
Chlamydia trachomatis infection,#ignore,ignore,,,,,,,,
"Coccidioidomycosis, Confirmed",#ignore,ignore,,,,,,,,
"Coccidioidomycosis, Probable",#ignore,ignore,,,,,,,,
"Coccidioidomycosis, Total",#ignore,ignore,,,,,,,,
"Coccidioidomycosis, total",#ignore,ignore,,,,,,,,
"Cronobacter invasive infection, infants, Confirmed",#ignore,ignore,,,,,,,,
"Cronobacter invasive infection, infants, Probable",#ignore,ignore,,,,,,,,
Cryptosporidiosis,medicalCondition,Cryptosporidiosis,,,,,,,,
Cyclosporiasis,medicalCondition,Cyclosporiasis,,,,,,,,
"Dengue virus infections, Dengue",medicalCondition,DengueDisease,,,,,,,,
"Dengue virus infections, Dengue-like illness",medicalCondition,DengueLikeIllness,,,,,,,,
"Dengue virus infections, Severe dengue",medicalCondition,SevereDengue,,,,,,,,
"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",medicalCondition,UndeterminedEhrlichiosis/Anaplasmosis,,,,,,,,
"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",medicalCondition,Ehrlichiosis,,,,,,,,
