Year,StatVar,Quantity
2014,Victim_Count_CriminalIncidents_IsHateCrime,6727
2014,Victim_Count_CriminalIncidents_IsHateCrime_18OrMoreYears,2096
2014,Victim_Count_CriminalIncidents_IsHateCrime_17OrLessYears,254
2014,Victim_Count_CriminalIncidents_MurderAndNonNegligentManslaughter_IsHateCrime,4
2014,Victim_Count_CriminalIncidents_AggravatedAssault_IsHateCrime,770
2014,Victim_Count_CriminalIncidents_SimpleAssault_IsHateCrime,1514
2014,Victim_Count_CriminalIncidents_Intimidation_IsHateCrime,1745
2014,Victim_Count_CriminalIncidents_OtherCrimesAgainstPerson_IsHateCrime,6.0
2014,Victim_Count_CriminalIncidents_Robbery_IsHateCrime,138
2014,Victim_Count_CriminalIncidents_Burglary_IsHateCrime,208.0
2014,Victim_Count_CriminalIncidents_LarcenyTheft_IsHateCrime,256
2014,Victim_Count_CriminalIncidents_MotorVehicleTheft_IsHateCrime,22.0
2014,Victim_Count_CriminalIncidents_Arson_IsHateCrime,39.0
2014,Victim_Count_CriminalIncidents_DestructionOrDamageOrVandalismOfProperty_IsHateCrime,1907
2014,Victim_Count_CriminalIncidents_OtherCrimesAgainstProperty_IsHateCrime,54
2014,Victim_Count_CriminalIncidents_CrimeAgainstSociety_IsHateCrime,55
2014,Victim_Count_CriminalIncidents_ForcibleRape_IsHateCrime,9
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime,6681
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_18OrMoreYears,2083
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_17OrLessYears,254
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_MurderAndNonNegligentManslaughter_IsHateCrime,4
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_AggravatedAssault_IsHateCrime,767
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_SimpleAssault_IsHateCrime,1507
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_Intimidation_IsHateCrime,1738
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_OtherCrimesAgainstPerson_IsHateCrime,6.0
2014,Victim_Count_CriminalIncidents_BiasMotivationSingleBias_Robbery_IsHateCrime,137
