YEAR,LOCATION,SV,MEASUREMENT_METHOD,OBSERVATION
1981,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,31278
1982,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,30352
1983,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,29522
1984,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28832
1985,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28118
1986,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,27424
1987,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,26754
1988,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,26027
1989,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,25202
1990,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,24795
1991,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,25322
1992,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,26463
1993,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,28289
1994,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,30673
1995,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,33042
1996,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,35889
1997,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,39340
1998,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,42559
1999,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,45349
2000,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,77016
2001,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,85722
2002,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,94179
2003,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,103472
2004,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,113284
2005,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,124822
2006,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,137842
2007,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,150652
2008,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,163709
2009,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,176518
2010,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,186094
2011,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,189328
2012,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,189889
2013,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,192088
2014,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,194360
2015,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,198121
2016,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,203666
2017,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,208724
2018,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,215281
2019,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,220789
2020,country/USA,dcid:Count_Person_HispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,226557
2010,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9881
2011,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9723
2012,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9713
2013,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9673
2014,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9594
2015,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9676
2016,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,9967
2017,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,10161
2018,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,10479
2019,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,10765
2020,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,11192
1981,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,164
1982,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,176
1983,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,194
1984,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,213
1985,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,230
1986,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,256
