ObservationAbout,Year,Depth,Reserve Type,Reserves in Billion Tonne
NAGALAND,2007,0-300,PROVED,
ASSAM,2018,0-300,INFERRED,
NAGALAND,2006,0-300,INDICATED,
ASSAM,2019,0-300,INFERRED,
ASSAM,2017,0-300,INFERRED,
NAGALAND,2007,0-300,INDICATED,
MADHYA PRADESH,2009,600-1200,PROVED,
ASSAM,2011,0-300,INFERRED,
ASSAM,2015,0-300,INFERRED,
ASSAM,2014,0-300,INFERRED,
ASSAM,2009,0-300,INFERRED,
ASSAM,2020,0-300,INFERRED,
ASSAM,2013,0-300,INFERRED,
ASSAM,2010,0-300,INFERRED,
NAGALAND,2008,0-300,PROVED,
ODISHA,2008,300-600,PROVED,
NAGALAND,2006,0-300,PROVED,
ASSAM,2022,0-300,INFERRED,
ASSAM,2021,0-300,INFERRED,
ASSAM,2006,300-600,INFERRED,
ASSAM,2012,0-300,INFERRED,
NAGALAND,2008,0-300,INDICATED,
ASSAM,2008,300-600,INFERRED,
ASSAM,2007,300-600,INFERRED,
ASSAM,2016,0-300,INFERRED,
ANDHRA PRADESH,2020,300-600,PROVED,0.01
NAGALAND,2020,0-300,PROVED,0.01
ANDHRA PRADESH,2009,600-1200,PROVED,0.01
BIHAR,2021,0-300,INFERRED,0.01
ASSAM,2010,300-600,INDICATED,0.01
MAHARASHTRA,2018,600-1200,PROVED,0.01
NAGALAND,2016,0-300,PROVED,0.01
NAGALAND,2017,0-300,PROVED,0.01
ANDHRA PRADESH,2010,600-1200,PROVED,0.01
NAGALAND,2019,0-300,PROVED,0.01
BIHAR,2020,0-300,INFERRED,0.01
MADHYA PRADESH,2021,600-1200,PROVED,0.01
ANDHRA PRADESH,2019,300-600,PROVED,0.01
NAGALAND,2022,0-300,PROVED,0.01
MADHYA PRADESH,2022,600-1200,PROVED,0.01
NAGALAND,2015,0-300,PROVED,0.01
NAGALAND,2012,0-300,PROVED,0.01
MADHYA PRADESH,2018,600-1200,PROVED,0.01
ASSAM,2006,300-600,INDICATED,0.01
ODISHA,2009,300-600,PROVED,0.01
NAGALAND,2014,0-300,PROVED,0.01
CHHATTISGARH,2019,600-1200,PROVED,0.01
MADHYA PRADESH,2019,600-1200,PROVED,0.01
ASSAM,2007,300-600,INDICATED,0.01
NAGALAND,2018,0-300,PROVED,0.01
BIHAR,2022,0-300,INFERRED,0.01
BIHAR,2019,0-300,INFERRED,0.01
MAHARASHTRA,2017,600-1200,PROVED,0.01
NAGALAND,2010,0-300,PROVED,0.01
MAHARASHTRA,2016,600-1200,PROVED,0.01
NAGALAND,2009,0-300,PROVED,0.01
NAGALAND,2011,0-300,PROVED,0.01
NAGALAND,2021,0-300,PROVED,0.01
ASSAM,2008,300-600,INDICATED,0.01
MADHYA PRADESH,2017,600-1200,PROVED,0.01
ASSAM,2009,300-600,INDICATED,0.01
NAGALAND,2013,0-300,PROVED,0.01
MADHYA PRADESH,2016,600-1200,PROVED,0.01
NAGALAND,2009,0-300,INFERRED,0.01
ANDHRA PRADESH,2011,600-1200,PROVED,0.01
MADHYA PRADESH,2020,600-1200,PROVED,0.01
ARUNACHAL PRADESH,2008,0-300,INFERRED,0.02
ASSAM,2021,300-600,INDICATED,0.02
ASSAM,2010,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2007,0-300,INFERRED,0.02
ASSAM,2012,300-600,INDICATED,0.02
ASSAM,2014,300-600,INDICATED,0.02
MEGHALAYA,2009,0-300,INDICATED,0.02
ASSAM,2018,300-600,INDICATED,0.02
MEGHALAYA,2019,0-300,INDICATED,0.02
ASSAM,2020,300-600,INDICATED,0.02
ASSAM,2009,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2010,0-300,INFERRED,0.02
MEGHALAYA,2018,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2018,0-300,INFERRED,0.02
ARUNACHAL PRADESH,2006,0-300,INFERRED,0.02
ASSAM,2013,300-600,INDICATED,0.02
ARUNACHAL PRADESH,2009,0-300,INFERRED,0.02
NAGALAND,2021,0-300,INDICATED,0.02
MEGHALAYA,2010,0-300,INDICATED,0.02
MEGHALAYA,2017,0-300,INDICATED,0.02
ASSAM,2015,300-600,INDICATED,0.02
NAGALAND,2006,0-300,INFERRED,0.02
ARUNACHAL PRADESH,2020,0-300,INFERRED,0.02
ASSAM,2007,0-300,INDICATED,0.02
ASSAM,2006,0-300,INDICATED,0.02
NAGALAND,2007,0-300,INFERRED,0.02
MEGHALAYA,2020,0-300,INDICATED,0.02
MEGHALAYA,2021,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2011,0-300,INFERRED,0.02
MEGHALAYA,2012,0-300,INDICATED,0.02
ASSAM,2011,300-600,INDICATED,0.02
NAGALAND,2020,0-300,INDICATED,0.02
NAGALAND,2019,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2022,0-300,INFERRED,0.02
ARUNACHAL PRADESH,2019,0-300,INFERRED,0.02
MEGHALAYA,2015,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2012,0-300,INFERRED,0.02
ASSAM,2017,300-600,INDICATED,0.02
ARUNACHAL PRADESH,2014,0-300,INFERRED,0.02
MEGHALAYA,2022,0-300,INDICATED,0.02
ASSAM,2008,0-300,INDICATED,0.02
MEGHALAYA,2014,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2013,0-300,INFERRED,0.02
MEGHALAYA,2013,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2017,0-300,INFERRED,0.02
NAGALAND,2008,0-300,INFERRED,0.02
ASSAM,2022,300-600,INDICATED,0.02
ASSAM,2016,300-600,INDICATED,0.02
MEGHALAYA,2016,0-300,INDICATED,0.02
ASSAM,2019,300-600,INDICATED,0.02
NAGALAND,2022,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2021,0-300,INFERRED,0.02
ARUNACHAL PRADESH,2015,0-300,INFERRED,0.02
MEGHALAYA,2011,0-300,INDICATED,0.02
ARUNACHAL PRADESH,2016,0-300,INFERRED,0.02
SIKKIM,2007,0-300,INFERRED,0.02
ASSAM,2011,0-300,INDICATED,0.03
ARUNACHAL PRADESH,2009,0-300,PROVED,0.03
ARUNACHAL PRADESH,2019,0-300,PROVED,0.03
MADHYA PRADESH,2008,600-1200,INFERRED,0.03
ARUNACHAL PRADESH,2021,0-300,PROVED,0.03
ARUNACHAL PRADESH,2007,0-300,PROVED,0.03
ARUNACHAL PRADESH,2008,0-300,PROVED,0.03
ASSAM,2015,0-300,INDICATED,0.03
MADHYA PRADESH,2010,600-1200,INFERRED,0.03
ASSAM,2013,0-300,INDICATED,0.03
ARUNACHAL PRADESH,2017,0-300,PROVED,0.03
ARUNACHAL PRADESH,2016,0-300,PROVED,0.03
ASSAM,2008,0-300,INFERRED,0.03
ARUNACHAL PRADESH,2010,0-300,PROVED,0.03
MADHYA PRADESH,2006,600-1200,INFERRED,0.03
ANDHRA PRADESH,2012,600-1200,PROVED,0.03
ARUNACHAL PRADESH,2022,0-300,PROVED,0.03
ARUNACHAL PRADESH,2014,0-300,PROVED,0.03
ARUNACHAL PRADESH,2011,0-300,PROVED,0.03
ASSAM,2012,0-300,INDICATED,0.03
ARUNACHAL PRADESH,2015,0-300,PROVED,0.03
MAHARASHTRA,2006,600-1200,INDICATED,0.03
ASSAM,2006,0-300,INFERRED,0.03
ARUNACHAL PRADESH,2020,0-300,PROVED,0.03
MADHYA PRADESH,2007,600-1200,INFERRED,0.03
ASSAM,2014,0-300,INDICATED,0.03
ARUNACHAL PRADESH,2013,0-300,PROVED,0.03
ARUNACHAL PRADESH,2006,0-300,PROVED,0.03
ASSAM,2007,0-300,INFERRED,0.03
ARUNACHAL PRADESH,2012,0-300,PROVED,0.03
ARUNACHAL PRADESH,2018,0-300,PROVED,0.03
ARUNACHAL PRADESH,2022,0-300,INDICATED,0.04
SIKKIM,2020,0-300,INFERRED,0.04
SIKKIM,2017,0-300,INFERRED,0.04
MAHARASHTRA,2012,600-1200,INDICATED,0.04
ARUNACHAL PRADESH,2011,0-300,INDICATED,0.04
SIKKIM,2016,0-300,INFERRED,0.04
ARUNACHAL PRADESH,2012,0-300,INDICATED,0.04
SIKKIM,2013,0-300,INFERRED,0.04
ARUNACHAL PRADESH,2009,0-300,INDICATED,0.04
MAHARASHTRA,2007,600-1200,INDICATED,0.04
ARUNACHAL PRADESH,2008,0-300,INDICATED,0.04
ARUNACHAL PRADESH,2014,0-300,INDICATED,0.04
SIKKIM,2011,0-300,INFERRED,0.04
ARUNACHAL PRADESH,2021,0-300,INDICATED,0.04
MADHYA PRADESH,2009,600-1200,INFERRED,0.04
MAHARASHTRA,2009,600-1200,INDICATED,0.04
MEGHALAYA,2007,0-300,INDICATED,0.04
MAHARASHTRA,2015,600-1200,INDICATED,0.04
ARUNACHAL PRADESH,2007,0-300,INDICATED,0.04
MEGHALAYA,2006,0-300,INDICATED,0.04
ASSAM,2019,0-300,INDICATED,0.04
SIKKIM,2010,0-300,INFERRED,0.04
MAHARASHTRA,2016,600-1200,INDICATED,0.04
SIKKIM,2015,0-300,INFERRED,0.04
ARUNACHAL PRADESH,2006,0-300,INDICATED,0.04
ARUNACHAL PRADESH,2018,0-300,INDICATED,0.04
SIKKIM,2009,0-300,INFERRED,0.04
MAHARASHTRA,2008,600-1200,INDICATED,0.04
SIKKIM,2014,0-300,INFERRED,0.04
MAHARASHTRA,2014,600-1200,INDICATED,0.04
SIKKIM,2022,0-300,INFERRED,0.04
SIKKIM,2008,0-300,INFERRED,0.04
SIKKIM,2019,0-300,INFERRED,0.04
ARUNACHAL PRADESH,2016,0-300,INDICATED,0.04
ASSAM,2016,0-300,INDICATED,0.04
ASSAM,2021,0-300,INDICATED,0.04
ARUNACHAL PRADESH,2017,0-300,INDICATED,0.04
SIKKIM,2012,0-300,INFERRED,0.04
ASSAM,2017,0-300,INDICATED,0.04
ARUNACHAL PRADESH,2015,0-300,INDICATED,0.04
SIKKIM,2021,0-300,INFERRED,0.04
MADHYA PRADESH,2011,600-1200,INFERRED,0.04
ARUNACHAL PRADESH,2019,0-300,INDICATED,0.04
MAHARASHTRA,2013,600-1200,INDICATED,0.04
ARUNACHAL PRADESH,2013,0-300,INDICATED,0.04
ASSAM,2018,0-300,INDICATED,0.04
ASSAM,2020,0-300,INDICATED,0.04
ARUNACHAL PRADESH,2020,0-300,INDICATED,0.04
MAHARASHTRA,2011,600-1200,INDICATED,0.04
ARUNACHAL PRADESH,2010,0-300,INDICATED,0.04
SIKKIM,2018,0-300,INFERRED,0.04
ASSAM,2022,0-300,INDICATED,0.04
MAHARASHTRA,2010,600-1200,INDICATED,0.04
ANDHRA PRADESH,2020,0-300,INFERRED,0.05
ANDHRA PRADESH,2018,0-300,INFERRED,0.05
ANDHRA PRADESH,2022,0-300,INFERRED,0.05
ANDHRA PRADESH,2016,0-300,INFERRED,0.05
ANDHRA PRADESH,2013,600-1200,PROVED,0.05
ANDHRA PRADESH,2019,0-300,INFERRED,0.05
WEST BENGAL,2009,600-1200,PROVED,0.05
ANDHRA PRADESH,2015,0-300,INFERRED,0.05
WEST BENGAL,2010,600-1200,PROVED,0.05
WEST BENGAL,2007,600-1200,PROVED,0.05
ANDHRA PRADESH,2021,0-300,INFERRED,0.05
ANDHRA PRADESH,2017,0-300,INFERRED,0.05
WEST BENGAL,2008,600-1200,PROVED,0.05
WEST BENGAL,2006,600-1200,PROVED,0.05
WEST BENGAL,2011,600-1200,PROVED,0.05
SIKKIM,2009,0-300,INDICATED,0.06
MAHARASHTRA,2019,600-1200,PROVED,0.06
ANDHRA PRADESH,2021,600-1200,INDICATED,0.06
CHHATTISGARH,2008,300-600,PROVED,0.06
CHHATTISGARH,2007,300-600,PROVED,0.06
ANDHRA PRADESH,2022,600-1200,INDICATED,0.06
MAHARASHTRA,2021,600-1200,PROVED,0.06
MAHARASHTRA,2022,600-1200,PROVED,0.06
SIKKIM,2021,0-300,INDICATED,0.06
MAHARASHTRA,2020,600-1200,PROVED,0.06
SIKKIM,2007,0-300,INDICATED,0.06
SIKKIM,2008,0-300,INDICATED,0.06
MAHARASHTRA,2017,600-1200,INDICATED,0.06
SIKKIM,2017,0-300,INDICATED,0.06
SIKKIM,2020,0-300,INDICATED,0.06
SIKKIM,2011,0-300,INDICATED,0.06
ANDHRA PRADESH,2014,600-1200,PROVED,0.06
SIKKIM,2019,0-300,INDICATED,0.06
SIKKIM,2014,0-300,INDICATED,0.06
SIKKIM,2010,0-300,INDICATED,0.06
CHHATTISGARH,2006,300-600,PROVED,0.06
SIKKIM,2015,0-300,INDICATED,0.06
SIKKIM,2016,0-300,INDICATED,0.06
MAHARASHTRA,2018,600-1200,INDICATED,0.06
SIKKIM,2012,0-300,INDICATED,0.06
SIKKIM,2018,0-300,INDICATED,0.06
SIKKIM,2013,0-300,INDICATED,0.06
SIKKIM,2022,0-300,INDICATED,0.06
MAHARASHTRA,2022,600-1200,INFERRED,0.07
MAHARASHTRA,2020,600-1200,INFERRED,0.07
TELANGANA,2015,600-1200,PROVED,0.07
MAHARASHTRA,2006,300-600,PROVED,0.07
MAHARASHTRA,2019,600-1200,INFERRED,0.07
MEGHALAYA,2008,0-300,INDICATED,0.07
MAHARASHTRA,2021,600-1200,INFERRED,0.07
ANDHRA PRADESH,2015,600-1200,INDICATED,0.08
ANDHRA PRADESH,2020,600-1200,INDICATED,0.08
ANDHRA PRADESH,2016,600-1200,INDICATED,0.08
MAHARASHTRA,2008,300-600,PROVED,0.08
ANDHRA PRADESH,2019,600-1200,INDICATED,0.08
ANDHRA PRADESH,2018,600-1200,INDICATED,0.08
MAHARASHTRA,2007,300-600,PROVED,0.08
ANDHRA PRADESH,2017,600-1200,INDICATED,0.08
MEGHALAYA,2013,0-300,PROVED,0.09
MEGHALAYA,2019,0-300,PROVED,0.09
ANDHRA PRADESH,2019,0-300,PROVED,0.09
MEGHALAYA,2015,0-300,PROVED,0.09
MEGHALAYA,2009,0-300,PROVED,0.09
TELANGANA,2019,0-300,INFERRED,0.09
MEGHALAYA,2018,0-300,PROVED,0.09
MEGHALAYA,2010,0-300,PROVED,0.09
MEGHALAYA,2008,0-300,PROVED,0.09
ANDHRA PRADESH,2020,0-300,PROVED,0.09
MEGHALAYA,2017,0-300,PROVED,0.09
MEGHALAYA,2014,0-300,PROVED,0.09
MEGHALAYA,2012,0-300,PROVED,0.09
MEGHALAYA,2020,0-300,PROVED,0.09
MEGHALAYA,2016,0-300,PROVED,0.09
MEGHALAYA,2021,0-300,PROVED,0.09
MEGHALAYA,2011,0-300,PROVED,0.09
MEGHALAYA,2022,0-300,PROVED,0.09
CHHATTISGARH,2020,600-1200,PROVED,0.1
MADHYA PRADESH,2013,600-1200,INFERRED,0.1
MADHYA PRADESH,2016,600-1200,INFERRED,0.1
MADHYA PRADESH,2014,600-1200,INFERRED,0.1
ANDHRA PRADESH,2006,0-300,INFERRED,0.1
ANDHRA PRADESH,2007,0-300,INFERRED,0.1
MADHYA PRADESH,2012,600-1200,INFERRED,0.1
TELANGANA,2017,0-300,INFERRED,0.1
CHHATTISGARH,2021,600-1200,PROVED,0.11
ANDHRA PRADESH,2016,300-600,INFERRED,0.11
ANDHRA PRADESH,2017,300-600,INFERRED,0.11
MADHYA PRADESH,2015,600-1200,INFERRED,0.11
ANDHRA PRADESH,2009,0-300,INFERRED,0.11
ANDHRA PRADESH,2022,300-600,INFERRED,0.11
ANDHRA PRADESH,2021,300-600,INFERRED,0.11
ANDHRA PRADESH,2015,300-600,INFERRED,0.11
WEST BENGAL,2012,600-1200,PROVED,0.11
ODISHA,2010,300-600,PROVED,0.11
ANDHRA PRADESH,2019,300-600,INFERRED,0.11
TELANGANA,2015,0-300,INFERRED,0.11
ANDHRA PRADESH,2018,300-600,INFERRED,0.11
TELANGANA,2018,0-300,INFERRED,0.11
ANDHRA PRADESH,2008,0-300,INFERRED,0.11
ANDHRA PRADESH,2020,300-600,INFERRED,0.11
CHHATTISGARH,2022,600-1200,PROVED,0.11
MEGHALAYA,2006,0-300,PROVED,0.12
MADHYA PRADESH,2007,600-1200,INDICATED,0.12
TELANGANA,2016,0-300,INFERRED,0.12
MAHARASHTRA,2019,600-1200,INDICATED,0.12
MADHYA PRADESH,2008,600-1200,INDICATED,0.12
TELANGANA,2016,600-1200,PROVED,0.12
MADHYA PRADESH,2006,600-1200,INDICATED,0.12
ANDHRA PRADESH,2022,300-600,PROVED,0.12
MEGHALAYA,2007,0-300,PROVED,0.12
MAHARASHTRA,2020,600-1200,INDICATED,0.12
ANDHRA PRADESH,2021,300-600,PROVED,0.12
MAHARASHTRA,2022,600-1200,INDICATED,0.13
ANDHRA PRADESH,2021,0-300,PROVED,0.13
BIHAR,2018,0-300,INFERRED,0.13
CHHATTISGARH,2009,300-600,PROVED,0.13
BIHAR,2017,600-1200,INFERRED,0.13
MAHARASHTRA,2021,600-1200,INDICATED,0.13
ANDHRA PRADESH,2022,0-300,PROVED,0.13
MADHYA PRADESH,2010,600-1200,INDICATED,0.13
BIHAR,2019,600-1200,INDICATED,0.14
ASSAM,2006,300-600,PROVED,0.14
MAHARASHTRA,2008,600-1200,INFERRED,0.14
BIHAR,2018,600-1200,INDICATED,0.14
MAHARASHTRA,2010,600-1200,INFERRED,0.14
MAHARASHTRA,2006,600-1200,INFERRED,0.14
ASSAM,2008,300-600,PROVED,0.14
TELANGANA,2017,600-1200,PROVED,0.14
ASSAM,2010,300-600,PROVED,0.14
ASSAM,2009,300-600,PROVED,0.14
MAHARASHTRA,2011,600-1200,INFERRED,0.14
MADHYA PRADESH,2019,600-1200,INFERRED,0.14
MADHYA PRADESH,2017,600-1200,INFERRED,0.14
ASSAM,2007,300-600,PROVED,0.14
MAHARASHTRA,2009,600-1200,INFERRED,0.14
MAHARASHTRA,2007,600-1200,INFERRED,0.14
MADHYA PRADESH,2018,600-1200,INFERRED,0.14
ANDHRA PRADESH,2013,0-300,INFERRED,0.15
MAHARASHTRA,2015,600-1200,INFERRED,0.15
ANDHRA PRADESH,2012,0-300,INFERRED,0.15
ANDHRA PRADESH,2014,0-300,INFERRED,0.15
ANDHRA PRADESH,2010,0-300,INFERRED,0.15
MAHARASHTRA,2013,600-1200,INFERRED,0.15
MAHARASHTRA,2014,600-1200,INFERRED,0.15
ANDHRA PRADESH,2011,0-300,INFERRED,0.15
MAHARASHTRA,2012,600-1200,INFERRED,0.15
BIHAR,2010,0-300,INFERRED,0.16
BIHAR,2006,0-300,INFERRED,0.16
BIHAR,2008,0-300,INFERRED,0.16
BIHAR,2015,0-300,INFERRED,0.16
BIHAR,2014,0-300,INFERRED,0.16
BIHAR,2009,0-300,INFERRED,0.16
BIHAR,2013,0-300,INFERRED,0.16
BIHAR,2012,0-300,INFERRED,0.16
BIHAR,2011,0-300,INFERRED,0.16
BIHAR,2016,0-300,INFERRED,0.16
BIHAR,2018,0-300,PROVED,0.16
BIHAR,2007,0-300,INFERRED,0.16
ASSAM,2007,0-300,PROVED,0.17
TELANGANA,2018,600-1200,PROVED,0.17
MAHARASHTRA,2009,300-600,PROVED,0.17
ASSAM,2008,0-300,PROVED,0.17
ASSAM,2006,0-300,PROVED,0.17
MAHARASHTRA,2016,600-1200,INFERRED,0.18
