key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,,,
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_AuxilioBrasilProgram,populationType,Person,age,[18 21 Years],observationPeriod,P2M,,
Total de beneficiários com perfil educação (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,Education,,,,,,,name,"""Total beneficiaries with education profile (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários com perfil de escolaridade (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários acompanhados pela educação (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,AccompaniedByEducation,,,,,,,name,"""Total number of beneficiaries accompanied by education (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Número total de beneficiários acompanhados por escolaridade (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários acompanhados pela educação (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,AccompaniedByEducation,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries accompanied by education (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários acompanhados de escolaridade (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários acompanhados com frequência acima da exigida (18 a 21 anos - 75%) - BCJ,value,{Number},beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,,,,,,,name,"""Total number of beneficiaries monitored more frequently than required (18 to 21 years old - 75%) under Auxilio Brasil Program""",alternateName,"""Número total de beneficiários acompanhados com frequência superior à exigida (18 a 21 anos - 75%) no âmbito do Programa Auxilio Brasil@pt"""
Total de Beneficiários acompanhados com frequência abaixo da exigida (18 a 21 anos - 75%) - BCJ,value,{Number},beneficiariesProfile,MonitoredBelowFrequentlyThanRequired,,,,,,,name,"""Total Beneficiaries monitored with frequency below the required (18 to 21 years old - 75%) under Auxilio Brasil Program""",alternateName,"""Total de Beneficiários acompanhados com frequência abaixo da exigida (18 a 21 anos - 75%) no âmbito do Programa Auxilio Brasil@pt"""
Percentual de beneficiários acompanhados com frequência acima da exigida (18 a 21 anos - 75%) - BCJ,value,{Number},beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries monitored more frequently than required (18 to 21 years old - 75%) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários acompanhados com frequência superior à exigida (18 a 21 anos - 75%) no âmbito do Programa Auxilio Brasil@pt"""
Total de beneficiários sem informação de frequência escolar (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,MonitoredWithoutSchoolAttendance,,,,,,,name,"""Total beneficiaries without school attendance information (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários sem informação de frequência escolar (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários sem informação de frequência escolar (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,MonitoredWithoutSchoolAttendance,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries without school attendance information (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários sem informação de frequência escolar (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários localizados no acompanhamento pela educação mas sem informação de frequência (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,EducationMonitoringWithoutFrequency,,,,,,,name,"""Total beneficiaries located in education monitoring but without attendance information (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários localizados em monitoramento educacional mas sem informação de frequência (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários não localizados no acompanhamento pela educação (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,WithoutEducationMonitoring,,,,,,,name,"""Total beneficiaries not located in education monitoring (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários não localizados em acompanhamento educacional (18 a 21 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários não localizados no acompanhamento pela educação (18 a 21 anos) - BCJ,value,{Number},beneficiariesProfile,WithoutEducationMonitoring,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries not located in education monitoring (18 to 21 years old) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários não localizados em monitoria educacional (18 a 21 anos) do Programa Auxilio Brasil@pt"""
