key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,
Referência,observationDate,{Data},,,benefitProgram,Brazil_AuxilioBrasilProgram,,,populationType,HouseHold,observationPeriod,P1M
Código,observationAbout,{Data},,,,,,,,,,
Total de Benefícios Primeira Infância (BPI),value,{Number},benefitType,EarlyChildhoodBenefit,,,name,"""Total number of families benefiting from early childhood support under the Auxílio Brasil program""",alternateName,"""Número total de famílias beneficiadas com apoio à primeira infância do programa Auxílio Brasil@pt""",,
Total de Benefícios Composição Familiar - Criança (BCC),value,{Number},benefitType,CompositionBenefit,beneficiaryType,Childs,name,"""Total number of families benefiting from composition benefit for children under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício de composição infantil do programa Auxílio Brasil@pt""",,
Total de Benefícios Composição Familiar - Adolescente (BCA),value,{Number},benefitType,FamilyCompositionBenefit,beneficiaryType,Adolescents,name,"""Total number of families benefiting from family composition benefit for adolescence under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício de composição familiar para adolescência do programa Auxílio Brasil@pt""",,
Total de Benefícios Composição Familiar - Jovem (BCJ),value,{Number},benefitType,FamilyCompositionBenefit,beneficiaryType,Young,name,"""Total number of families benefiting from family composition benefit for young under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício de composição familiar para jovens do programa Auxílio Brasil@pt""",,
Total de Benefícios Composição Familiar - Gestante (BCG),value,{Number},benefitType,FamilyCompositionBenefit,beneficiaryType,PregnantWomen,name,"""Total number of families benefiting from family composition benefit for pregnant women under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício de composição familiar para gestantes do programa Auxílio Brasil@pt""",,
Total de Benefícios Composição Familiar - Nutriz (BCN),value,{Number},benefitType,FamilyCompositionBenefit,beneficiaryType,NursingMothers,name,"""Total number of families benefiting from family composition benefit for nursing mothres under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício de composição familiar para nutrizes do programa Auxílio Brasil@pt""",,
Total de Benefícios para Superação da Extrema Pobreza (BSP),value,{Number},benefitType,OvercomingExtremePovertyBenefit,,,name,"""Total number of families benefiting to  overcoming extreme poverty benefit under the Auxílio Brasil program""",,"""Número total de famílias beneficiadas pelo benefício de superação da pobreza extrema do programa Auxílio Brasil@pt""",,
Total de Benefícios Compensatórios Transitórios (BCOMP),value,{Number},benefitType,TransitionalCompensatoryBenefit,,,name,"""Total number of families benefiting for transitional compensatory benefit under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias do benefício compensatório transitório do programa Auxílio Brasil@pt""",,
Total de Benefícios Extraordinários (EXT),value,{Number},benefitType,ExtraordinaryBenefit,,,name,"""Total number of families benefiting for extraordinary benefit under the Auxílio Brasil program""",,"""Número total de famílias beneficiadas pelo benefício extraordinário do programa Auxílio Brasil@pt""",,
Total de Benefícios Adicionais Complementares,value,{Number},benefitType,AdditionalComplementaryBenefit,,,name,"""Total number of families benefiting for additional complementary benefits under the Auxílio Brasil program""",,"""Número total de famílias beneficiárias de benefícios complementares adicionais do programa Auxílio Brasil@pt""",,
