"Table with row headers in columns A, C, and D and column headers in row 6.",,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of States by Age, Sex, and Race:  1970-1979",,,,,,,,,,,,,,,,,,,,,
"Source:  1970-1979 Population Estimates by Age, Sex, and Race, PE-19",,,,,,,,,,,,,,,,,,,,,
"Internet Release Date:  November 5, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State Code,State Name,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
1970,01,Alabama,White male,"105,856","120,876","129,091","119,500","103,665","86,538","74,452","71,511","75,242","73,874","68,048","61,071","52,361","38,977","26,767","17,504","9,937","5,616"
1970,01,Alabama,White female,"100,613","115,194","122,352","116,107","108,513","88,359","77,595","74,941","78,908","78,589","72,481","67,699","61,065","49,685","37,227","27,163","16,470","10,445"
1970,01,Alabama,Black male,"47,403","55,443","60,427","52,921","29,948","19,535","17,196","16,654","17,564","18,186","17,618","18,118","16,456","14,498","9,541","6,030","3,485","2,448"
1970,01,Alabama,Black female,"47,079","54,851","60,065","55,144","35,165","23,662","22,021","22,248","24,249","23,028","22,104","21,909","20,068","19,364","12,509","8,291","5,031","4,035"
1970,01,Alabama,Other races male,244,255,253,281,413,239,236,161,127,108,95,88,69,54,70,31,37,76
1970,01,Alabama,Other races female,250,251,245,254,331,302,284,279,253,148,100,93,94,73,66,52,30,29
1970,02,Alaska,White male,"12,382","13,888","13,255","11,179","20,237","12,538","10,331","9,548","8,282","6,995","5,609","4,029","2,392","1,292",602,326,211,143
1970,02,Alaska,White female,"11,724","13,257","12,518","9,504","10,966","10,735","8,657","7,510","6,353","5,820","4,494","2,986","1,830",965,496,305,186,126
1970,02,Alaska,Black male,531,525,414,406,"1,541",575,447,398,227,177,125,93,69,22,8,1,4,19
1970,02,Alaska,Black female,514,545,438,273,412,369,325,239,168,142,93,62,46,24,9,5,5,4
1970,02,Alaska,Other races male,"3,674","4,384","4,017","3,119","2,063","1,699","1,633","1,494","1,291","1,138",812,804,562,496,248,160,89,208
1970,02,Alaska,Other races female,"3,484","4,169","3,887","3,031","2,052","1,726","1,606","1,498","1,274",956,792,676,477,354,221,131,87,90
1970,04,Arizona,White male,"71,528","83,157","88,434","78,254","68,185","54,155","45,632","44,011","45,053","45,342","41,487","35,948","32,380","27,795","20,882","13,003","6,289","3,127"
1970,04,Arizona,White female,"68,828","80,200","84,922","77,838","68,616","55,182","47,599","45,275","47,264","49,433","44,618","40,445","37,448","31,813","23,730","15,330","8,282","4,978"
1970,04,Arizona,Black male,"2,996","3,641","3,613","3,126","2,616","1,507","1,418","1,457","1,179","1,112","1,037",965,860,763,451,301,171,102
1970,04,Arizona,Black female,"3,023","3,518","3,611","2,798","1,969","1,600","1,548","1,381","1,312","1,220","1,095","1,012",826,680,488,296,153,140
1970,04,Arizona,Other races male,"7,426","8,226","7,575","6,232","4,360","3,389","2,904","2,527","2,171","1,817","1,574","1,366","1,185","1,046",668,415,264,259
1970,04,Arizona,Other races female,"7,478","8,097","7,717","6,504","4,793","3,675","3,298","2,984","2,586","2,120","1,671","1,405","1,089",909,546,369,214,224
1970,05,Arkansas,White male,"61,920","72,654","76,242","71,323","58,605","50,308","42,492","39,862","42,345","43,481","42,838","41,283","38,419","31,910","23,131","16,427","9,335","5,481"
1970,05,Arkansas,White female,"58,748","69,646","72,860","70,104","63,159","51,524","43,937","43,019","45,165","46,574","46,063","44,861","43,845","37,397","28,121","21,533","12,750","8,715"
1970,05,Arkansas,Black male,"18,960","22,059","23,821","20,949","10,723","6,758","5,682","5,526","5,927","6,168","6,638","7,028","7,035","6,978","5,208","3,802","2,130","1,572"
1970,05,Arkansas,Black female,"19,012","21,953","23,680","21,020","12,265","8,126","7,389","7,317","8,149","8,202","8,264","8,509","8,392","8,521","5,993","4,224","2,482","1,915"
1970,05,Arkansas,Other races male,164,177,204,190,188,146,147,119,101,108,75,93,72,68,63,27,30,42
1970,05,Arkansas,Other races female,183,185,225,207,240,197,161,160,166,131,105,91,84,74,63,34,24,18
1970,06,California,White male,"729,520","851,641","883,107","834,056","790,390","657,335","544,245","511,004","533,453","552,188","488,866","417,372","336,041","256,909","189,678","127,667","73,282","40,974"
1970,06,California,White female,"699,843","819,510","850,036","793,131","778,060","652,621","536,951","504,135","548,210","580,508","511,190","448,420","381,704","321,215","267,770","199,395","127,263","84,214"
1970,06,California,Black male,"75,183","86,851","84,167","71,323","60,625","50,568","46,429","40,639","37,705","35,809","29,891","24,062","18,023","12,931","7,778","4,419","2,313","1,498"
1970,06,California,Black female,"74,283","85,823","84,466","69,349","63,936","55,008","48,585","43,129","40,630","38,471","32,657","26,986","21,078","16,223","10,414","6,387","3,621","2,642"
1970,06,California,Other races male,"32,914","35,795","34,987","34,530","35,615","28,578","25,728","23,329","22,020","20,006","14,793","12,912","12,704","10,311","6,125","2,960","3,264","2,068"
1970,06,California,Other races female,"31,656","34,772","34,392","32,533","35,701","30,125","27,830","27,241","26,454","20,556","14,267","10,078","7,462","6,560","5,060","3,313","2,100","1,261"
1970,08,Colorado,White male,"91,006","108,771","114,468","107,055","99,640","75,898","64,220","60,590","61,044","59,246","53,009","44,242","37,075","27,781","20,871","14,811","8,951","5,415"
1970,08,Colorado,White female,"87,351","104,709","110,125","103,851","98,057","78,135","65,638","61,384","62,962","62,106","54,044","47,372","40,722","33,387","27,764","21,616","14,110","9,612"
1970,08,Colorado,Black male,"3,588","4,169","4,091","3,507","4,921","2,577","2,184","2,123","1,784","1,514","1,214",881,713,477,319,236,124,107
1970,08,Colorado,Black female,"3,451","4,128","4,000","3,238","2,898","2,476","2,250","2,045","1,825","1,587","1,235","1,030",773,678,531,316,199,159
1970,08,Colorado,Other races male,"1,230","1,311","1,240","1,199","1,409","1,015",831,641,608,593,428,293,220,189,151,82,81,89
1970,08,Colorado,Other races female,"1,274","1,282","1,277","1,258","1,413","1,099",926,888,864,630,427,243,195,162,171,119,69,47
1970,09,Connecticut,White male,"116,032","137,675","143,864","125,533","101,845","94,784","77,149","76,172","86,747","90,702","86,588","73,960","57,748","40,902","30,786","22,025","12,499","6,621"
1970,09,Connecticut,White female,"111,830","131,782","138,713","122,953","112,783","96,177","79,026","79,410","90,647","96,420","92,148","78,556","65,182","52,999","45,057","34,206","21,262","13,708"
1970,09,Connecticut,Black male,"11,193","12,296","11,005","8,355","7,005","6,614","5,700","4,777","4,630","4,149","3,182","2,476","1,758","1,298",852,414,258,150
1970,09,Connecticut,Black female,"11,555","12,249","10,781","8,774","9,128","8,128","6,887","5,687","5,195","4,641","3,665","2,870","2,216","1,776","1,123",625,438,278
1970,09,Connecticut,Other races male,707,577,441,443,571,593,597,423,302,250,171,138,127,102,83,49,113,92
1970,09,Connecticut,Other races female,655,559,476,390,574,640,560,426,320,242,179,145,125,107,91,50,58,40
1970,10,Delaware,White male,"20,259","24,070","25,248","21,661","18,134","16,399","13,728","13,950","14,281","14,431","13,171","10,489","8,337","5,831","4,350","2,882","1,614",864
1970,10,Delaware,White female,"19,094","23,050","24,010","21,926","19,861","16,946","14,089","13,744","14,868","15,218","13,516","11,168","9,420","7,487","6,320","4,647","2,925","1,957"
1970,10,Delaware,Black male,"4,402","5,126","5,061","4,055","2,842","2,265","2,028","1,979","1,913","1,860","1,651","1,451","1,157",875,601,361,165,147
1970,10,Delaware,Black female,"4,437","5,177","5,026","4,184","3,493","2,667","2,357","2,242","2,162","2,085","1,733","1,532","1,252","1,031",718,449,265,172
1970,10,Delaware,Other races male,169,129,107,91,69,109,168,116,77,48,43,33,28,26,22,12,30,22
1970,10,Delaware,Other races female,159,130,101,89,100,144,160,133,83,60,32,35,26,31,27,18,7,9
1970,11,District of Columbia,White male,"3,738","3,401","3,419","6,365","12,784","10,467","6,767","5,527","5,226","5,462","5,819","6,260","6,253","4,866","4,027","2,703","1,505",844
1970,11,District of Columbia,White female,"3,535","3,219","3,454","7,688","14,043","10,060","5,797","4,547","5,321","6,682","7,578","8,620","9,111","7,887","7,365","5,446","3,474","2,253"
1970,11,District of Columbia,Black male,"25,714","28,440","28,610","24,336","22,147","20,223","16,485","14,591","14,685","14,070","12,182","10,582","7,926","5,301","3,336","1,858",896,596
1970,11,District of Columbia,Black female,"25,511","28,362","28,403","26,929","29,838","23,378","18,063","16,842","16,774","16,546","14,591","12,268","9,473","7,112","4,699","2,816","1,624","1,270"
1970,11,District of Columbia,Other races male,281,249,203,254,454,437,372,299,222,217,127,135,141,117,93,35,24,15
1970,11,District of Columbia,Other races female,271,228,212,268,491,475,400,302,273,211,184,149,115,67,71,40,22,22
1970,12,Florida,White male,"198,290","241,521","259,695","240,307","212,038","169,940","147,024","146,223","162,356","165,743","154,036","138,921","141,792","149,689","126,769","84,659","41,034","19,462"
1970,12,Florida,White female,"188,153","230,498","248,226","231,247","212,991","176,080","154,498","153,621","174,962","182,709","172,228","171,908","187,114","183,481","148,643","96,141","51,243","29,370"
1970,12,Florida,Black male,"58,392","66,420","68,947","55,801","36,959","28,778","27,510","25,417","24,910","22,565","21,377","19,142","16,196","13,373","7,903","4,237","2,325","1,699"
1970,12,Florida,Black female,"58,022","66,383","69,429","57,074","42,925","34,009","32,197","29,700","29,356","25,832","23,998","21,686","18,392","16,056","9,715","5,822","3,407","2,532"
1970,12,Florida,Other races male,"1,185","1,079",958,924,"1,405","1,054","1,037",787,680,498,364,326,332,360,333,204,152,182
1970,12,Florida,Other races female,"1,149","1,048",942,872,"1,147","1,220","1,124","1,168",905,561,435,347,388,353,347,248,128,120
1970,13,Georgia,White male,"149,122","165,015","169,607","158,549","162,614","130,133","106,615","99,014","100,604","97,632","88,973","76,472","62,229","43,789","29,826","19,354","10,389","5,599"
1970,13,Georgia,White female,"142,109","157,100","161,437","152,249","157,357","129,488","107,343","100,677","103,502","102,841","93,555","83,514","73,313","58,853","44,995","32,769","20,181","12,991"
1970,13,Georgia,Black male,"65,584","73,958","76,151","66,584","46,894","33,831","27,754","25,004","24,211","23,177","22,919","21,583","18,004","14,590","9,166","5,494","3,164","2,161"
1970,13,Georgia,Black female,"65,125","73,858","75,591","68,796","52,975","38,876","33,371","31,166","31,407","29,048","28,428","26,597","23,187","21,153","13,897","8,694","5,613","4,114"
1970,13,Georgia,Other races male,401,329,298,460,"1,034",550,456,301,231,152,140,102,77,54,36,26,30,70
1970,13,Georgia,Other races female,432,391,345,343,538,592,499,493,394,187,120,94,105,68,73,38,40,45
1970,15,Hawaii,White male,"14,894","16,262","15,346","14,499","28,613","14,808","11,118","10,257","8,549","7,945","6,697","4,979","3,705","2,407","1,484",919,453,232
1970,15,Hawaii,White female,"14,190","15,313","14,461","11,996","16,268","13,503","10,047","8,394","7,640","7,086","5,799","4,544","3,547","2,550","1,898","1,240",712,461
1970,15,Hawaii,Black male,435,437,323,487,"1,711",497,430,285,173,125,82,59,36,18,5,12,3,2
1970,15,Hawaii,Black female,464,396,278,203,330,323,253,153,80,62,39,21,18,14,6,3,4,3
1970,15,Hawaii,Other races male,"21,118","24,428","25,438","22,794","17,071","15,514","12,747","12,650","15,070","15,428","13,124","12,225","10,322","7,373","4,376","2,181","1,933","1,056"
1970,15,Hawaii,Other races female,"20,110","23,243","24,569","22,816","18,617","15,654","13,879","15,060","17,396","15,936","12,935","9,081","6,304","5,528","4,227","2,773","1,540","1,075"
1970,16,Idaho,White male,"32,378","36,461","40,170","37,016","26,119","22,229","19,084","17,821","18,754","18,892","18,972","17,639","15,260","11,133","8,199","5,975","3,634","2,171"
1970,16,Idaho,White female,"30,835","35,251","38,078","36,129","27,125","22,126","19,252","18,377","18,919","19,782","19,356","17,303","14,862","11,454","9,347","7,316","4,861","3,103"
1970,16,Idaho,Black male,97,106,107,320,242,70,66,81,40,32,39,31,23,20,10,10,5,10
1970,16,Idaho,Black female,115,104,117,86,64,46,58,39,48,36,31,28,29,17,8,5,2,0
1970,16,Idaho,Other races male,631,642,702,608,472,383,318,268,258,286,203,169,113,85,69,54,38,33
1970,16,Idaho,Other races female,656,651,701,590,455,381,295,311,265,235,204,150,88,87,74,85,25,37
1970,17,Illinois,White male,"394,459","464,269","483,668","440,851","346,168","319,003","270,059","257,004","283,059","290,354","273,152","248,939","206,515","152,571","113,042","78,838","44,871","24,198"
1970,17,Illinois,White female,"376,318","443,593","464,253","426,038","387,458","325,132","272,384","259,633","290,195","304,250","293,600","270,383","231,103","191,596","159,348","122,353","75,224","46,888"
1970,17,Illinois,Black male,"78,253","90,045","90,458","70,920","48,433","44,345","39,604","37,971","36,837","33,482","27,703","22,708","18,430","15,068","9,725","5,300","2,565","1,601"
1970,17,Illinois,Black female,"79,017","89,441","91,610","74,827","63,236","54,673","49,734","45,680","43,167","37,763","31,429","25,844","22,241","18,180","12,019","7,139","3,995","2,959"
1970,17,Illinois,Other races male,"3,904","3,383","2,939","2,930","3,317","3,767","3,413","2,553","2,200","1,974","1,270",987,966,743,465,263,181,135
1970,17,Illinois,Other races female,"3,845","3,358","2,951","2,839","4,114","4,553","3,493","2,835","2,469","1,835","1,211",873,677,609,490,316,164,123
1970,18,Indiana,White male,"212,930","245,608","255,649","234,053","184,661","161,551","135,846","126,752","138,227","138,874","125,823","111,936","93,272","70,357","52,968","36,528","21,164","12,220"
1970,18,Indiana,White female,"203,618","236,652","243,717","230,474","205,262","162,883","138,219","131,542","143,010","146,928","134,089","119,287","104,024","87,337","73,135","55,730","35,945","23,944"
1970,18,Indiana,Black male,"19,167","21,930","23,282","20,196","12,766","10,482","8,957","8,643","9,285","8,880","7,259","6,479","5,210","4,099","2,948","1,743",860,586
1970,18,Indiana,Black female,"19,204","22,200","23,274","19,992","15,091","11,925","10,519","10,503","10,707","9,698","8,074","6,957","5,839","4,935","3,294","2,163","1,238",831
1970,18,Indiana,Other races male,662,572,556,514,705,589,524,403,321,253,193,181,144,114,105,71,53,63
1970,18,Indiana,Other races female,628,632,618,528,824,739,580,567,481,264,199,160,144,139,125,83,44,53
1970,19,Iowa,White male,"117,032","139,889","147,777","136,156","95,317","82,587","71,759","67,749","75,365","76,396","73,583","67,757","59,974","48,295","39,545","29,418","17,698","10,192"
1970,19,Iowa,White female,"111,479","134,082","141,478","134,616","107,586","83,923","73,582","71,536","77,263","80,154","78,062","71,904","66,402","58,795","52,693","42,322","28,077","19,983"
1970,19,Iowa,Black male,"1,966","2,145","1,996","1,847","1,461",951,839,756,762,716,609,544,452,374,312,191,110,68
1970,19,Iowa,Black female,"1,813","2,085","2,032","1,902","1,508","1,001",944,869,808,776,666,591,512,396,361,249,135,103
1970,19,Iowa,Other races male,453,404,330,339,418,390,303,185,161,127,88,78,72,53,46,32,33,26
1970,19,Iowa,Other races female,529,461,355,356,447,418,334,262,190,134,103,105,71,56,52,36,25,29
1970,20,Kansas,White male,"83,164","100,409","108,547","103,829","91,088","66,811","55,642","54,584","59,120","60,663","55,425","51,023","45,817","36,028","28,910","21,040","12,485","7,691"
1970,20,Kansas,White female,"79,325","96,598","103,752","101,698","86,645","65,506","56,551","56,183","60,514","62,160","58,949","54,953","51,792","44,816","38,728","30,549","20,846","14,325"
1970,20,Kansas,Black male,"5,554","6,621","6,695","5,560","6,071","3,256","2,522","2,542","2,374","2,247","2,048","1,897","1,620","1,405","1,141",807,481,290
1970,20,Kansas,Black female,"5,744","6,528","6,597","5,450","4,449","3,251","2,836","2,768","2,690","2,514","2,236","2,106","1,907","1,752","1,407",900,648,437
1970,20,Kansas,Other races male,706,707,681,791,"1,203",683,503,390,330,289,246,193,143,122,106,72,48,45
1970,20,Kansas,Other races female,684,721,723,799,949,696,547,562,472,333,259,203,161,140,132,97,66,40
1970,21,Kentucky,White male,"128,198","149,140","157,296","153,350","123,874","95,690","81,807","76,792","82,453","83,196","75,972","69,604","61,199","48,961","36,948","25,278","14,772","8,577"
1970,21,Kentucky,White female,"122,161","142,185","149,781","140,927","125,990","98,346","85,309","81,664","86,612","87,960","80,904","76,247","69,291","59,281","47,582","35,067","22,119","14,541"
1970,21,Kentucky,Black male,"10,977","12,968","13,802","14,892","9,474","5,618","4,685","4,802","5,157","5,313","4,960","4,760","4,406","3,947","2,819","1,912","1,044",701
1970,21,Kentucky,Black female,"10,869","12,695","13,825","12,171","9,119","6,579","5,920","5,894","6,309","6,302","5,875","5,590","5,242","4,756","3,582","2,447","1,444","1,089"
1970,21,Kentucky,Other races male,208,184,181,283,380,234,199,158,118,71,70,59,49,47,43,32,19,40
1970,21,Kentucky,Other races female,246,205,167,204,314,291,231,256,213,124,83,76,75,86,57,44,26,29
1970,22,Louisiana,White male,"113,997","131,538","136,095","129,114","111,017","87,325","73,091","68,908","74,633","72,633","65,204","58,047","48,510","36,143","24,658","15,021","7,969","4,512"
1970,22,Louisiana,White female,"109,161","126,533","130,873","121,128","108,185","87,813","74,280","71,765","77,256","76,236","68,607","62,439","55,760","46,345","34,660","23,973","14,138","9,261"
1970,22,Louisiana,Black male,"62,225","68,967","72,789","63,267","38,661","27,306","23,082","21,366","22,129","21,338","19,996","19,148","17,493","15,485","10,382","6,483","3,635","2,518"
1970,22,Louisiana,Black female,"61,750","68,887","71,080","64,728","45,717","32,766","28,877","27,454","28,117","26,070","24,177","22,317","20,848","19,630","12,977","8,586","5,076","4,075"
1970,22,Louisiana,Other races male,567,582,596,574,626,466,403,334,281,224,184,171,180,165,97,66,59,54
1970,22,Louisiana,Other races female,560,617,537,516,548,503,459,427,338,225,183,175,149,101,79,46,32,37
1970,23,Maine,White male,"42,811","50,413","51,955","47,133","37,858","29,398","25,278","25,306","27,292","27,454","25,831","23,594","21,273","16,970","13,222","8,776","5,323","3,134"
1970,23,Maine,White female,"41,289","48,084","49,828","46,713","38,282","29,590","25,923","26,618","28,885","29,137","27,351","25,552","24,299","20,824","17,826","13,430","8,632","6,184"
1970,23,Maine,Black male,144,172,125,202,521,158,114,108,68,49,40,30,22,16,21,12,5,8
1970,23,Maine,Black female,142,174,175,114,113,93,92,60,48,41,23,24,19,28,17,8,10,4
1970,23,Maine,Other races male,219,235,194,160,202,170,135,130,82,51,56,51,35,32,26,16,13,34
1970,23,Maine,Other races female,224,221,183,131,151,160,160,142,109,81,54,50,43,32,33,24,16,12
1970,24,Maryland,White male,"136,502","160,170","164,395","143,235","131,419","117,558","97,475","92,842","100,535","101,714","91,098","74,918","58,480","40,929","28,904","18,099","9,670","5,080"
1970,24,Maryland,White female,"130,411","153,637","157,415","141,630","137,027","119,749","97,288","92,394","102,413","109,050","94,446","78,702","65,803","52,512","42,799","30,332","18,825","12,025"
1970,24,Maryland,Black male,"37,054","44,118","44,251","36,089","26,765","22,817","19,904","18,869","18,844","17,531","15,090","12,597","9,823","7,568","4,941","2,780","1,426",895
1970,24,Maryland,Black female,"36,763","43,630","44,222","37,665","31,913","26,425","23,147","21,637","20,757","19,292","16,147","13,459","10,614","8,873","5,742","3,470","2,090","1,502"
1970,24,Maryland,Other races male,"1,476","1,343","1,057",893,"1,221","1,164","1,301","1,008",794,631,396,295,288,191,126,77,70,69
