table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.80 to 84 years,"82,630","83,370","87,303","90,647","93,515","96,057","97,405","97,538","98,011","98,326","98,827","98,580","98,629"
.85 years and over,"66,904","67,330","69,104","71,113","73,695","75,930","79,879","84,083","87,707","91,354","95,263","98,126","98,816"
.,,,,,,,,,,,,,
.Under 18 years,"1,356,212","1,356,961","1,366,552","1,375,354","1,379,641","1,383,450","1,382,966","1,377,756","1,369,563","1,359,214","1,353,631","1,352,964","1,352,832"
.Under 5 years,"353,407","353,090","354,828","357,738","362,120","365,729","366,913","365,572","365,909","366,115","365,154","364,488","364,824"
.5 to 13 years,"707,882","708,010","709,443","707,147","700,284","690,081","681,063","674,432","667,571","664,368","664,932","668,711","669,652"
.14 to 17 years,"294,923","295,861","302,281","310,469","317,237","327,640","334,990","337,752","336,083","328,731","323,545","319,765","318,356"
.18 to 64 years,"3,341,098","3,352,630","3,399,587","3,450,076","3,493,632","3,532,980","3,570,907","3,603,291","3,625,292","3,647,493","3,681,774","3,712,946","3,722,389"
.18 to 24 years,"450,928","454,223","470,318","484,638","498,098","508,100","517,295","525,903","535,532","543,624","552,217","557,360","558,234"
.25 to 44 years,"1,664,712","1,663,110","1,652,198","1,643,595","1,632,141","1,620,262","1,610,134","1,598,650","1,580,856","1,569,212","1,558,062","1,557,614","1,559,818"
.45 to 64 years,"1,225,458","1,235,297","1,277,071","1,321,843","1,363,393","1,404,618","1,443,478","1,478,738","1,508,904","1,534,657","1,571,495","1,597,972","1,604,337"
.65 years and over,"599,337","601,443","608,552","614,959","622,996","630,505","638,506","646,320","658,553","678,258","694,983","707,642","710,761"
.,,,,,,,,,,,,,
.16 years and over,"4,085,471","4,099,306","4,157,493","4,218,406","4,271,991","4,322,871","4,373,574","4,419,689","4,455,923","4,494,835","4,542,720","4,584,109","4,595,788"
.18 years and over,"3,940,435","3,954,073","4,008,139","4,065,035","4,116,628","4,163,485","4,209,413","4,249,611","4,283,845","4,325,751","4,376,757","4,420,588","4,433,150"
.15 to 44 years,"2,334,972","2,337,719","2,347,924","2,359,201","2,365,654","2,370,203","2,377,819","2,379,520","2,371,562","2,363,211","2,355,168","2,357,553","2,359,722"
.,,,,,,,,,,,,,
.Median age (years),36.0,36.1,36.3,36.6,36.8,36.9,37.1,37.2,37.4,37.7,37.9,38.0,38.0
MALE,"2,557,878","2,565,003","2,594,827","2,625,192","2,652,422","2,676,892","2,700,618","2,719,404","2,733,299","2,749,177","2,770,387","2,791,762","2,798,368"
.Under 5 years,"180,318","180,102","180,609","182,281","184,415","186,519","187,056","186,478","186,823","186,794","186,159","185,916","186,078"
.5 to 9 years,"200,142","199,062","195,125","190,826","187,100","184,671","182,540","182,152","182,385","183,200","185,076","186,865","187,068"
.10 to 14 years,"200,828","201,846","207,035","210,829","212,326","211,060","207,769","203,878","198,996","195,036","193,805","193,068","193,065"
.15 to 19 years,"181,762","182,496","186,964","192,158","196,232","200,887","206,297","210,239","212,153","212,288","210,290","208,249","207,375"
.20 to 24 years,"156,487","158,265","164,917","170,119","176,075","180,186","185,350","189,250","192,086","193,823","196,544","199,923","200,817"
.25 to 29 years,"166,476","165,543","160,781","160,678","163,352","169,271","175,512","181,414","185,141","188,960","192,256","194,223","195,096"
.30 to 34 years,"196,315","196,138","194,173","191,960","187,777","181,417","175,606","170,980","169,021","170,411","175,164","179,279","180,671"
.35 to 39 years,"225,202","224,597","220,678","216,104","211,163","204,414","201,138","199,426","196,019","191,289","185,179","181,543","180,818"
.40 to 44 years,"218,567","219,307","223,688","225,371","225,541","226,457","224,854","220,120","214,766","209,697","203,355","200,934","200,967"
.45 to 49 years,"191,105","192,340","196,779","202,779","208,273","213,640","217,489","221,101","221,792","221,572","222,362","221,969","221,497"
.50 to 54 years,"171,002","173,031","180,923","179,525","180,977","183,363","188,060","191,819","197,049","201,900","207,720","211,218","211,934"
.55 to 59 years,"128,855","129,805","133,924","145,432","151,271","158,495","164,763","171,388","169,316","171,221","174,592","179,108","180,228"
.60 to 64 years,"96,407","96,980","99,825","104,386","110,837","115,413","118,952","121,980","132,429","137,245","144,512","149,941","151,637"
.65 to 69 years,"77,463","77,562","78,445","79,335","81,410","83,998","85,950","87,690","91,649","98,071","101,863","104,873","105,639"
.70 to 74 years,"66,547","66,749","67,026","66,925","66,824","65,998","65,930","66,110","66,546","68,543","70,821","72,158","72,592"
.75 to 79 years,"51,438","51,716","51,988","52,294","52,465","52,939","53,189","53,279","53,167","53,352","52,746","53,066","53,061"
.80 to 84 years,"30,253","30,591","32,302","33,750","34,879","35,587","36,073","36,347","36,806","37,322","38,087","38,419","38,526"
.85 years and over,"18,711","18,873","19,645","20,440","21,505","22,577","24,090","25,753","27,155","28,453","29,856","31,010","31,299"
.,,,,,,,,,,,,,
.Under 18 years,"693,677","693,946","698,205","702,185","704,270","706,113","705,750","703,589","699,398","693,506","690,506","690,100","690,030"
.Under 5 years,"180,318","180,102","180,609","182,281","184,415","186,519","187,056","186,478","186,823","186,794","186,159","185,916","186,078"
.5 to 13 years,"362,410","362,441","362,744","361,207","357,511","351,676","347,009","343,541","340,063","338,305","338,608","340,384","340,866"
.14 to 17 years,"150,949","151,403","154,852","158,697","162,344","167,918","171,685","173,570","172,512","168,407","165,739","163,800","163,086"
.18 to 64 years,"1,619,789","1,625,566","1,647,216","1,670,263","1,691,069","1,709,680","1,729,636","1,746,636","1,758,578","1,769,930","1,786,508","1,802,136","1,807,221"
.18 to 24 years,"225,860","227,825","236,445","244,028","251,878","257,210","263,262","268,408","273,045","277,635","281,368","283,921","284,373"
.25 to 44 years,"806,560","805,585","799,320","794,113","787,833","781,559","777,110","771,940","764,947","760,357","755,954","755,979","757,552"
.45 to 64 years,"587,369","592,156","611,451","632,122","651,358","670,911","689,264","706,288","720,586","731,938","749,186","762,236","765,296"
.65 years and over,"244,412","245,491","249,406","252,744","257,083","261,099","265,232","269,179","275,323","285,741","293,373","299,526","301,117"
.,,,,,,,,,,,,,
.16 years and over,"1,938,568","1,945,539","1,973,224","2,001,430","2,027,786","2,052,254","2,078,847","2,103,318","2,122,316","2,142,484","2,164,984","2,185,344","2,191,595"
.18 years and over,"1,864,201","1,871,057","1,896,622","1,923,007","1,948,152","1,970,779","1,994,868","2,015,815","2,033,901","2,055,671","2,079,881","2,101,662","2,108,338"
.15 to 44 years,"1,144,809","1,146,346","1,151,201","1,156,390","1,160,140","1,162,632","1,168,757","1,171,429","1,169,186","1,166,468","1,162,788","1,164,151","1,165,744"
.,,,,,,,,,,,,,
.Median age (years),34.9,35.0,35.2,35.3,35.5,35.6,35.7,35.9,36.1,36.2,36.4,36.4,36.4
FEMALE,"2,738,769","2,746,031","2,779,864","2,815,197","2,843,847","2,870,043","2,891,761","2,907,963","2,920,109","2,935,788","2,960,001","2,981,790","2,987,614"
.Under 5 years,"173,089","172,988","174,219","175,457","177,705","179,210","179,857","179,094","179,086","179,321","178,995","178,572","178,746"
.5 to 9 years,"191,184","190,173","186,746","183,493","180,003","178,097","176,278","176,091","175,547","176,871","178,084","180,003","180,197"
.10 to 14 years,"191,319","192,404","197,410","201,500","202,677","202,052","199,076","195,096","191,552","187,617","186,623","185,961","186,008"
.15 to 19 years,"174,369","174,711","177,968","182,581","186,039","190,776","195,645","199,139","201,048","201,208","199,852","197,992","197,107"
.20 to 24 years,"157,642","159,137","165,877","170,748","175,167","178,092","180,393","182,242","185,419","186,680","190,420","193,775","194,605"
.25 to 29 years,"176,397","175,458","170,908","170,281","173,304","178,188","184,118","190,231","192,283","195,504","197,951","199,325","199,577"
.30 to 34 years,"209,336","209,331","207,612","205,948","201,521","195,414","189,049","183,166","179,807","180,767","184,676","189,215","190,560"
.35 to 39 years,"239,609","239,053","236,419","232,719","227,518","220,962","217,229","214,791","211,283","206,242","199,732","195,866","194,898"
.40 to 44 years,"232,810","233,683","237,939","240,534","241,965","244,139","242,628","238,522","232,536","226,342","219,749","217,229","217,231"
.45 to 49 years,"208,302","209,646","214,408","220,488","225,289","229,271","233,186","236,482","237,653","238,147","240,355","239,616","239,010"
.50 to 54 years,"184,648","186,853","196,652","196,627","199,722","203,398","207,512","211,085","216,302","220,955","225,322","229,401","230,192"
.55 to 59 years,"139,802","140,779","144,939","157,383","164,596","173,221","180,620","189,004","187,378","190,392","195,065","198,881","200,087"
.60 to 64 years,"105,337","105,863","109,621","115,223","122,428","127,817","132,896","135,879","146,985","153,225","161,567","167,838","169,752"
.65 to 69 years,"90,800","90,828","91,436","92,398","93,976","96,477","98,277","100,882","105,965","112,681","117,738","121,723","122,575"
.70 to 74 years,"86,506","86,529","85,869","84,944","83,927","82,777","82,597","82,481","82,608","83,928","86,281","87,603","88,035"
.75 to 79 years,"77,049","77,359","77,381","77,303","77,184","76,329","75,279","74,257","72,900","72,003","71,444","71,513","71,414"
.80 to 84 years,"52,377","52,779","55,001","56,897","58,636","60,470","61,332","61,191","61,205","61,004","60,740","60,161","60,103"
.85 years and over,"48,193","48,457","49,459","50,673","52,190","53,353","55,789","58,330","60,552","62,901","65,407","67,116","67,517"
.,,,,,,,,,,,,,
.Under 18 years,"662,535","663,015","668,347","673,169","675,371","677,337","677,216","674,167","670,165","665,708","663,125","662,864","662,802"
.Under 5 years,"173,089","172,988","174,219","175,457","177,705","179,210","179,857","179,094","179,086","179,321","178,995","178,572","178,746"
.5 to 13 years,"345,472","345,569","346,699","345,940","342,773","338,405","334,054","330,891","327,508","326,063","326,324","328,327","328,786"
.14 to 17 years,"143,974","144,458","147,429","151,772","154,893","159,722","163,305","164,182","163,571","160,324","157,806","155,965","155,270"
.18 to 64 years,"1,721,309","1,727,064","1,752,371","1,779,813","1,802,563","1,823,300","1,841,271","1,856,655","1,866,714","1,877,563","1,895,266","1,910,810","1,915,168"
.18 to 24 years,"225,068","226,398","233,873","240,610","246,220","250,890","254,033","257,495","262,487","265,989","270,849","273,439","273,861"
.25 to 44 years,"858,152","857,525","852,878","849,482","844,308","838,703","833,024","826,710","815,909","808,855","802,108","801,635","802,266"
.45 to 64 years,"638,089","643,141","665,620","689,721","712,035","733,707","754,214","772,450","788,318","802,719","822,309","835,736","839,041"
.65 years and over,"354,925","355,952","359,146","362,215","365,913","369,406","373,274","377,141","383,230","392,517","401,610","408,116","409,644"
.,,,,,,,,,,,,,
.16 years and over,"2,146,903","2,153,767","2,184,269","2,216,976","2,244,205","2,270,617","2,294,727","2,316,371","2,333,607","2,352,351","2,377,736","2,398,765","2,404,193"
.18 years and over,"2,076,234","2,083,016","2,111,517","2,142,028","2,168,476","2,192,706","2,214,545","2,233,796","2,249,944","2,270,080","2,296,876","2,318,926","2,324,812"
.15 to 44 years,"1,190,163","1,191,373","1,196,723","1,202,811","1,205,514","1,207,571","1,209,062","1,208,091","1,202,376","1,196,743","1,192,380","1,193,402","1,193,978"
.,,,,,,,,,,,,,
.Median age (years),37.0,37.1,37.4,37.6,37.9,38.1,38.3,38.5,38.7,38.9,39.2,39.3,39.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maryland: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-24)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
