key,prop,value,,,,
Age,observationAbout,country/ESP,populationType,Person,observationPeriod,P3M
value,value,{Number},,,,
Age:Total,age,"""""",,,,
Absolute value,#Multiply,1000,,,,
From 0 to 4 years old,age,[0 4 Years],,,,
From 5 to 9 years,age,[5 9 Years],,,,
From 10 to 15 years,age,[10 15 Years],,,,
From 16 to 19 years,age,[16 19 Years],,,,
From 20 to 24 years,age,[20 24 Years],,,,
From 25 to 29 years,age,[25 29 Years],,,,
From 30 to 34 years old,age,[30 34 Years],,,,
From 35 to 39 years old,age,[35 39 Years],,,,
From 40 to 44 years,age,[40 44 Years],,,,
From 45 to 49 years old,age,[45 49 Years],,,,
From 50 to 54 years old,age,[50 54 Years],,,,
From 55 to 59 years old,age,[55 59 Years],,,,
From 60 to 64 years old,age,[60 64 Years],,,,
From 65 to 69 years old,age,[65 69 Years],,,,
70 and over,age,[70 - Years],,,,
,,,,,,
Males,gender,Male,populationType,Person,,
Females,gender,Female,populationType,Person,,
Percentage,unit,Percent,measurementDenominator,-age,scalingFactor,100
value:100,value,{Number},#ignore,ignore,,
2002QI,observationDate,2002-03,,,,
2002QII,observationDate,2002-06,,,,
2002QIII,observationDate,2002-09,,,,
2002QIV,observationDate,2002-12,,,,
2003QI,observationDate,2003-03,,,,
2003QII,observationDate,2003-06,,,,
2003QIII,observationDate,2003-09,,,,
2003QIV,observationDate,2003-12,,,,
2004QI,observationDate,2004-03,,,,
2004QII,observationDate,2004-06,,,,
2004QIII,observationDate,2004-09,,,,
2004QIV,observationDate,2004-12,,,,
2005QI,observationDate,2005-03,,,,
2005QII,observationDate,2005-06,,,,
2005QIII,observationDate,2005-09,,,,
2005QIV,observationDate,2005-12,,,,
2006QI,observationDate,2006-03,,,,
2006QII,observationDate,2006-06,,,,
2006QIII,observationDate,2006-09,,,,
2006QIV,observationDate,2006-12,,,,
2007QI,observationDate,2007-03,,,,
2007QII,observationDate,2007-06,,,,
2007QIII,observationDate,2007-09,,,,
2007QIV,observationDate,2007-12,,,,
2008QI,observationDate,2008-03,,,,
2008QII,observationDate,2008-06,,,,
2008QIII,observationDate,2008-09,,,,
2008QIV,observationDate,2008-12,,,,
2009QI,observationDate,2009-03,,,,
2009QII,observationDate,2009-06,,,,
2009QIII,observationDate,2009-09,,,,
2009QIV,observationDate,2009-12,,,,
2010QI,observationDate,2010-03,,,,
2010QII,observationDate,2010-06,,,,
2010QIII,observationDate,2010-09,,,,
2010QIV,observationDate,2010-12,,,,
2011QI,observationDate,2011-03,,,,
2011QII,observationDate,2011-06,,,,
2011QIII,observationDate,2011-09,,,,
2011QIV,observationDate,2011-12,,,,
2012QI,observationDate,2012-03,,,,
2012QII,observationDate,2012-06,,,,
2012QIII,observationDate,2012-09,,,,
2012QIV,observationDate,2012-12,,,,
2013QI,observationDate,2013-03,,,,
2013QII,observationDate,2013-06,,,,
2013QIII,observationDate,2013-09,,,,
2013QIV,observationDate,2013-12,,,,
2014QI,observationDate,2014-03,,,,
2014QII,observationDate,2014-06,,,,
2014QIII,observationDate,2014-09,,,,
2014QIV,observationDate,2014-12,,,,
2015QI,observationDate,2015-03,,,,
2015QII,observationDate,2015-06,,,,
2015QIII,observationDate,2015-09,,,,
2015QIV,observationDate,2015-12,,,,
2016QI,observationDate,2016-03,,,,
2016QII,observationDate,2016-06,,,,
2016QIII,observationDate,2016-09,,,,
2016QIV,observationDate,2016-12,,,,
2017QI,observationDate,2017-03,,,,
2017QII,observationDate,2017-06,,,,
2017QIII,observationDate,2017-09,,,,
2017QIV,observationDate,2017-12,,,,
2018QI,observationDate,2018-03,,,,
2018QII,observationDate,2018-06,,,,
2018QIII,observationDate,2018-09,,,,
2018QIV,observationDate,2018-12,,,,
2019QI,observationDate,2019-03,,,,
2019QII,observationDate,2019-06,,,,
2019QIII,observationDate,2019-09,,,,
2019QIV,observationDate,2019-12,,,,
2020QI,observationDate,2020-03,,,,
2020QII,observationDate,2020-06,,,,
2020QIII,observationDate,2020-09,,,,
2020QIV,observationDate,2020-12,,,,
2021QI,observationDate,2021-03,,,,
2021QII,observationDate,2021-06,,,,
2021QIII,observationDate,2021-09,,,,
2021QIV,observationDate,2021-12,,,,
2022QI,observationDate,2022-03,,,,
2022QII,observationDate,2022-06,,,,
2022QIII,observationDate,2022-09,,,,
2022QIV,observationDate,2022-12,,,,
2023QI,observationDate,2023-03,,,,
2023QII,observationDate,2023-06,,,,
2023QIII,observationDate,2023-09,,,,
2023QIV,observationDate,2023-12,,,,
2024QI,observationDate,2024-03,,,,
2024QII,observationDate,2024-06,,,,
2024QIII,observationDate,2024-09,,,,
2024QIV,observationDate,2024-12,,,,
2025QI,observationDate,2025-03,,,,
2025QII,observationDate,2025-06,,,,
2025QIII,observationDate,2025-09,,,,
2025QIV,observationDate,2025-12,,,,
2026QI,observationDate,2026-03,,,,
2026QII,observationDate,2026-06,,,,
2026QIII,observationDate,2026-09,,,,
2026QIV,observationDate,2026-12,,,,
2027QI,observationDate,2027-03,,,,
2027QII,observationDate,2027-06,,,,
2027QIII,observationDate,2027-09,,,,
2027QIV,observationDate,2027-12,,,,
2028QI,observationDate,2028-03,,,,
2028QII,observationDate,2028-06,,,,
2028QIII,observationDate,2028-09,,,,
2028QIV,observationDate,2028-12,,,,
