VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
District lgd code,DistrictCode,Key Identifier,,0,,,,District LGD Code
District,DistrictName,Key Identifier,,0,,,,District
Year,Year,Key Identifier,"",0,,"","",Year
Residence type,TRU,Key Identifier,"",0,,"","","Type of residence namely urban, rural or total"
Female population age 6 years and above ever attended school (%),I7034_6,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Population and household profile-female population age 6 years and above who ever attended school (%)
Households using iodized salt (%),I7034_7,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Population and household profile-households using iodized salt (%)
Population and household profile-households with any usual member covered under a health insurance or financing scheme (%),I7034_8,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Households with any usual member covered under a health insurance or financing scheme (%)
Women age group 15 to 49 years who are literate (%),I7034_9,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Characteristics of adults-women who are literate (age 15 to 49 years) (refers to women or men who completed standard 9 or higher and women or men who can read a whole sentence or part of a sentence.) (%)
Men age group 15 to 49 years who are literate (%),I7034_10,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Characteristics of adults-men who are literate (age 15 to 49 years) (refers to women or men who completed standard 9 or higher and men or men who can read a whole sentence or part of a sentence) (%)
Women with 10 or more years of schooling in the age group of 15 to 49 years (%),I7034_11,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women with 10 or more years of schooling in the age group of 15 to 49 years(%)
