SV,time,geo,observation
Count_Person_Male_AlcoholConsumption_Cities_EveryDay_AsAFractionOf_Count_Person_Male_Cities,2014,BE,18.9 u
Count_Person_Total_AlcoholConsumption_Cities_EveryDay_AsAFractionOf_Count_Person_Total_Cities,2014,BE,14.9 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,9.1 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,20.4 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,14.4 
Count_Person_Female_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,8.8 
Count_Person_Male_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,17.8 
Count_Person_Total_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,13.2 
Count_Person_Female_AlcoholConsumption_Total_EveryDay_AsAFractionOf_Count_Person_Female_Total,2014,BE,9.8 u
Count_Person_Male_AlcoholConsumption_Total_EveryDay_AsAFractionOf_Count_Person_Male_Total,2014,BE,19.0 u
Count_Person_Total_AlcoholConsumption_Total_EveryDay_AsAFractionOf_Count_Person_Total_Total,2014,BE,14.2 u
Count_Person_Female_AlcoholConsumption_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_Cities,2014,BE,10.6 u
Count_Person_Male_AlcoholConsumption_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_Cities,2014,BE,4.9 u
Count_Person_Total_AlcoholConsumption_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_Cities,2014,BE,7.8 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,13.5 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,8.1 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,11.0 
Count_Person_Female_AlcoholConsumption_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,11.9 
Count_Person_Male_AlcoholConsumption_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,6.1 
Count_Person_Total_AlcoholConsumption_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,9.1 
Count_Person_Female_AlcoholConsumption_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_Total,2014,BE,11.9 u
Count_Person_Male_AlcoholConsumption_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_Total,2014,BE,6.3 u
Count_Person_Total_AlcoholConsumption_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_Total,2014,BE,9.2 u
Count_Person_Female_AlcoholConsumption_Cities_EveryMonth_AsAFractionOf_Count_Person_Female_Cities,2014,BE,22.7 u
Count_Person_Male_AlcoholConsumption_Cities_EveryMonth_AsAFractionOf_Count_Person_Male_Cities,2014,BE,14.1 u
Count_Person_Total_AlcoholConsumption_Cities_EveryMonth_AsAFractionOf_Count_Person_Total_Cities,2014,BE,18.5 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,26.6 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,17.4 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,22.3 
Count_Person_Female_AlcoholConsumption_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,24.9 
Count_Person_Male_AlcoholConsumption_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,17.8 
Count_Person_Total_AlcoholConsumption_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,21.4 
Count_Person_Female_AlcoholConsumption_Total_EveryMonth_AsAFractionOf_Count_Person_Female_Total,2014,BE,24.6 u
Count_Person_Male_AlcoholConsumption_Total_EveryMonth_AsAFractionOf_Count_Person_Male_Total,2014,BE,16.2 u
Count_Person_Total_AlcoholConsumption_Total_EveryMonth_AsAFractionOf_Count_Person_Total_Total,2014,BE,20.6 u
Count_Person_Female_AlcoholConsumption_Cities_NotInTheLast12Months_AsAFractionOf_Count_Person_Female_Cities,2014,BE,5.2 u
Count_Person_Male_AlcoholConsumption_Cities_NotInTheLast12Months_AsAFractionOf_Count_Person_Male_Cities,2014,BE,5.4 u
Count_Person_Total_AlcoholConsumption_Cities_NotInTheLast12Months_AsAFractionOf_Count_Person_Total_Cities,2014,BE,5.3 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_NotInTheLast12Months_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,4.9 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_NotInTheLast12Months_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,3.3 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_NotInTheLast12Months_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,4.2 
Count_Person_Female_AlcoholConsumption_RuralAreas_NotInTheLast12Months_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,5.7 
Count_Person_Male_AlcoholConsumption_RuralAreas_NotInTheLast12Months_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,5.1 
Count_Person_Total_AlcoholConsumption_RuralAreas_NotInTheLast12Months_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,5.4 
Count_Person_Female_AlcoholConsumption_Total_NotInTheLast12Months_AsAFractionOf_Count_Person_Female_Total,2014,BE,5.2 u
Count_Person_Male_AlcoholConsumption_Total_NotInTheLast12Months_AsAFractionOf_Count_Person_Male_Total,2014,BE,4.7 u
Count_Person_Total_AlcoholConsumption_Total_NotInTheLast12Months_AsAFractionOf_Count_Person_Total_Total,2014,BE,5.0 u
Count_Person_Female_AlcoholConsumption_Cities_Never_AsAFractionOf_Count_Person_Female_Cities,2014,BE,21.0 u
Count_Person_Male_AlcoholConsumption_Cities_Never_AsAFractionOf_Count_Person_Male_Cities,2014,BE,11.8 u
Count_Person_Total_AlcoholConsumption_Cities_Never_AsAFractionOf_Count_Person_Total_Cities,2014,BE,16.5 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_Never_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,14.6 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_Never_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,5.4 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_Never_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,10.3 
Count_Person_Female_AlcoholConsumption_RuralAreas_Never_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,15.1 
Count_Person_Male_AlcoholConsumption_RuralAreas_Never_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,8.5 
Count_Person_Total_AlcoholConsumption_RuralAreas_Never_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,11.9 
Count_Person_Female_AlcoholConsumption_Total_Never_AsAFractionOf_Count_Person_Female_Total,2014,BE,17.2 u
Count_Person_Male_AlcoholConsumption_Total_Never_AsAFractionOf_Count_Person_Male_Total,2014,BE,8.8 u
Count_Person_Total_AlcoholConsumption_Total_Never_AsAFractionOf_Count_Person_Total_Total,2014,BE,13.2 u
Count_Person_Female_AlcoholConsumption_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_Cities,2014,BE,26.2 u
Count_Person_Male_AlcoholConsumption_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_Cities,2014,BE,17.2 u
Count_Person_Total_AlcoholConsumption_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_Cities,2014,BE,21.8 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,19.5 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,8.7 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,14.4 
Count_Person_Female_AlcoholConsumption_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,20.8 
Count_Person_Male_AlcoholConsumption_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,13.6 
Count_Person_Total_AlcoholConsumption_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,17.3 
Count_Person_Female_AlcoholConsumption_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_Total,2014,BE,22.4 u
Count_Person_Male_AlcoholConsumption_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_Total,2014,BE,13.5 u
Count_Person_Total_AlcoholConsumption_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_Total,2014,BE,18.2 u
Count_Person_Female_AlcoholConsumption_Cities_EveryWeek_AsAFractionOf_Count_Person_Female_Cities,2014,BE,29.5 u
Count_Person_Male_AlcoholConsumption_Cities_EveryWeek_AsAFractionOf_Count_Person_Male_Cities,2014,BE,44.9 u
Count_Person_Total_AlcoholConsumption_Cities_EveryWeek_AsAFractionOf_Count_Person_Total_Cities,2014,BE,37.0 u
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_EveryWeek_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,31.3 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_EveryWeek_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,45.4 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_EveryWeek_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,37.9 
Count_Person_Female_AlcoholConsumption_RuralAreas_EveryWeek_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,33.6 
Count_Person_Male_AlcoholConsumption_RuralAreas_EveryWeek_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,44.6 
Count_Person_Total_AlcoholConsumption_RuralAreas_EveryWeek_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,39.0 
Count_Person_Female_AlcoholConsumption_Total_EveryWeek_AsAFractionOf_Count_Person_Female_Total,2014,BE,31.2 u
Count_Person_Male_AlcoholConsumption_Total_EveryWeek_AsAFractionOf_Count_Person_Male_Total,2014,BE,45.0 u
Count_Person_Total_AlcoholConsumption_Total_EveryWeek_AsAFractionOf_Count_Person_Total_Total,2014,BE,37.8 u
Count_Person_Male_AlcoholConsumption_Cities_EveryDay_AsAFractionOf_Count_Person_Male_Cities,2014,BG,12.7 
Count_Person_Total_AlcoholConsumption_Cities_EveryDay_AsAFractionOf_Count_Person_Total_Cities,2014,BG,8.4 
Count_Person_Female_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BG,2.1 
Count_Person_Male_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BG,13.1 
Count_Person_Total_AlcoholConsumption_TownsAndSuburbs_EveryDay_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BG,7.1 
Count_Person_Female_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BG,3.2 
Count_Person_Male_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BG,19.1 
Count_Person_Total_AlcoholConsumption_RuralAreas_EveryDay_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BG,10.7 
