,SV,time,geo,observation
0,Count_Person_Cities_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Female,2014,BE,6.5 u
1,Count_Person_Cities_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Male,2014,BE,7.7 u
2,Count_Person_Cities_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Total,2014,BE,7.1 u
3,Count_Person_TownsAndSuburbs_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,5.1 u
4,Count_Person_TownsAndSuburbs_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,7.8 u
5,Count_Person_TownsAndSuburbs_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,6.4 u
6,Count_Person_RuralAreas_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,4.3 u
7,Count_Person_RuralAreas_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,7.9 u
8,Count_Person_RuralAreas_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,6.1 u
9,Count_Person_Total_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Total_Female,2014,BE,5.4 u
10,Count_Person_Total_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Total_Male,2014,BE,7.8 u
11,Count_Person_Total_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Total_Total,2014,BE,6.6 u
12,Count_Person_Cities_Female_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Cities_Female,2014,BE,8.4 u
13,Count_Person_Cities_Male_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Cities_Male,2014,BE,10.8 u
14,Count_Person_Cities_Total_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Cities_Total,2014,BE,9.6 u
15,Count_Person_TownsAndSuburbs_Female_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,11.4 u
16,Count_Person_TownsAndSuburbs_Male_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,11.7 u
17,Count_Person_TownsAndSuburbs_Total_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,11.6 u
18,Count_Person_RuralAreas_Female_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,10.5 u
19,Count_Person_RuralAreas_Male_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,11.6 u
20,Count_Person_RuralAreas_Total_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,11.0 u
21,Count_Person_Total_Female_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Total_Female,2014,BE,9.9 u
22,Count_Person_Total_Male_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Total_Male,2014,BE,11.3 u
23,Count_Person_Total_Total_Daily_Smokers_LessThan20CigarettesPerDay_AsAFractionOf_Count_Person_Total_Total,2014,BE,10.6 u
24,Count_Person_Cities_Female_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Cities_Female,2014,BE,14.8 u
25,Count_Person_Cities_Male_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Cities_Male,2014,BE,18.5 u
26,Count_Person_Cities_Total_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Cities_Total,2014,BE,16.6 u
27,Count_Person_TownsAndSuburbs_Female_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,16.5 u
28,Count_Person_TownsAndSuburbs_Male_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,19.6 u
29,Count_Person_TownsAndSuburbs_Total_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,17.9 u
30,Count_Person_RuralAreas_Female_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,14.8 u
31,Count_Person_RuralAreas_Male_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,19.5 u
32,Count_Person_RuralAreas_Total_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,17.1 u
33,Count_Person_Total_Female_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Total_Female,2014,BE,15.3 u
34,Count_Person_Total_Male_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Total_Male,2014,BE,19.1 u
35,Count_Person_Total_Total_Daily_Smokers_TOTAL_AsAFractionOf_Count_Person_Total_Total,2014,BE,17.2 u
36,Count_Person_Cities_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Female,2014,BG,7.4 
37,Count_Person_Cities_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Male,2014,BG,18.9 
38,Count_Person_Cities_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_Cities_Total,2014,BG,12.9 
39,Count_Person_TownsAndSuburbs_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BG,5.5 
40,Count_Person_TownsAndSuburbs_Male_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BG,18.4 
41,Count_Person_TownsAndSuburbs_Total_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BG,11.6 
42,Count_Person_RuralAreas_Female_Daily_Smokers_20OrMoreCigarettesPerDay_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BG,6.0 
