Geo,newStatVar,2016_sampleSize,2016_CI,2017_sampleSize,2017_CI,2018_sampleSize,2018_CI,2019_sampleSize,2019_CI,2020_sampleSize,2020_CI,Overall_2020_CI,property
Iowa,Nutrition__Multivitamin use ≥4 times a week during the month before pregnancy,973,41.9 (37.6-46.4),1029.0,45.1 (40.6-49.7),848.0,42.0 (36.9-47.2),849.0,43.9 (38.7-49.2),715.0,49.4 (44.7-54.2),43.6 (42.9-44.4),MultivitaminUseMoreThan4TimesAWeek
Iowa,Pre-pregnancy Weight__Underweight (body mass index [BMI] <18.5 kg/m2),916,3.1 (1.8-5.2),946.0,5.7 (3.8-8.5),777.0,3.7 (2.1-6.7),764.0,2.6 (1.4-5.1),664.0,1.4 (0.6-3.0),3.2 (2.9-3.5),Underweight
Iowa,Pre-pregnancy Weight__Overweight (BMI 25–29.9 kg/m2),916,23.1 (19.5-27.1),946.0,24.2 (20.5-28.4),777.0,27.9 (23.4-32.8),764.0,28.1 (23.5-33.3),664.0,24.3 (20.4-28.6),26.1 (25.5-26.8),Overweight
Iowa,Pre-pregnancy Weight__Obese (BMI ≥30 kg/m2),916,29.2 (25.1-33.5),946.0,27.6 (23.6-32.0),777.0,24.3 (20.0-29.1),764.0,32.4 (27.5-37.8),664.0,28.8 (24.7-33.4),27.7 (27.0-28.4),Obese
Iowa,Substance Use_Any cigarette smoking_During the 3 months before pregnancy,966,22.6 (18.9-26.7),1021.0,22.5 (18.7-26.9),830.0,17.1 (13.3-21.9),832.0,16.8 (13.0-21.5),702.0,15.4 (12.1-19.5),14.0 (13.4-14.5),CigaretteSmoking3MonthsBeforePregnancy
Iowa,Substance Use_Any cigarette smoking_During the last 3 months of pregnancy,965,10.1 (7.5-13.3),1021.0,12.8 (9.8-16.5),831.0,6.4 (4.1-9.7),832.0,7.9 (5.2-11.8),703.0,9.5 (6.8-13.0),6.5 (6.2-6.9),CigaretteSmokingLast3MonthsOfPregnancy
Iowa,Substance Use_Any cigarette smoking_Postpartum,963,14.1 (11.1-17.8),1016.0,15.5 (12.2-19.4),829.0,12.1 (8.8-16.4),831.0,10.8 (7.6-15.1),698.0,11.4 (8.5-15.2),8.8 (8.3-9.2),CigaretteSmokingPostpartum
Iowa,Substance Use_Any e-cigarette use_During the 3 months before pregnancy,954,4.8 (3.1-7.3),1010.0,5.1 (3.3-7.8),826.0,2.3 (1.1-4.7),827.0,3.7 (2.1-6.5),703.0,5.0 (3.2-7.8),5.2 (4.9-5.6),ECigaretteSmoking3MonthsBeforePregnancy
Iowa,Substance Use_Any e-cigarette use_During the last 3 months of pregnancy,958,1.0 (0.4-2.5),1010.0,1.6 (0.7-3.7),827.0,0.3 (0.0-1.9),828.0,1.8 (0.8-4.3),703.0,0.9 (0.3-2.9),1.5 (1.3-1.7),ECigaretteSmokingLast3MonthsOfPregnancy
Iowa,Substance Use__Hookah use in the last 2 years,950,2.9 (1.7-4.8),1005.0,3.7 (2.2-6.1),823.0,1.8 (0.8-3.9),819.0,1.2 (0.5-2.7),702.0,1.0 (0.4-2.3),4.4 (4.1-4.8),HookahInLast2Years
