SV,time,geo,observation
Count_Person_Male_BingeDrinking_Cities_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Male_Cities,2014,BE,12.6 u
Count_Person_Total_BingeDrinking_Cities_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Total_Cities,2014,BE,8.3 u
Count_Person_Female_BingeDrinking_TownsAndSuburbs_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,3.6 
Count_Person_Male_BingeDrinking_TownsAndSuburbs_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,15.0 
Count_Person_Total_BingeDrinking_TownsAndSuburbs_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,9.0 
Count_Person_Female_BingeDrinking_RuralAreas_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,3.3 u
Count_Person_Male_BingeDrinking_RuralAreas_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,12.9 u
Count_Person_Total_BingeDrinking_RuralAreas_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,8.0 u
Count_Person_Female_BingeDrinking_Total_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Female_Total,2014,BE,3.8 u
Count_Person_Male_BingeDrinking_Total_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Male_Total,2014,BE,13.4 u
Count_Person_Total_BingeDrinking_Total_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Total_Total,2014,BE,8.5 u
Count_Person_Female_BingeDrinking_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_Cities,2014,BE,16.6 u
Count_Person_Male_BingeDrinking_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_Cities,2014,BE,20.1 u
Count_Person_Total_BingeDrinking_Cities_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_Cities,2014,BE,18.3 u
Count_Person_Female_BingeDrinking_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,15.3 
Count_Person_Male_BingeDrinking_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,22.8 
Count_Person_Total_BingeDrinking_TownsAndSuburbs_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,18.8 
Count_Person_Female_BingeDrinking_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,18.9 u
Count_Person_Male_BingeDrinking_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,22.6 u
Count_Person_Total_BingeDrinking_RuralAreas_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,20.7 u
Count_Person_Female_BingeDrinking_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Female_Total,2014,BE,16.8 u
Count_Person_Male_BingeDrinking_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Male_Total,2014,BE,21.7 u
Count_Person_Total_BingeDrinking_Total_LessThanOnceAMonth_AsAFractionOf_Count_Person_Total_Total,2014,BE,19.2 u
Count_Person_Female_BingeDrinking_Cities_EveryMonth_AsAFractionOf_Count_Person_Female_Cities,2014,BE,13.0 u
Count_Person_Male_BingeDrinking_Cities_EveryMonth_AsAFractionOf_Count_Person_Male_Cities,2014,BE,23.3 u
Count_Person_Total_BingeDrinking_Cities_EveryMonth_AsAFractionOf_Count_Person_Total_Cities,2014,BE,18.1 u
Count_Person_Female_BingeDrinking_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,14.7 
Count_Person_Male_BingeDrinking_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,22.7 
Count_Person_Total_BingeDrinking_TownsAndSuburbs_EveryMonth_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,18.4 
Count_Person_Female_BingeDrinking_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,14.9 u
Count_Person_Male_BingeDrinking_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,27.3 u
Count_Person_Total_BingeDrinking_RuralAreas_EveryMonth_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,21.0 u
Count_Person_Female_BingeDrinking_Total_EveryMonth_AsAFractionOf_Count_Person_Female_Total,2014,BE,14.1 u
Count_Person_Male_BingeDrinking_Total_EveryMonth_AsAFractionOf_Count_Person_Male_Total,2014,BE,24.3 u
Count_Person_Total_BingeDrinking_Total_EveryMonth_AsAFractionOf_Count_Person_Total_Total,2014,BE,19.0 u
Count_Person_Female_BingeDrinking_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_Cities,2014,BE,66.1 u
Count_Person_Male_BingeDrinking_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_Cities,2014,BE,43.9 u
Count_Person_Total_BingeDrinking_Cities_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_Cities,2014,BE,55.3 u
Count_Person_Female_BingeDrinking_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_TownsAndSuburbs,2014,BE,66.4 
Count_Person_Male_BingeDrinking_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_TownsAndSuburbs,2014,BE,39.6 
Count_Person_Total_BingeDrinking_TownsAndSuburbs_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_TownsAndSuburbs,2014,BE,53.7 
Count_Person_Female_BingeDrinking_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_RuralAreas,2014,BE,62.9 u
Count_Person_Male_BingeDrinking_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_RuralAreas,2014,BE,37.1 u
Count_Person_Total_BingeDrinking_RuralAreas_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_RuralAreas,2014,BE,50.2 u
Count_Person_Female_BingeDrinking_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Female_Total,2014,BE,65.3 u
Count_Person_Male_BingeDrinking_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Male_Total,2014,BE,40.6 u
Count_Person_Total_BingeDrinking_Total_NeverOrNotInTheLast12Months_AsAFractionOf_Count_Person_Total_Total,2014,BE,53.3 u
Count_Person_Male_BingeDrinking_Cities_AtLeastOnceAWeek_AsAFractionOf_Count_Person_Male_Cities,2014,BG,3.5 
