,SV,time,geo,observation
0,Count_Person_NotACitizen_EveryDay_Female_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Female,2014,BE,7.8 u
1,Count_Person_Citizen_EveryDay_Female_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Female,2014,BE,9.9 
2,Count_Person_ForeignOutsideEU28_EveryDay_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Female,2014,BE,8.8 u
3,Count_Person_ForeignWithinEU28_EveryDay_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Male,2014,BE,21.3 u
4,Count_Person_NotACitizen_EveryDay_Male_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Male,2014,BE,14.1 u
5,Count_Person_Citizen_EveryDay_Male_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Male,2014,BE,19.5 
6,Count_Person_ForeignOutsideEU28_EveryDay_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Male,2014,BE,2.0 u
7,Count_Person_ForeignWithinEU28_EveryDay_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Total,2014,BE,14.2 u
8,Count_Person_NotACitizen_EveryDay_Total_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Total,2014,BE,10.9 u
9,Count_Person_Citizen_EveryDay_Total_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Total,2014,BE,14.5 
10,Count_Person_ForeignOutsideEU28_EveryDay_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Total,2014,BE,5.5 u
11,Count_Person_ForeignWithinEU28_LessThanOnceAMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Female,2014,BE,12.3 u
12,Count_Person_NotACitizen_LessThanOnceAMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Female,2014,BE,10.1 u
13,Count_Person_Citizen_LessThanOnceAMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Female,2014,BE,12.1 
14,Count_Person_ForeignOutsideEU28_LessThanOnceAMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Female,2014,BE,6.4 u
15,Count_Person_ForeignWithinEU28_LessThanOnceAMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Male,2014,BE,4.8 u
16,Count_Person_NotACitizen_LessThanOnceAMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Male,2014,BE,4.6 u
17,Count_Person_Citizen_LessThanOnceAMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Male,2014,BE,6.4 
18,Count_Person_ForeignOutsideEU28_LessThanOnceAMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Male,2014,BE,4.2 u
19,Count_Person_ForeignWithinEU28_LessThanOnceAMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Total,2014,BE,8.6 u
20,Count_Person_NotACitizen_LessThanOnceAMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Total,2014,BE,7.4 u
21,Count_Person_Citizen_LessThanOnceAMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Total,2014,BE,9.3 
22,Count_Person_ForeignOutsideEU28_LessThanOnceAMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Total,2014,BE,5.3 u
23,Count_Person_ForeignWithinEU28_EveryMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Female,2014,BE,23.1 u
24,Count_Person_NotACitizen_EveryMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Female,2014,BE,20.8 u
25,Count_Person_Citizen_EveryMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Female,2014,BE,24.9 
26,Count_Person_ForeignOutsideEU28_EveryMonth_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Female,2014,BE,16.9 u
27,Count_Person_ForeignWithinEU28_EveryMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Male,2014,BE,17.7 u
28,Count_Person_NotACitizen_EveryMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Male,2014,BE,16.7 u
29,Count_Person_Citizen_EveryMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Male,2014,BE,16.2 
30,Count_Person_ForeignOutsideEU28_EveryMonth_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Male,2014,BE,15.0 u
31,Count_Person_ForeignWithinEU28_EveryMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Total,2014,BE,20.5 u
32,Count_Person_NotACitizen_EveryMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Total,2014,BE,18.8 u
33,Count_Person_Citizen_EveryMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Total,2014,BE,20.7 
34,Count_Person_ForeignOutsideEU28_EveryMonth_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Total,2014,BE,15.9 u
35,Count_Person_ForeignWithinEU28_NotInTheLast12Months_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Female,2014,BE,4.6 u
36,Count_Person_NotACitizen_NotInTheLast12Months_Female_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Female,2014,BE,6.6 u
37,Count_Person_Citizen_NotInTheLast12Months_Female_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Female,2014,BE,5.1 
38,Count_Person_ForeignOutsideEU28_NotInTheLast12Months_Female_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Female,2014,BE,10.0 u
39,Count_Person_ForeignWithinEU28_NotInTheLast12Months_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Male,2014,BE,8.6 u
40,Count_Person_NotACitizen_NotInTheLast12Months_Male_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Male,2014,BE,8.7 u
41,Count_Person_Citizen_NotInTheLast12Months_Male_AlcoholConsumption_AsAFractionOf_Count_Person_Citizen_Male,2014,BE,4.3 
42,Count_Person_ForeignOutsideEU28_NotInTheLast12Months_Male_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignOutsideEU28_Male,2014,BE,8.8 u
43,Count_Person_ForeignWithinEU28_NotInTheLast12Months_Total_AlcoholConsumption_AsAFractionOf_Count_Person_ForeignWithinEU28_Total,2014,BE,6.6 u
44,Count_Person_NotACitizen_NotInTheLast12Months_Total_AlcoholConsumption_AsAFractionOf_Count_Person_NotACitizen_Total,2014,BE,7.6 u
