SV,geo,time,observation
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,BE,2019,6.7 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,BG,2019,2.6 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,CY,2019,0.8 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,CZ,2019,3.1 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,DE,2019,2.7 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,DK,2019,8.5 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,EE,2019,0.5 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,EL,2019,1.9 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,ES,2019,4.4 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,FI,2019,: 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,FR,2019,4.3 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,HR,2019,5.0 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,HU,2019,1.4 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,IE,2019,2.4 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,IS,2019,0.3 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,IT,2019,4.1 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,LT,2019,0.6 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,LU,2019,5.6 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,LV,2019,0.3 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,MT,2019,4.6 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,NL,2019,3.3 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,NO,2019,1.4 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,PL,2019,0.1 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,PT,2019,9.0 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,RO,2019,0.5 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,RS,2019,0.3 u
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,SE,2019,1.6 
Count_Person_Percentile0To20_Female_AlcoholConsumption_EveryDay_AsAFractionOf_Count_Person_Percentile0To20_Female,SI,2019,3.5 
