SV,time,geo,observation
Count_Person_Male_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile0To20,2014,BE,3.8 
Count_Person_Total_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile0To20,2014,BE,3.5 
Count_Person_Female_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile20To40,2014,BE,1.6 
Count_Person_Male_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile20To40,2014,BE,4.5 
Count_Person_Total_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile20To40,2014,BE,2.8 
Count_Person_Female_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile40To60,2014,BE,3.7 
Count_Person_Male_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile40To60,2014,BE,4.8 
Count_Person_Total_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile40To60,2014,BE,4.3 
Count_Person_Female_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile60To80,2014,BE,5.2 
Count_Person_Male_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile60To80,2014,BE,4.6 
Count_Person_Total_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile60To80,2014,BE,4.9 
Count_Person_Female_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile80To100,2014,BE,4.0 
Count_Person_Male_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile80To100,2014,BE,4.3 
Count_Person_Total_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile80To100,2014,BE,4.2 
Count_Person_Female_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Total,2014,BE,3.7 
Count_Person_Male_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Total,2014,BE,4.3 
Count_Person_Total_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Total,2014,BE,4.0 
Count_Person_Male_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile0To20,2014,BG,2.5 
Count_Person_Total_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile0To20,2014,BG,1.7 
Count_Person_Female_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile20To40,2014,BG,0.9 
Count_Person_Male_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile20To40,2014,BG,3.7 
Count_Person_Total_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile20To40,2014,BG,2.1 
Count_Person_Female_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile40To60,2014,BG,0.8 
Count_Person_Male_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile40To60,2014,BG,4.5 
Count_Person_Total_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile40To60,2014,BG,2.4 
Count_Person_Female_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile60To80,2014,BG,0.5 
Count_Person_Male_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile60To80,2014,BG,1.7 
Count_Person_Total_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile60To80,2014,BG,1.1 
Count_Person_Female_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile80To100,2014,BG,0.7 
Count_Person_Male_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile80To100,2014,BG,1.8 
Count_Person_Total_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile80To100,2014,BG,1.2 
Count_Person_Female_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Total,2014,BG,0.8 
Count_Person_Male_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Total,2014,BG,2.5 
Count_Person_Total_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Total,2014,BG,1.6 
Count_Person_Male_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile0To20,2014,CZ,4.6 
Count_Person_Total_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile0To20,2014,CZ,2.2 
Count_Person_Female_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile20To40,2014,CZ,1.2 
Count_Person_Male_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile20To40,2014,CZ,3.0 
Count_Person_Total_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile20To40,2014,CZ,1.9 
Count_Person_Female_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile40To60,2014,CZ,0.7 
Count_Person_Male_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile40To60,2014,CZ,3.8 
Count_Person_Total_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile40To60,2014,CZ,2.3 
Count_Person_Female_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile60To80,2014,CZ,2.2 
Count_Person_Male_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile60To80,2014,CZ,2.4 
Count_Person_Total_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile60To80,2014,CZ,2.3 
Count_Person_Female_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile80To100,2014,CZ,1.9 
Count_Person_Male_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile80To100,2014,CZ,3.5 
Count_Person_Total_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile80To100,2014,CZ,2.8 
Count_Person_Female_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Total,2014,CZ,1.3 
Count_Person_Male_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Total,2014,CZ,3.4 
Count_Person_Total_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Total,2014,CZ,2.3 
Count_Person_Male_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile0To20,2014,DK,10.4 
Count_Person_Total_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile0To20,2014,DK,9.4 
Count_Person_Female_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile20To40,2014,DK,10.2 
Count_Person_Male_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile20To40,2014,DK,7.5 
Count_Person_Total_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile20To40,2014,DK,8.9 
Count_Person_Female_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile40To60,2014,DK,9.0 
Count_Person_Male_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile40To60,2014,DK,7.9 
Count_Person_Total_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile40To60,2014,DK,8.4 
Count_Person_Female_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile60To80,2014,DK,5.1 
Count_Person_Male_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile60To80,2014,DK,6.0 
Count_Person_Total_Percentile60To80_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile60To80,2014,DK,5.6 
Count_Person_Female_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile80To100,2014,DK,8.0 
Count_Person_Male_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile80To100,2014,DK,8.5 
Count_Person_Total_Percentile80To100_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile80To100,2014,DK,8.2 
Count_Person_Female_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Total,2014,DK,7.8 
Count_Person_Male_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Total,2014,DK,7.6 
Count_Person_Total_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Total,2014,DK,7.7 
Count_Person_Male_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile0To20,2014,DE,5.4
Count_Person_Total_Percentile0To20_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile0To20,2014,DE,4.4
Count_Person_Female_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile20To40,2014,DE,3.2
Count_Person_Male_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile20To40,2014,DE,5.1
Count_Person_Total_Percentile20To40_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Percentile20To40,2014,DE,4.1
Count_Person_Female_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Female_Percentile40To60,2014,DE,3.9
Count_Person_Male_Percentile40To60_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Male_Percentile40To60,2014,DE,4.6
