,Overall 2020‖ Health Indicator N#,2016 % (95% CI)¶,N#,2017 % (95% CI)¶,N#.1,2018 % (95% CI)¶,N#.2,2019 % (95% CI)¶,N#.3,2020 % (95% CI)¶
0,Nutrition,,,,,,,,,
1,• Multivitamin use ≥4 times a week during the month before,,,,,,,,,
2,1055,40.2 (36.9-43.6),1096.0,39.1 (35.8-42.4),928.0,34.3 (31.0-37.8),1586.0,43.4 (40.3-46.4),958.0,47.0 (43.4-50.5)
3,pregnancy,,,,,,,,,
4,Pre-pregnancy Weight,,,,,,,,,
5,• Underweight (body mass index [BMI] <18.5 kg/m2) 1039,3.8 (2.7-5.4),1085.0,3.6 (2.5-5.1),916.0,2.4 (1.5-3.8),1574.0,4.7 (3.5-6.2),947.0,4.6 (3.3-6.4)
6,• Overweight (BMI 25–29.9 kg/m2) 1039,25.1 (22.2-28.3),1085.0,23.9 (21.1-27.0),916.0,27.6 (24.5-31.0),1574.0,22.4 (20.0-25.1),947.0,25.7 (22.7-28.9)
7,• Obese (BMI ≥30 kg/m2) 1039,28.3 (25.2-31.5),1085.0,31.4 (28.2-34.7),916.0,29.9 (26.6-33.4),1574.0,28.2 (25.4-31.1),947.0,30.3 (27.1-33.8)
8,Substance Use,,,,,,,,,
9,• Any cigarette smoking,,,,,,,,,
10,• During the 3 months before pregnancy 1049,26.2 (23.2-29.4),1098.0,24.2 (21.4-27.2),921.0,23.8 (20.8-27.2),1579.0,22.5 (19.9-25.4),950.0,19.8 (17.1-22.9)
11,• During the last 3 months of pregnancy 1050,13.5 (11.2-16.1),1096.0,13.0 (10.9-15.5),922.0,14.5 (12.0-17.4),1583.0,12.1 (10.0-14.5),951.0,11.3 (9.1-13.8)
12,• Postpartum 1049,18.7 (16.1-21.6),1095.0,18.2 (15.7-21.0),920.0,18.9 (16.1-22.0),1582.0,17.6 (15.1-20.3),949.0,14.7 (12.2-17.5)
13,• Any e-cigarette use,,,,,,,,,
14,• During the 3 months before pregnancy 1047,6.0 (4.5-8.0),1095.0,5.9 (4.5-7.7),920.0,5.5 (3.9-7.5),1581.0,6.1 (4.7-8.0),952.0,6.2 (4.6-8.3)
15,• During the last 3 months of pregnancy  1051,2.3 (1.4-3.8),1105.0,1.4 (0.8-2.4),927.0,1.2 (0.6-2.3),1589.0,1.6 (1.0-2.6),960.0,2.4 (1.5-3.9)
16,• Hookah use in the last 2 years 1047,6.0 (4.4-8.0),1094.0,5.5 (4.0-7.3),917.0,4.0 (2.7-5.8),1586.0,3.5 (2.6-4.8),952.0,3.7 (2.5-5.3)
17,• Heavy drinking (≥8 drinks a week) during the 3 months before,,,,,,,,,
18,1049,2.5 (1.6-3.7),1102.0,2.6 (1.7-3.8),922.0,2.5 (1.6-3.9),1586.0,2.1 (1.4-3.2),959.0,3.8 (2.6-5.5)
19,pregnancy,,,,,,,,,
20,Intimate Partner Violence (IPV)¥,,,,,,,,,
21,• Experienced IPV during the 12 months before pregnancy by a,,,,,,,,,
22,2.5 (2.3-2.8) husband or partner and/or by an ex-husband or ex-partner  1049,4.9 (3.5-6.8),1102.0,4.4 (3.1-6.0),926.0,4.9 (3.4-6.9),1595.0,4.7 (3.4-6.5),959.0,4.7 (3.3-6.5)
23,• Experienced IPV during pregnancy by a husband or partner,,,,,,,,,
24,1047,2.5 (1.5-4.0),1104.0,3.9 (2.7-5.6),925.0,3.2 (2.1-4.9),1594.0,3.0 (1.9-4.5),958.0,2.4 (1.5-3.8)
25,and/or by an ex-husband or ex-partner,,,,,,,,,
26,Depression,,,,,,,,,
27,• Self-reported depression in the 3 months before pregnancy 1056,16.5 (14.0-19.3),1106.0,18.2 (15.7-21.0),932.0,20.3 (17.4-23.4),1600.0,19.6 (17.1-22.3),961.0,21.5 (18.7-24.7)
28,• Self-reported depression during pregnancy 1047,16.4 (13.9-19.2),1079.0,17.2 (14.7-19.9),906.0,19.7 (16.9-22.9),1574.0,19.3 (16.8-22.0),946.0,21.9 (19.1-25.0)
