Region,Indicator,Sex,Units,2011,2012,2013,2014,2015,2016
Uganda,"Gross Enrolment Ratio , primary",Both Sex,%,,115,113,117,109,
Uganda,"Gross Intake  Ratio , primary",Both Sex,%,,133,130,148,152,
Uganda,"Net Intake  Ratio , primary",Both Sex,%,,60,60,59,65,
Uganda,"Net Enrolment  Ratio (Total) , primary",Both Sex,%,,96,96,97,91,
Uganda,"Pupil Teacher Ratio , primary",Both Sex,Number of students per Teacher,,49,46,46,43,43
Uganda,"Pupil Classroom Ratio , primary",Both Sex,Number of students per classroom,,57,57,58,63,54
Uganda,"Pupil Stance Ratio , primary",Both Sex,Number of students per latrine stance,,36,63,53,52,47
Uganda,"Enrolment , primary",Both Sex,thousands,,8329,8459,8773,8264,8656
Uganda,"Enrolment , primary",Male,thousands,,4158,4219,4377,4122,4294
Uganda,"Enrolment , primary",Female,thousands,,4171,4240,4395,4142,4361
Uganda,"Annual change in Enrolment (%) , primary",Both Sex,%,,2.8,1.6,3.7,-5.8,4.7
Uganda,"Number of Schools , primary",Both Sex,Number,,17682,18079,18408,18889,19718
Uganda,"Number of Teachers , primary",Both Sex,thousands,,171,185,191,193,203
Uganda,"Number of classrooms , primary",Both Sex,Number,,145390,148711,149591,131325,160381
Uganda,"Number of Toilet Stances , primary",Both Sex,Number,,234073,133367,165791,159130,182576
Uganda,"Population (6 - 12 years) , primary",Both Sex,Persons,,,,7297,7463,7618
Uganda,"Population (6 - 12 years) , primary",Male,Persons,,,,3691,3790,3887
Uganda,"Population (6 - 12 years) , primary",Female,Persons,,,,3606,3673,3731
Uganda,"Orphans in Primary School , primary",Both Sex,Number,,1256172,1237431,1156856,956972,1073569
Uganda,"Orphans in Primary School , primary",Male,Number,,635975,628287,587868,485475,543791
Uganda,"Orphans in Primary School , primary",Female,Number,,620197,609144,568988,471497,529778
Uganda,"Share of orphans to total Enrolment , primary",Both Sex,%,,15.1,14.6,13.2,11.6,12.4
Uganda,"Enrolment , primary",Both Sex,Number,,,,,,8655924
Uganda,"Enrolment, P1 , primary",Both Sex,Number,,,,,,1888847
Uganda,"Enrolment, P2 , primary",Both Sex,Number,,,,,,1352893
Uganda,"Enrolment, P3 , primary",Both Sex,Number,,,,,,1349293
Uganda,"Enrolment, P4 , primary",Both Sex,Number,,,,,,1328035
Uganda,"Enrolment, P5 , primary",Both Sex,Number,,,,,,1156465
Uganda,"Enrolment, P6 , primary",Both Sex,Number,,,,,,958298
Uganda,"Enrolment, P7 , primary",Both Sex,Number,,,,,,622093
Uganda,"Pupils with adequate , primary",Both Sex,Number,,,,,,5895742
Uganda,"Pupils with adequate, P1 , primary",Both Sex,Number,,,,,,1049698
Uganda,"Pupils with adequate, P2 , primary",Both Sex,Number,,,,,,851540
Uganda,"Pupils with adequate, P3 , primary",Both Sex,Number,,,,,,906111
Uganda,"Pupils with adequate, P4 , primary",Both Sex,Number,,,,,,942026
Uganda,"Pupils with adequate, P5 , primary",Both Sex,Number,,,,,,865432
Uganda,"Pupils with adequate, P6 , primary",Both Sex,Number,,,,,,752342
Uganda,"Pupils with adequate, P7 , primary",Both Sex,Number,,,,,,528593
Uganda,"Share of pupils with adequate
space total Enrolment , primary",Both Sex,%,,,,,,68.1
Uganda,"Share of pupils with adequate
space total Enrolment, P1 , primary",Both Sex,%,,,,,,55.6
Uganda,"Share of pupils with adequate
space total Enrolment, P2 , primary",Both Sex,%,,,,,,62.9
Uganda,"Share of pupils with adequate
space total Enrolment, P3 , primary",Both Sex,%,,,,,,67.2
Uganda,"Share of pupils with adequate
space total Enrolment, P4 , primary",Both Sex,%,,,,,,70.9
Uganda,"Share of pupils with adequate
space total Enrolment, P5 , primary",Both Sex,%,,,,,,74.8
Uganda,"Share of pupils with adequate
space total Enrolment, P6 , primary",Both Sex,%,,,,,,78.5
Uganda,"Share of pupils with adequate
space total Enrolment, P7 , primary",Both Sex,%,,,,,,85
Uganda,"Pupils who registered , primary",Both Sex,Number,,,,,,639037
Uganda,"Pupils who registered , primary",Male,Number,,,,,,310837
Uganda,"Pupils who registered , primary",Female,Number,,,,,,328200
Uganda,"Pupils Who Sat for PLE , primary",Both Sex,Number,,,,,,622296
Uganda,"Pupils Who Sat for PLE , primary",Male,Number,,,,,,303382
Uganda,"Pupils Who Sat for PLE , primary",Female,Number,,,,,,318914
Uganda,"Pupils who passed PLE , primary",Both Sex,Number,,,,,,541086
Uganda,"Pupils who passed PLE , primary",Male,Number,,,,,,270046
Uganda,"Pupils who passed PLE , primary",Female,Number,,,,,,271040
Uganda,"Division I , primary",Both Sex,Number,,,,,,63399
Uganda,"Division I , primary",Male,Number,,,,,,37265
Uganda,"Division I , primary",Female,Number,,,,,,26134
Uganda,"Division II , primary",Both Sex,Number,,,,,,251783
Uganda,"Division II , primary",Male,Number,,,,,,129647
Uganda,"Division II , primary",Female,Number,,,,,,122136
Uganda,"Division III , primary",Both Sex,Number,,,,,,129254
Uganda,"Division III , primary",Male,Number,,,,,,59320
Uganda,"Division III , primary",Female,Number,,,,,,69934
Uganda,"Division IV , primary",Both Sex,Number,,,,,,96650
Uganda,"Division IV , primary",Male,Number,,,,,,43814
Uganda,"Division IV , primary",Female,Number,,,,,,52836
Uganda,"Division U , primary",Both Sex,Number,,,,,,81210
Uganda,"Division U , primary",Male,Number,,,,,,33336
