key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
State,observationAbout,geoId/34,,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Students taught by one or more teachers who are out-of-field,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,OutofFieldTeacher,,,,,,
Students taught by one or more ineffective teacher,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,IneffectiveTeacher,,,,,,
Students taught by one or more inexperienced teacher,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,InexperiencedTeacher,,,,,,
OutOfFieldTeacher,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,OutofFieldTeacher,,,,,,
IneffectiveTeacher,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,IneffectiveTeacher,,,,,,
InexperiencedTeacher,populationType,Student,measuredProperty,count,taughtBy,[1 - Teacher],facultyType,InexperiencedTeacher,,,,,,
Percentage of Students Overall,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,measurementDenominator,Count_Student,,,,
Percentage of Low Income Students in Title I Schools,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,LowIncome,measurementDenominator,Count_Student,,
Percentage of Non-Low Income Students in Non-Title I Schools,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,NonLowIncome,measurementDenominator,Count_Student,,
Percentage of Minority Students in Title I Schools,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,Minority,measurementDenominator,Count_Student,,
Percentage of Non-Minority Students in Non-Title I Schools,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,NonMinority,measurementDenominator,Count_Student,,
PercentStudentsOverall,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,measurementDenominator,Count_Student,,,,
PercentLowIncome,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,LowIncome,measurementDenominator,Count_Student,,
PercentNonLowIncome,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,NonLowIncome,measurementDenominator,Count_Student,,
PercentMinority,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,Minority,measurementDenominator,Count_Student,,
PercentNonMiniority,populationType,Student,measuredProperty,count,value,{Number},unit ,Percent,socialVulnerabilityStatus,NonMinority,measurementDenominator,Count_Student,,
