RefSeqID	chromosome_dcid
NC_000001.10	dcid:bio/hg19_chr1
NC_000002.11	dcid:bio/hg19_chr2
NC_000003.11	dcid:bio/hg19_chr3
NC_000004.11	dcid:bio/hg19_chr4
NC_000005.9	dcid:bio/hg19_chr5
NC_000006.11	dcid:bio/hg19_chr6
NC_000007.13	dcid:bio/hg19_chr7
NC_000008.10	dcid:bio/hg19_chr8
NC_000009.11	dcid:bio/hg19_chr9
NC_000010.10	dcid:bio/hg19_chr10
NC_000011.9	dcid:bio/hg19_chr11
NC_000012.11	dcid:bio/hg19_chr12
NC_000013.10	dcid:bio/hg19_chr13
NC_000014.8	dcid:bio/hg19_chr14
NC_000015.9	dcid:bio/hg19_chr15
NC_000016.9	dcid:bio/hg19_chr16
NC_000017.10	dcid:bio/hg19_chr17
NC_000018.9	dcid:bio/hg19_chr18
NC_000019.9	dcid:bio/hg19_chr19
NC_000020.10	dcid:bio/hg19_chr20
NC_000021.8	dcid:bio/hg19_chr21
NC_000022.10	dcid:bio/hg19_chr22
NC_000023.10	dcid:bio/hg19_chrX
NC_000024.9	dcid:bio/hg19_chrY
NT_113878.1	dcid:bio/hg19_chr1_gl000191_random
NT_167207.1	dcid:bio/hg19_chr1_gl000192_random
NT_113885.1	dcid:bio/hg19_chr4_gl000193_random
NT_113888.1	dcid:bio/hg19_chr4_gl000194_random
NT_113901.1	dcid:bio/hg19_chr7_gl000195_random
NT_113909.1	dcid:bio/hg19_chr8_gl000196_random
NT_113907.1	dcid:bio/hg19_chr8_gl000197_random
NT_113914.1	dcid:bio/hg19_chr9_gl000198_random
NT_113916.2	dcid:bio/hg19_chr9_gl000199_random
NT_113915.1	dcid:bio/hg19_chr9_gl000200_random
NT_113911.1	dcid:bio/hg19_chr9_gl000201_random
NT_113921.2	dcid:bio/hg19_chr11_gl000202_random
NT_113941.1	dcid:bio/hg19_chr17_gl000203_random
NT_113943.1	dcid:bio/hg19_chr17_gl000204_random
NT_113930.1	dcid:bio/hg19_chr17_gl000205_random
NT_113945.1	dcid:bio/hg19_chr17_gl000206_random
NT_113947.1	dcid:bio/hg19_chr18_gl000207_random
NT_113948.1	dcid:bio/hg19_chr19_gl000208_random
NT_113949.1	dcid:bio/hg19_chr19_gl000209_random
NT_113950.2	dcid:bio/hg19_chr21_gl000210_random
NT_113961.1	dcid:bio/hg19_chrUn_gl000211
NT_113923.1	dcid:bio/hg19_chrUn_gl000212
NT_167208.1	dcid:bio/hg19_chrUn_gl000213
NT_167209.1	dcid:bio/hg19_chrUn_gl000214
NT_167210.1	dcid:bio/hg19_chrUn_gl000215
NT_167211.1	dcid:bio/hg19_chrUn_gl000216
NT_167212.1	dcid:bio/hg19_chrUn_gl000217
NT_113889.1	dcid:bio/hg19_chrUn_gl000218
NT_167213.1	dcid:bio/hg19_chrUn_gl000219
NT_167214.1	dcid:bio/hg19_chrUn_gl000220
NT_167215.1	dcid:bio/hg19_chrUn_gl000221
NT_167216.1	dcid:bio/hg19_chrUn_gl000222
NT_167217.1	dcid:bio/hg19_chrUn_gl000223
NT_167218.1	dcid:bio/hg19_chrUn_gl000224
NT_167219.1	dcid:bio/hg19_chrUn_gl000225
NT_167220.1	dcid:bio/hg19_chrUn_gl000226
NT_167221.1	dcid:bio/hg19_chrUn_gl000227
NT_167222.1	dcid:bio/hg19_chrUn_gl000228
NT_167223.1	dcid:bio/hg19_chrUn_gl000229
NT_167224.1	dcid:bio/hg19_chrUn_gl000230
NT_167225.1	dcid:bio/hg19_chrUn_gl000231
NT_167226.1	dcid:bio/hg19_chrUn_gl000232
NT_167227.1	dcid:bio/hg19_chrUn_gl000233
NT_167228.1	dcid:bio/hg19_chrUn_gl000234
NT_167229.1	dcid:bio/hg19_chrUn_gl000235
NT_167230.1	dcid:bio/hg19_chrUn_gl000236
NT_167231.1	dcid:bio/hg19_chrUn_gl000237
NT_167232.1	dcid:bio/hg19_chrUn_gl000238
NT_167233.1	dcid:bio/hg19_chrUn_gl000239
NT_167234.1	dcid:bio/hg19_chrUn_gl000240
NT_167235.1	dcid:bio/hg19_chrUn_gl000241
NT_167236.1	dcid:bio/hg19_chrUn_gl000242
NT_167237.1	dcid:bio/hg19_chrUn_gl000243
NT_167238.1	dcid:bio/hg19_chrUn_gl000244
NT_167239.1	dcid:bio/hg19_chrUn_gl000245
NT_167240.1	dcid:bio/hg19_chrUn_gl000246
NT_167241.1	dcid:bio/hg19_chrUn_gl000247
NT_167242.1	dcid:bio/hg19_chrUn_gl000248
NT_167243.1	dcid:bio/hg19_chrUn_gl000249
NT_167244.1	dcid:bio/hg19_chr6_apd_hap1
NT_113891.2	dcid:bio/hg19_chr6_cox_hap2
NT_167245.1	dcid:bio/hg19_chr6_dbb_hap3
NT_167246.1	dcid:bio/hg19_chr6_mann_hap4
NT_167247.1	dcid:bio/hg19_chr6_mcf_hap5
NT_167248.1	dcid:bio/hg19_chr6_qbl_hap6
NT_167249.1	dcid:bio/hg19_chr6_ssto_hap7
NT_167250.1	dcid:bio/hg19_chr4_ctg9_hap1
NT_167251.1	dcid:bio/hg19_chr17_ctg5_hap1
NC_000001.11	dcid:bio/hg19_chr1
NC_000002.12	dcid:bio/hg19_chr2
NC_000003.12	dcid:bio/hg19_chr3
NC_000004.12	dcid:bio/hg19_chr4
NC_000005.10	dcid:bio/hg19_chr5
NC_000006.12	dcid:bio/hg19_chr6
NC_000007.14	dcid:bio/hg19_chr7
NC_000008.11	dcid:bio/hg19_chr8
NC_000009.12	dcid:bio/hg19_chr9
NC_000010.11	dcid:bio/hg19_chr10
NC_000011.10	dcid:bio/hg19_chr11
NC_000012.12	dcid:bio/hg19_chr12
NC_000013.11	dcid:bio/hg19_chr13
NC_000014.9	dcid:bio/hg19_chr14
NC_000015.10	dcid:bio/hg19_chr15
NC_000016.10	dcid:bio/hg19_chr16
NC_000017.11	dcid:bio/hg19_chr17
NC_000018.10	dcid:bio/hg19_chr18
NC_000019.10	dcid:bio/hg19_chr19
NC_000020.11	dcid:bio/hg19_chr20
NC_000021.9	dcid:bio/hg19_chr21
NC_000022.11	dcid:bio/hg19_chr22
NC_000023.11	dcid:bio/hg19_chrX
NC_000024.10	dcid:bio/hg19_chrY
NT_187361.1	dcid:bio/hg19_chr1_KI270706v1_random
NT_187362.1	dcid:bio/hg19_chr1_KI270707v1_random
NT_187363.1	dcid:bio/hg19_chr1_KI270708v1_random
NT_187364.1	dcid:bio/hg19_chr1_KI270709v1_random
NT_187365.1	dcid:bio/hg19_chr1_KI270710v1_random
NT_187366.1	dcid:bio/hg19_chr1_KI270711v1_random
NT_187367.1	dcid:bio/hg19_chr1_KI270712v1_random
NT_187368.1	dcid:bio/hg19_chr1_KI270713v1_random
NT_187369.1	dcid:bio/hg19_chr1_KI270714v1_random
NT_187370.1	dcid:bio/hg19_chr2_KI270715v1_random
NT_187371.1	dcid:bio/hg19_chr2_KI270716v1_random
NT_167215.1	dcid:bio/hg19_chr3_GL000221v1_random
NT_113793.3	dcid:bio/hg19_chr4_GL000008v2_random
NT_113948.1	dcid:bio/hg19_chr5_GL000208v1_random
NT_187372.1	dcid:bio/hg19_chr9_KI270717v1_random
NT_187373.1	dcid:bio/hg19_chr9_KI270718v1_random
NT_187374.1	dcid:bio/hg19_chr9_KI270719v1_random
NT_187375.1	dcid:bio/hg19_chr9_KI270720v1_random
NT_187376.1	dcid:bio/hg19_chr11_KI270721v1_random
NT_113796.3	dcid:bio/hg19_chr14_GL000009v2_random
NT_113888.1	dcid:bio/hg19_chr14_GL000194v1_random
NT_167219.1	dcid:bio/hg19_chr14_GL000225v1_random
NT_187377.1	dcid:bio/hg19_chr14_KI270722v1_random
NT_187378.1	dcid:bio/hg19_chr14_KI270723v1_random
NT_187379.1	dcid:bio/hg19_chr14_KI270724v1_random
NT_187380.1	dcid:bio/hg19_chr14_KI270725v1_random
NT_187381.1	dcid:bio/hg19_chr14_KI270726v1_random
NT_187382.1	dcid:bio/hg19_chr15_KI270727v1_random
NT_187383.1	dcid:bio/hg19_chr16_KI270728v1_random
NT_113930.2	dcid:bio/hg19_chr17_GL000205v2_random
NT_187384.1	dcid:bio/hg19_chr17_KI270729v1_random
NT_187385.1	dcid:bio/hg19_chr17_KI270730v1_random
NT_187386.1	dcid:bio/hg19_chr22_KI270731v1_random
NT_187387.1	dcid:bio/hg19_chr22_KI270732v1_random
NT_187388.1	dcid:bio/hg19_chr22_KI270733v1_random
NT_187389.1	dcid:bio/hg19_chr22_KI270734v1_random
NT_187390.1	dcid:bio/hg19_chr22_KI270735v1_random
NT_187391.1	dcid:bio/hg19_chr22_KI270736v1_random
NT_187392.1	dcid:bio/hg19_chr22_KI270737v1_random
NT_187393.1	dcid:bio/hg19_chr22_KI270738v1_random
NT_187394.1	dcid:bio/hg19_chr22_KI270739v1_random
NT_187395.1	dcid:bio/hg19_chrY_KI270740v1_random
NT_113901.1	dcid:bio/hg19_chrUn_GL000195v1
NT_167208.1	dcid:bio/hg19_chrUn_GL000213v1
NT_167209.1	dcid:bio/hg19_chrUn_GL000214v1
NT_167211.2	dcid:bio/hg19_chrUn_GL000216v2
NT_113889.1	dcid:bio/hg19_chrUn_GL000218v1
NT_167213.1	dcid:bio/hg19_chrUn_GL000219v1
NT_167214.1	dcid:bio/hg19_chrUn_GL000220v1
NT_167218.1	dcid:bio/hg19_chrUn_GL000224v1
NT_167220.1	dcid:bio/hg19_chrUn_GL000226v1
NT_187396.1	dcid:bio/hg19_chrUn_KI270302v1
NT_187398.1	dcid:bio/hg19_chrUn_KI270303v1
NT_187397.1	dcid:bio/hg19_chrUn_KI270304v1
NT_187399.1	dcid:bio/hg19_chrUn_KI270305v1
NT_187402.1	dcid:bio/hg19_chrUn_KI270310v1
NT_187406.1	dcid:bio/hg19_chrUn_KI270311v1
NT_187405.1	dcid:bio/hg19_chrUn_KI270312v1
NT_187404.1	dcid:bio/hg19_chrUn_KI270315v1
NT_187403.1	dcid:bio/hg19_chrUn_KI270316v1
NT_187407.1	dcid:bio/hg19_chrUn_KI270317v1
NT_187401.1	dcid:bio/hg19_chrUn_KI270320v1
NT_187400.1	dcid:bio/hg19_chrUn_KI270322v1
NT_187459.1	dcid:bio/hg19_chrUn_KI270329v1
NT_187458.1	dcid:bio/hg19_chrUn_KI270330v1
NT_187461.1	dcid:bio/hg19_chrUn_KI270333v1
NT_187460.1	dcid:bio/hg19_chrUn_KI270334v1
NT_187462.1	dcid:bio/hg19_chrUn_KI270335v1
NT_187465.1	dcid:bio/hg19_chrUn_KI270336v1
NT_187466.1	dcid:bio/hg19_chrUn_KI270337v1
NT_187463.1	dcid:bio/hg19_chrUn_KI270338v1
NT_187464.1	dcid:bio/hg19_chrUn_KI270340v1
NT_187469.1	dcid:bio/hg19_chrUn_KI270362v1
NT_187467.1	dcid:bio/hg19_chrUn_KI270363v1
NT_187468.1	dcid:bio/hg19_chrUn_KI270364v1
NT_187470.1	dcid:bio/hg19_chrUn_KI270366v1
NT_187494.1	dcid:bio/hg19_chrUn_KI270371v1
