observationAbout,observationDate,value,variableMeasured,observationPeriod
dcid:country/USA,2023-01,299000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-02,271000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-03,299000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-04,279000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-05,299000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-06,303000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-07,312000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-08,322000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-09,305000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-10,309000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-11,298000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-12,297000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-01,297000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-02,283000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-03,298000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-04,289000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-05,302000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2024-06,291000,dcid:Count_BirthEvent_LiveBirth,P1M
dcid:country/USA,2023-01,289000,dcid:Count_Death,P1M
dcid:country/USA,2023-02,249000,dcid:Count_Death,P1M
dcid:country/USA,2023-03,269000,dcid:Count_Death,P1M
dcid:country/USA,2023-04,252000,dcid:Count_Death,P1M
dcid:country/USA,2023-05,253000,dcid:Count_Death,P1M
dcid:country/USA,2023-06,241000,dcid:Count_Death,P1M
dcid:country/USA,2023-07,247000,dcid:Count_Death,P1M
dcid:country/USA,2023-08,250000,dcid:Count_Death,P1M
dcid:country/USA,2023-09,245000,dcid:Count_Death,P1M
dcid:country/USA,2023-10,259000,dcid:Count_Death,P1M
dcid:country/USA,2023-11,258000,dcid:Count_Death,P1M
dcid:country/USA,2023-12,284000,dcid:Count_Death,P1M
dcid:country/USA,2024-01,295000,dcid:Count_Death,P1M
dcid:country/USA,2024-02,255000,dcid:Count_Death,P1M
dcid:country/USA,2024-03,263000,dcid:Count_Death,P1M
dcid:country/USA,2024-04,249000,dcid:Count_Death,P1M
dcid:country/USA,2024-05,249000,dcid:Count_Death,P1M
dcid:country/USA,2024-06,239000,dcid:Count_Death,P1M
dcid:country/USA,2023-01,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-02,1500,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-03,1800,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-04,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-05,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-06,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-07,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-08,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-09,1600,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-10,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-11,1600,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-12,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-01,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-02,1600,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-03,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-04,1600,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-05,1700,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2024-06,1600,dcid:Count_Death_Upto1Years,P1M
dcid:country/USA,2023-01,3673000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-02,3668000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-03,3661000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-04,3650000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-05,3652000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-06,3649000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-07,3639000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-08,3626000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-09,3619000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-10,3621000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-11,3612000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-12,3594000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-01,3591000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-02,3603000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-03,3601000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-04,3612000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-05,3615000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2024-06,3603000,dcid:Count_BirthEvent_LiveBirth,P1Y
dcid:country/USA,2023-01,3198000,dcid:Count_Death,P1Y
dcid:country/USA,2023-02,3158000,dcid:Count_Death,P1Y
dcid:country/USA,2023-03,3159000,dcid:Count_Death,P1Y
dcid:country/USA,2023-04,3165000,dcid:Count_Death,P1Y
dcid:country/USA,2023-05,3164000,dcid:Count_Death,P1Y
dcid:country/USA,2023-06,3157000,dcid:Count_Death,P1Y
dcid:country/USA,2023-07,3144000,dcid:Count_Death,P1Y
dcid:country/USA,2023-08,3136000,dcid:Count_Death,P1Y
dcid:country/USA,2023-09,3130000,dcid:Count_Death,P1Y
dcid:country/USA,2023-10,3123000,dcid:Count_Death,P1Y
dcid:country/USA,2023-11,3113000,dcid:Count_Death,P1Y
dcid:country/USA,2023-12,3097000,dcid:Count_Death,P1Y
dcid:country/USA,2024-01,3103000,dcid:Count_Death,P1Y
dcid:country/USA,2024-02,3109000,dcid:Count_Death,P1Y
dcid:country/USA,2024-03,3103000,dcid:Count_Death,P1Y
dcid:country/USA,2024-04,3099000,dcid:Count_Death,P1Y
dcid:country/USA,2024-05,3095000,dcid:Count_Death,P1Y
dcid:country/USA,2024-06,3094000,dcid:Count_Death,P1Y
dcid:country/USA,2023-01,20400,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-02,20500,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-03,20600,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-04,20600,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-05,20600,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-06,20600,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-07,20400,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-08,20300,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-09,20300,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-10,20100,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-11,20000,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2023-12,20100,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2024-01,20000,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2024-02,20100,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2024-03,20000,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2024-04,19900,dcid:Count_Death_Upto1Years,P1Y
dcid:country/USA,2024-05,19900,dcid:Count_Death_Upto1Years,P1Y
