key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
Region,observationAbout,{Data},,,,,,,,,,,,
2006,value,{Number},observationDate,2006,,,,,,,,,,
2007,value,{Number},observationDate,2007,,,,,,,,,,
2008,value,{Number},observationDate,2008,,,,,,,,,,
2009,value,{Number},observationDate,2009,,,,,,,,,,
2010,value,{Number},observationDate,2010,,,,,,,,,,
2011,value,{Number},observationDate,2011,,,,,,,,,,
"Disease, Total",medicalCondition,Disease,,,,,,,,,,,,
Cholera,medicalCondition,Cholera,,,,,,,,,,,,
Whooping Cough,medicalCondition,WhoopingCough,,,,,,,,,,,,
Dysent Bacillus,medicalCondition,BacillaryDysentery,,,,,,,,,,,,
FHV,medicalCondition,FelineHerpesVirus,,,,,,,,,,,,
Yellow Fever,medicalCondition,YellowFever,,,,,,,,,,,,
Typhoid Fever,medicalCondition,TyphoidFever,,,,,,,,,,,,
Gastroenteritis,medicalCondition,Gastroenteritis,,,,,,,,,,,,
Flu Season,#ignore,ignore values,,,,,,,,,,,,
IRA,medicalCondition,InfarctRelatedArtery,,,,,,,,,,,,
Meningitis,medicalCondition,Meningitis,,,,,,,,,,,,
Monkey Pox,medicalCondition,MonkeyPox,,,,,,,,,,,,
Malaria,medicalCondition,Malaria,,,,,,,,,,,,
Plague,medicalCondition,Plague,,,,,,,,,,,,
PFA,medicalTestingMethod,PlateletFunctionAssay,,,,,,,,,,,,
Measles,medicalCondition,Measles,,,,,,,,,,,,
TNN,medicalCondition,TransientTachypneaOfTheNewborn,,,,,,,,,,,,
Distribution of cases and deaths from cholera,medicalCondition,Cholera,,,,,,,,,,,,
Comparison of data of pertussis,medicalCondition,Pertussis,,,,,,,,,,,,
Comparison of epidemiological data,#ignore,ignore values,,,,,,,,,,,,
Epidemiological data FHV DRC,medicalCondition,FelineHerpesVirus,,,,,,,,,,,,
Comparative data of cases and deaths from yellow fever,medicalCondition,YellowFever,,,,,,,,,,,,
Data comparat ives of cases and deaths by province meningitidis you the DRC,#ignore,ignore values,,,,,,,,,,,,
Epidemiological Data,#ignore,ignore values,,,,,,,,,,,,
Evolution of malaria cases and deaths,medicalCondition,Malaria,,,,,,,,,,,,
Evolution of AFP cases and deaths,medicalCondition,AlphaFetoProtein,,,,,,,,,,,,
Comparison of data of measles,medicalCondition,Measles,,,,,,,,,,,,
"Comparative cases, death",#ignore,ignore values,,,,,,,,,,,,
"Comparative cases, death, Typhus",#ignore,ignore values,,,,,,,,,,,,
Case,populationType,MedicalConditionIncident,measuredProperty,count,statType,measuredValue,,,,,,,,
Death,populationType,MortalityEvent,measuredProperty,count,statType,measuredValue,,,,,,,,
Lethality,populationType,MedicalConditionIncident,measuredProperty,lethality,statType,measuredValue,unit,Percent,scalingFactor,100,,,,
Morbidity prop,populationType,MedicalConditionIncident,measuredProperty,count,statType,measuredValue,measurementDenominator,",-medicalCondition,+medicalCondition=Disease",,,,,,
Prop mortality,populationType,MortalityEvent,measuredProperty,count,statType,measuredValue,measurementDenominator,",-medicalCondition,+medicalCondition=Disease",,,,,,
"Disease, Total, Ignore",#ignore,ignore values,,,,,,,,,,,,
"Disease, Total, Ignore",#ignore,ignore values,,,,,,,,,,,,
