territory,value,period,statisticalVariable
IN-AP,2.8,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,1.7,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,5.5,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,6.8,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,0.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,8.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,3.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,2.5,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,3.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,5.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,2.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,6.6,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,5.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,4.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,4.8,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,1.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,0.5,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,6.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,6.7,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,3.1,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,1.7,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,1.2,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,4.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,6.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,3.2,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,6.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,3.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,3.3,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DD,4.9,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,14.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,5.7,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN,4.0,1994-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,4.0,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,1.4,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,7.7,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,7.3,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,3.2,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,14.7,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,2.0,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,2.7,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,6.2,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,4.5,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,3.0,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,5.6,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,4.1,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,5.6,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,6.9,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,3.4,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,3.4,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,9.3,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,7.0,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,2.8,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,2.6,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,6.7,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,3.6,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,5.4,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,4.3,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,7.2,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,3.0,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,3.2,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DN,1.6,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DD,1.4,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,6.5,2000-03,dcs:UnemploymentRate_Person_Urban_Male
