Region,Variable,Units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Uganda,"Number of Health Units, Hospitals",Number,,114,,,,,,,,,,
Uganda,"Number of Health Units, Health Center",Number,,3123,3123,,3123,4450,,,,,,
Uganda,Total,Number,,,,,13285,13285,,,5205,,,
Uganda,Government,Number,,,,,5983,5983,,,2843,,,
Uganda,PNFP (Private Not Profit),Number,,,,,6822,6822,,,,,,
Uganda,PHP,Number,,,,,480,,,,,,,
Uganda,NGO,Number,,,,,,,,,874,,,
Uganda,Private,Number,,,,,,,,,1488,,,
Uganda,Out Patient Department Utilisation in Government and PNFP,Number,,,0.9,0.8,0.8,0.9,1,,,,,
Uganda,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.1,1,1,
Uganda,Pit Latrine Coverage,Number,,,59,63,68,69,71,,,,,
Uganda,"Pit Latrine Coverage in households, Percent",%,,,,,,,,68,68,72,74,
Uganda,Deliveries in Health Facilities,Number,,,32,33,34,33,39,,,,,
Uganda,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,38,39,44,53,55
Uganda,Countrywide routine immunization rates for measles,%,87,89,87,77,80,76,,,,,,
Uganda,Countrywide routine immunization rates for OPV3,%,85,81,84,79,84,82,,,,,,
Uganda,Countrywide routine immunization rates for DPT3,%,85,80,86,79,84,76,90,,,,,
Uganda,Countrywide routine immunization rates for BCG,%,94,85,90,86,90,86,,,,,,
Uganda,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,45,98,98,117
Uganda,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,46,48,49,49,55
Uganda,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,30,32,32,38
Central Uganda,Total,Number,,,,,,,,,2234,,,
Central Uganda,Government,Number,,,,,,,,,584,,,
Central Uganda,NGO,Number,,,,,,,,,277,,,
Central Uganda,Private,Number,,,,,,,,,1373,,,
Central Uganda,Pit Latrine Coverage,Number,,,,,,,54,,,,,
Butambala,Total,Number,,,,,,,,,24,,,
Butambala,Government,Number,,,,,,,,,14,,,
Butambala,NGO,Number,,,,,,,,,6,,,
Butambala,Private,Number,,,,,,,,,4,,,
Butambala,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,1.4,,,,,
Butambala,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.7,1.6,1.6,1.5
Butambala,Pit Latrine Coverage,Number,,,,,,,85,,,,,
Butambala,"Pit Latrine Coverage in households, Percent",%,,,,,,,,61,61,65,67,
Butambala,Deliveries in Health Facilities,Number,,,,,,,77,,,,,
Butambala,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,99,77,78,281,75
Butambala,Countrywide routine immunization rates for measles,%,,,,,,,,,,96,,80
Butambala,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,105,,96
Butambala,Countrywide routine immunization rates for DPT3,%,,,,,,,94,,,105,,101
Butambala,Countrywide routine immunization rates for BCG,%,,,,,,,,,,133,,115
Butambala,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,61,62,62,100
Butambala,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,40,48,49,58,67
Butambala,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,28,29,34,38
Buikwe,Total,Number,,,,,,,,,33,,,
Buikwe,Government,Number,,,,,,,,,20,,,
Buikwe,NGO,Number,,,,,,,,,13,,,
Buikwe,Private,Number,,,,,,,,,0,,,
Buikwe,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.1,1,1.1,1
Buikwe,Pit Latrine Coverage,Number,,,,,,,90,,,,,
Buikwe,"Pit Latrine Coverage in households, Percent",%,,,,,,,,63,63,63,75,
Buikwe,Deliveries in Health Facilities,Number,,,,,,,76,,,,,
Buikwe,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,37,38,39,44,44
Buikwe,Countrywide routine immunization rates for measles,%,,,,,,,,,,98,,84
Buikwe,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,100,,93
Buikwe,Countrywide routine immunization rates for DPT3,%,,,,,,,76,,,98,,95
Buikwe,Countrywide routine immunization rates for BCG,%,,,,,,,,,,92,,95
Buikwe,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,69,100,100,127
Buikwe,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,35,50,51,57,57
Buikwe,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,30,29,34,32
Mityana,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Mityana,"Number of Health Units, Health Center",Number,,44,44,,52,55,,,,,,
Mityana,Total,Number,,,,,200,100,,,53,,,
Mityana,Government,Number,,,,,100,100,,,32,,,
Mityana,PHP,Number,,,,,100,,,,,,,
Mityana,NGO,Number,,,,,,,,,21,,,
Mityana,Private,Number,,,,,,,,,0,,,
Mityana,Out Patient Department Utilisation in Government and PNFP,Number,,,1.3,1.2,1.3,1.3,1.4,,,,,
Mityana,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.3,1.1,1.2,1.1
Mityana,Pit Latrine Coverage,Number,,,72,85,76,85,58,,,,,
Mityana,"Pit Latrine Coverage in households, Percent",%,,,,,,,,9,88,88,89,
Mityana,Deliveries in Health Facilities,Number,,,34,39,40,46,52,,,,,
Mityana,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,53,57,58,64,68
Mityana,Countrywide routine immunization rates for measles,%,,56,68,86,87,85,,,,107,,229
Mityana,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,121,,95
Mityana,Countrywide routine immunization rates for OPV3,%,,54,84,100,94,90,,,,,,
Mityana,Countrywide routine immunization rates for DPT3,%,,58,77,97,88,92,102,,,119,,105
Mityana,Countrywide routine immunization rates for BCG,%,,51,91,100,102,98,,,,129,,107
Mityana,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,56,57,57,96
Mityana,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,43,53,54,57,62
Mityana,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,35,36,40,43
Sembabule,"Number of Health Units, Hospitals",Number,,0,,,,,,,,,,
Sembabule,"Number of Health Units, Health Center",Number,,24,21,,23,23,,,,,,
Sembabule,Total,Number,,,,,,,,,24,,,
Sembabule,Government,Number,,,,,,,,,20,,,
Sembabule,NGO,Number,,,,,,,,,3,,,
Sembabule,Private,Number,,,,,,,,,1,,,
Sembabule,Out Patient Department Utilisation in Government and PNFP,Number,,,1.2,0.7,0.7,0.9,0.8,,,,,
Sembabule,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.8,0.5,0.7,0.7
Sembabule,Pit Latrine Coverage,Number,,,52,55,57,60,87,,,,,
Sembabule,"Pit Latrine Coverage in households, Percent",%,,,,,,,,65,65,70,71,
Sembabule,Deliveries in Health Facilities,Number,,,16,16,15,15,14,,,,,
Sembabule,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,55,18,19,16,19
Sembabule,Countrywide routine immunization rates for measles,%,77,71,84,67,54,56,,,,80,,103
Sembabule,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,85,,112
Sembabule,Countrywide routine immunization rates for OPV3,%,77,73,84,67,51,50,,,,,,
Sembabule,Countrywide routine immunization rates for DPT3,%,74,76,84,67,58,80,107,,,85,,111
Sembabule,Countrywide routine immunization rates for BCG,%,97,97,91,74,60,62,,,,85,,88
Sembabule,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,24,25,40,229
Sembabule,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,79,41,42,40,36
Sembabule,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,26,27,22,18
Luweero,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Luweero,"Number of Health Units, Health Center",Number,,54,57,,67,77,,,,,,
Luweero,Total,Number,,,,,500,250,,,39,,,
Luweero,Government,Number,,,,,250,250,,,14,,,
Luweero,PNFP (Private Not Profit),Number,,,,,250,,,,,,,
Luweero,NGO,Number,,,,,,,,,22,,,
Luweero,Private,Number,,,,,,,,,3,,,
Luweero,Out Patient Department Utilisation in Government and PNFP,Number,,,0.8,0.8,0.7,0.7,0.6,,,,,
Luweero,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.4,1.2,1.3,1.1
Luweero,Pit Latrine Coverage,Number,,,55,73,78,78,84,,,,,
Luweero,"Pit Latrine Coverage in households, Percent",%,,,,,,,,78,90,76,78,
Luweero,Deliveries in Health Facilities,Number,,,31,31,25,21,39,,,,,
Luweero,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,31,47,62,55,60
Luweero,Countrywide routine immunization rates for measles,%,66,56,72,49,40,41,,,,122,,97
Luweero,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,144,,104
Luweero,Countrywide routine immunization rates for OPV3,%,66,55,66,48,36,36,,,,,,
Luweero,Countrywide routine immunization rates for DPT3,%,66,54,68,45,44,53,74,,,131,,111
Luweero,Countrywide routine immunization rates for BCG,%,68,61,65,50,39,45,,,,118,,97
Luweero,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,50,51,51,86
Luweero,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,38,54,55,62,64
Luweero,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,78,79,41,46
Gomba,Total,Number,,,,,,,,,19,,,
Gomba,Government,Number,,,,,,,,,17,,,
Gomba,NGO,Number,,,,,,,,,2,,,
Gomba,Private,Number,,,,,,,,,0,,,
Gomba,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.8,,,,,
Gomba,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.1,0.9,0.9,0.9
Gomba,Pit Latrine Coverage,Number,,,,,,,57,,,,,
Gomba,"Pit Latrine Coverage in households, Percent",%,,,,,,,,53,53,63,55,
Gomba,Deliveries in Health Facilities,Number,,,,,,,14,,,,,
Gomba,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,14,22,23,26,34
Gomba,Countrywide routine immunization rates for measles,%,,,,,,,,,,86,,94
Gomba,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,100,,113
Gomba,Countrywide routine immunization rates for DPT3,%,,,,,,,89,,,100,,118
Gomba,Countrywide routine immunization rates for BCG,%,,,,,,,,,,90,,84
Gomba,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,23,24,24,162
Gomba,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,25,42,43,47,52
Gomba,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,19,20,22,34
Rakai,"Number of Health Units, Hospitals",Number,,2,,,,,,,,,,
Rakai,"Number of Health Units, Health Center",Number,,85,65,,92,105,,,,,,
Rakai,Total,Number,,,,,608,304,,,99,,,
Rakai,Government,Number,,,,,304,304,,,69,,,
Rakai,PHP,Number,,,,,304,,,,,,,
Rakai,NGO,Number,,,,,,,,,24,,,
Rakai,Private,Number,,,,,,,,,6,,,
Rakai,Out Patient Department Utilisation in Government and PNFP,Number,,,1.2,0.8,1,1,1.1,,,,,
Rakai,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.7,1.6,1.5,1.5
Rakai,Pit Latrine Coverage,Number,,,76,83,84,84,62,,,,,
Rakai,"Pit Latrine Coverage in households, Percent",%,,,,,,,,76,84,86,86,
Rakai,Deliveries in Health Facilities,Number,,,25,27,28,29,31,,,,,
Rakai,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,15,47,48,47,54
Rakai,Countrywide routine immunization rates for measles,%,75,97,81,62,72,71,,,,80,,91
Rakai,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,96,,98
Rakai,Countrywide routine immunization rates for OPV3,%,83,56,76,67,76,75,,,,,,
Rakai,Countrywide routine immunization rates for DPT3,%,85,56,77,69,79,65,102,,,108,,96
Rakai,Countrywide routine immunization rates for BCG,%,94,68,84,75,82,83,,,,98,,91
Rakai,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,47,48,48,147
Rakai,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,20,64,65,58,59
Rakai,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,43,44,43,44
Bukomansimbi,Total,Number,,,,,,,,,13,,,
Bukomansimbi,Government,Number,,,,,,,,,7,,,
Bukomansimbi,NGO,Number,,,,,,,,,6,,,
Bukomansimbi,Private,Number,,,,,,,,,0,,,
Bukomansimbi,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.6,,,,,
Bukomansimbi,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.7,0.7,0.8,0.8
Bukomansimbi,"Pit Latrine Coverage in households, Percent",%,,,,,,,,89,89,80,92,
Bukomansimbi,Deliveries in Health Facilities,Number,,,,,,,17,,,,,
Bukomansimbi,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,18,15,19,22,28
Bukomansimbi,Countrywide routine immunization rates for measles,%,,,,,,,,,,131,,63
Bukomansimbi,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,113,,67
Bukomansimbi,Countrywide routine immunization rates for DPT3,%,,,,,,,115,,,129,,68
Bukomansimbi,Countrywide routine immunization rates for BCG,%,,,,,,,,,,101,,67
Bukomansimbi,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,28,100,100,205
Bukomansimbi,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,28,30,34,38,37
Bukomansimbi,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,19,23,21,23
Nakaseke,"Number of Health Units, Hospitals",Number,,2,,,,,,,,,,
Nakaseke,"Number of Health Units, Health Center",Number,,18,19,,9,22,,,,,,
Nakaseke,Total,Number,,,,,,,,,24,,,
Nakaseke,Government,Number,,,,,,,,,18,,,
Nakaseke,NGO,Number,,,,,,,,,6,,,
Nakaseke,Private,Number,,,,,,,,,0,,,
Nakaseke,Out Patient Department Utilisation in Government and PNFP,Number,,,1.2,1.1,1,1.1,1,,,,,
Nakaseke,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.4,1.2,1.3,1.3
Nakaseke,Pit Latrine Coverage,Number,,,67,74,80,83,73,,,,,
Nakaseke,"Pit Latrine Coverage in households, Percent",%,,,,,,,,76,80,83,84,
Nakaseke,Deliveries in Health Facilities,Number,,,51,51,48,49,65,,,,,
Nakaseke,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,47,58,59,63,79
Nakaseke,Countrywide routine immunization rates for measles,%,,75,64,50,59,56,,,,78,,266
Nakaseke,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,83,,91
Nakaseke,Countrywide routine immunization rates for OPV3,%,,66,63,47,53,56,,,,,,
Nakaseke,Countrywide routine immunization rates for DPT3,%,,70,62,48,69,57,71,,,81,,93
Nakaseke,Countrywide routine immunization rates for BCG,%,,90,87,75,73,72,,,,109,,118
Nakaseke,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,38,67,67,72
Nakaseke,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,39,52,54,57,69
Nakaseke,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,28,33,32,35
Lyantonde,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Lyantonde,"Number of Health Units, Health Center",Number,,9,9,,19,28,,,,,,
Lyantonde,Total,Number,,,,,200,100,,,28,,,
Lyantonde,Government,Number,,,,,100,100,,,19,,,
Lyantonde,PNFP (Private Not Profit),Number,,,,,100,,,,,,,
Lyantonde,NGO,Number,,,,,,,,,2,,,
Lyantonde,Private,Number,,,,,,,,,7,,,
