VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
Year,Year,Key Identifier,"",0,,"","",Year
Nfhs survey number ( nfhs - 4 or nfhs - 5 ),D6821_5,Key Identifier,"",0,,"","",NFHS survey number NFHS-4 or NFHS-5
Residence type,TRU,Key Identifier,"",0,,"","",Residence type (rural or urban or total)
Women having a bank or savings account that they themselves use (%),I6821_6,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women's empowerment-women age 15 to 49 years who are having a bank or savings account that they themselves use (%)
Adolescent fertility rate for women age 15 to 19 years (%),I6821_7,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Marriage and fertility-adolescent fertility rate for women age 15 to 19 years (equivalent to the age-specific fertility rate for the 3-year period preceding the survey, expressed in terms of births per 1,000 women age 15 to 19) (%)"
Women age group 15 to 19 years who are anaemic (%),I6821_8,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Women of age 15 to 19 years who are anaemic (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NHFS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Women age group 15 to 49 years who are anaemic (%),I6821_9,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults-all women age 15 to 19 years who are anaemic (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
