"MinDate","ScalingFactors","MeasurementMethods","StatVar","observationPeriods","Units","NumPlaces"
"2006","[]","[]","Median_Income_Household_With1Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With5Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With2Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With6Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With8Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With7Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With3Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With1Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With4Person_150Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With4Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With3Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With5Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With2Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With8Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With7Person_80Percentile","[P1Y]","[USDollar]","5170"
"2006","[]","[]","Median_Income_Household_With6Person_80Percentile","[P1Y]","[USDollar]","5170"
