Country,Variable,Year,Value
Spain,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1980,
Spain,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,15
Spain,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,60
Spain,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,57.21
Spain,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,57.21
Lithuania,Total connected to wastewater treatment,2010,72.31
Lithuania,Total connected to wastewater treatment,2015,76.66
Lithuania,Total connected to wastewater treatment,2016,77.48
Lithuania,Total connected to wastewater treatment,2017,77.6
Lithuania,Total connected to wastewater treatment,2018,78.78
Lithuania,Total connected to wastewater treatment,2019,79.22
Lithuania,Total connected to wastewater treatment,2020,79.44
Lithuania,Total connected to wastewater treatment,2021,79.7705
Mexico,Total connected to wastewater treatment,1990,8.6
Mexico,Total connected to wastewater treatment,2000,34.3
Mexico,Total connected to wastewater treatment,2005,50.9
Mexico,Total connected to wastewater treatment,2010,61.8
Germany,Population connected to independent treatment,2005,2.7
Germany,Population connected to independent treatment,2010,3.6
Germany,Population connected to independent treatment,2015,2.52
Germany,Population connected to independent treatment,2016,2.166
Germany,Population connected to independent treatment,2017,2.1239
Germany,Population connected to independent treatment,2018,2.0821
Germany,Population connected to independent treatment,2019,2.0403
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),1970,55
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),1980,65.4
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),1990,72.6
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2000,72.4
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2005,76.7
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,82.3
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2015,84.3
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,84.7
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,85.6
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,85.5
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,85.5
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,86.2
Czech Republic,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,87.5
Canada,Total connected to wastewater treatment,2015,98.2
Canada,Total connected to wastewater treatment,2016,98.3
Canada,Total connected to wastewater treatment,2017,98.3
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1970,
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1980,1
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1990,1
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,7.551
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,6.9108
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,6.7559
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,6.9547
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,6.5779
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,6.7456
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,6.7557
Norway,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,6.921
Austria,Public total treatment (connected to a wastewater treatment plant),1970,17
Austria,Public total treatment (connected to a wastewater treatment plant),1980,38
Austria,Public total treatment (connected to a wastewater treatment plant),1990,72
Austria,Public total treatment (connected to a wastewater treatment plant),2000,85.4
Austria,Public total treatment (connected to a wastewater treatment plant),2010,93.9
Austria,Public total treatment (connected to a wastewater treatment plant),2016,95.2
Austria,Public total treatment (connected to a wastewater treatment plant),2018,95.95
Austria,Public total treatment (connected to a wastewater treatment plant),2019,95.95
Austria,Public total treatment (connected to a wastewater treatment plant),2020,96.04
Austria,Public total treatment (connected to a wastewater treatment plant),2021,96.04
United Kingdom,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,
United Kingdom,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,
United Kingdom,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,
