census_location_id,TRU,columnName,Value,StatisticalVariable,Year,Region
COI2011-00-000-00000-000000-0000-000000,Total,No_HH_Head,21511528,Count_Household_ScheduleTribe,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,No_HH_Head,19302332,Count_Household_ScheduleTribe_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,No_HH_Head,2209196,Count_Household_ScheduleTribe_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,No_HH_Head,260401,Count_Household_ScheduleTribe,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,No_HH_Head,245038,Count_Household_ScheduleTribe_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,No_HH_Head,15363,Count_Household_ScheduleTribe_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_P,104545716,Count_Person_ScheduleTribe,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_P,94083844,Count_Person_ScheduleTribe_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_P,10461872,Count_Person_ScheduleTribe_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_P,1493299,Count_Person_ScheduleTribe,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_P,1406833,Count_Person_ScheduleTribe_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_P,86466,Count_Person_ScheduleTribe_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_M,52547215,Count_Person_ScheduleTribe_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_M,47263733,Count_Person_ScheduleTribe_Rural_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_M,5283482,Count_Person_ScheduleTribe_Urban_Male,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_M,776257,Count_Person_ScheduleTribe_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_M,730075,Count_Person_ScheduleTribe_Rural_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_M,46182,Count_Person_ScheduleTribe_Urban_Male,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_F,51998501,Count_Person_ScheduleTribe_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_F,46820111,Count_Person_ScheduleTribe_Rural_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_F,5178390,Count_Person_ScheduleTribe_Urban_Female,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_F,717042,Count_Person_ScheduleTribe_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_F,676758,Count_Person_ScheduleTribe_Rural_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_F,40284,Count_Person_ScheduleTribe_Urban_Female,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,P_06,16738830,Count_Person_ScheduleTribe_YearsUpto6,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,P_06,15398462,Count_Person_ScheduleTribe_YearsUpto6_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,P_06,1340368,Count_Person_ScheduleTribe_YearsUpto6_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,P_06,303118,Count_Person_ScheduleTribe_YearsUpto6,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,P_06,291256,Count_Person_ScheduleTribe_YearsUpto6_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,P_06,11862,Count_Person_ScheduleTribe_YearsUpto6_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,M_06,8553722,Count_Person_ScheduleTribe_YearsUpto6_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,M_06,7862756,Count_Person_ScheduleTribe_YearsUpto6_Rural_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,M_06,690966,Count_Person_ScheduleTribe_YearsUpto6_Urban_Male,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,M_06,158571,Count_Person_ScheduleTribe_YearsUpto6_Male,2011,dcid:wikidataId/Q66278313
