egex,prop,value,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,,,,
,,,,,,,,,,,,,,,,,,,,,,
Region,observationAbout,{Data},statType,measuredValue,,,,,,,,,,,,,,,,,,
"Infant mortality rate, Female, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,gender,Female,measuredProperty,count,scalingFactor,1000,ageGroupClassification,Infant,measurementDenominator,dcs:Count_BirthEvent_LiveBirth,name,"""Number of female infants who die within the first year of life per 1000 female infants born alive""",,,,,,
"Infant mortality rate, Male, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,gender,Male,measuredProperty,count,scalingFactor,1000,ageGroupClassification,Infant,measurementDenominator,dcs:Count_BirthEvent_LiveBirth,name,"""Number of male infants who die before their first birthday per 1000 live male births""",,,,,,
"Infant mortality rate, Rural, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Rural,scalingFactor,1000,ageGroupClassification,Infant,measurementDenominator,dcs:Count_BirthEvent_LiveBirth,name,"""Number of rural infants who die within the first year of life per 1000 female infants born alive""",,,,,,
"Infant mortality rate, Total, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,scalingFactor,1000,ageGroupClassification,Infant,measurementDenominator,dcid:Count_BirthEvent_LiveBirth,,,name,"""Number of total infants who die within the first year of life per 1000 female infants born alive""",,,,,,
"Infant mortality rate, Total: 0-4 yrs preceding survey   , Deahs per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Infant mortality rate, Total: 10-14 yrs preceding survey  , Deahs per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Infant mortality rate, Total: 5-9 yrs preceding survey    , Deahs per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Infant mortality rate, Urban, Deahs per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Urban,scalingFactor,1000,ageGroupClassification,Infant,measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",name,"""Number of infants who die before their first birthday per 1000 live births in urban areas""",,,,,,
"Under-five mortality rate, Female, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,gender,Female,measuredProperty,count,scalingFactor,1000,age,[- 5 Years],measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",name,"""Number of female children who die before their fifth birthday per 1000 live female births""",,,,,,
egex,populationType,MortalityEvent,statType,measuredValue,gender,Male,measuredProperty,count,scalingFactor,1000,measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",age,[- 5 Years],name,"""Number of male children who die before their fifth birthday per 1000 live male births""",,,,,,
"Under-five mortality rate, Rural, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Rural,scalingFactor,1000,measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",age,[- 5 Years],name,"""Number of children under five who die per 1000 live births in rural areas""",,,,,,
"Under-five mortality rate, Total, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,scalingFactor,1000,measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",age,[- 5 Years],,,name,"""Number of children who die before their fifth birthday per 1000 live births""",,,,,,
"Under-five mortality rate, Total: 0-4 yrs preceding survey   , Deaths per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Under-five mortality rate, Total: 10-14 yrs preceding survey  , Deaths per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Under-five mortality rate, Total: 5-9 yrs preceding survey    , Deaths per 1000 live births",#ignore,ignore values,,,,,,,,,,,,,,,,,,,,
"Under-five mortality rate, Urban, Deaths per 1000 live births",populationType,MortalityEvent,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Urban,scalingFactor,1000,measurementDenominator,"-name,+populationType=BirthEvent,+medicalStatus=LiveBirth",,,name,"""Number of children under five who die in urban areas per 1000 live births""",,,,,,
"Measles immunization coverage, Total, Percent",populationType,Person,statType,measuredValue,measuredProperty,count,vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",unit,Percent,name,"""Percentage of the total population vaccinated against measles""",,,,,,
"Proportion of 1 year-old children immunized against measles, Female, Percent",populationType,Child,statType,measuredValue,measuredProperty,count,gender,Female,unit,Percent,age,[1 Years],vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",,,name,"""Proportion of female infants aged 12 months who have been vaccinated against measles"""
"Proportion of 1 year-old children immunized against measles, Male, Percent",populationType,Child,statType,measuredValue,measuredProperty,count,gender,Male,unit,Percent,age,[1 Years],vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",,,name,"""Percentage of one-year-old boys who have received the measles vaccine"""
"Proportion of 1 year-old children immunized against measles, Rural, Percent",populationType,Child,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Rural,unit,Percent,age,[1 Years],vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",,,name,"""Percentage of 1-year-old children in rural areas who have received the measles vaccine"""
"Proportion of 1 year-old children immunized against measles, Total, Percent",populationType,Child,statType,measuredValue,measuredProperty,count,unit,Percent,age,[1 Years],vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",,,,,name,"""Percentage of 1-year-old children who have received the measles vaccine"""
"Proportion of 1 year-old children immunized against measles, Urban, Percent",populationType,Child,statType,measuredValue,measuredProperty,count,placeOfResidenceClassification,Urban,unit,Percent,age,[1 Years],vaccineStatus,VaccineAdministered,vaccineType,Measles,measurementDenominator,"-name,-vaccineStatus, -vaccineType",,,name,"""Percentage of 1-year-old children in urban areas who have received the measles vaccine"""
"Condom use at last high, Female 15-24 yr, Percent",populationType,Person,statType,measuredValue,measuredProperty,count,gender,Female,unit,Percent,age,[15 24 Years],birthControlMethod,UsageCondom,measurementDenominator,"-name,-birthControlMethod",lastIntercourseType,HighRiskIntercourse,,,name,"""Percentage of young women aged 15-24 who used a condom during their most recent sexual encounter"""
