"msa","pmsa","county","state","county_fips","state_fips"
NA,NA,"Aleutians East","AK",13,2
NA,NA,"Aleutians West","AK",16,2
380,NA,"Anchorage","AK",20,2
NA,NA,"Bethel","AK",50,2
NA,NA,"Bristol Bay","AK",60,2
NA,NA,"Denali","AK",68,2
NA,NA,"Dillingham","AK",70,2
NA,NA,"Fairbanks North Star","AK",90,2
NA,NA,"Haines","AK",100,2
NA,NA,"Juneau","AK",110,2
NA,NA,"Kenai Peninsula","AK",122,2
NA,NA,"Ketchikan Gateway","AK",130,2
NA,NA,"Kodiak Island","AK",150,2
NA,NA,"Lake and Peninsula","AK",164,2
NA,NA,"Matanuska-Susitna","AK",170,2
NA,NA,"Nome","AK",180,2
NA,NA,"North Slope","AK",185,2
NA,NA,"Northwest Arctic","AK",188,2
NA,NA,"Prince of Wales-Outer Ketchika","Prince of Wales-Outer Ketchika",201,2
NA,NA,"Sitka","AK",220,2
NA,NA,"Skagway-Hoonah-Angoon","AK",232,2
NA,NA,"Southeast Fairbanks","AK",240,2
NA,NA,"Valdez-Cordova","AK",261,2
NA,NA,"Wade Hampton","AK",270,2
NA,NA,"Wrangell-Petersburg","AK",280,2
NA,NA,"Yakutat","AK",282,2
NA,NA,"Yukon-Koyukuk","AK",290,2
5240,NA,"Autauga","AL",1,1
5160,NA,"Baldwin","AL",3,1
NA,NA,"Barbour","AL",5,1
NA,NA,"Bibb","AL",7,1
1000,NA,"Blount","AL",9,1
NA,NA,"Bullock","AL",11,1
NA,NA,"Butler","AL",13,1
450,NA,"Calhoun","AL",15,1
NA,NA,"Chambers","AL",17,1
NA,NA,"Cherokee","AL",19,1
NA,NA,"Chilton","AL",21,1
NA,NA,"Choctaw","AL",23,1
NA,NA,"Clarke","AL",25,1
NA,NA,"Clay","AL",27,1
NA,NA,"Cleburne","AL",29,1
NA,NA,"Coffee","AL",31,1
2650,NA,"Colbert","AL",33,1
NA,NA,"Conecuh","AL",35,1
NA,NA,"Coosa","AL",37,1
NA,NA,"Covington","AL",39,1
NA,NA,"Crenshaw","AL",41,1
NA,NA,"Cullman","AL",43,1
2180,NA,"Dale","AL",45,1
NA,NA,"Dallas","AL",47,1
NA,NA,"De Kalb","AL",49,1
5240,NA,"Elmore","AL",51,1
NA,NA,"Escambia","AL",53,1
2880,NA,"Etowah","AL",55,1
NA,NA,"Fayette","AL",57,1
NA,NA,"Franklin","AL",59,1
NA,NA,"Geneva","AL",61,1
NA,NA,"Greene","AL",63,1
NA,NA,"Hale","AL",65,1
NA,NA,"Henry","AL",67,1
2180,NA,"Houston","AL",69,1
NA,NA,"Jackson","AL",71,1
1000,NA,"Jefferson","AL",73,1
NA,NA,"Lamar","AL",75,1
2650,NA,"Lauderdale","AL",77,1
2030,NA,"Lawrence","AL",79,1
NA,NA,"Lee","AL",81,1
3440,NA,"Limestone","AL",83,1
NA,NA,"Lowndes","AL",85,1
NA,NA,"Macon","AL",87,1
3440,NA,"Madison","AL",89,1
NA,NA,"Marengo","AL",91,1
NA,NA,"Marion","AL",93,1
NA,NA,"Marshall","AL",95,1
5160,NA,"Mobile","AL",97,1
NA,NA,"Monroe","AL",99,1
5240,NA,"Montgomery","AL",101,1
2030,NA,"Morgan","AL",103,1
NA,NA,"Perry","AL",105,1
NA,NA,"Pickens","AL",107,1
NA,NA,"Pike","AL",109,1
NA,NA,"Randolph","AL",111,1
1800,NA,"Russell","AL",113,1
1000,NA,"St. Clair","AL",115,1
1000,NA,"Shelby","AL",117,1
NA,NA,"Sumter","AL",119,1
NA,NA,"Talladega","AL",121,1
NA,NA,"Tallapoosa","AL",123,1
8600,NA,"Tuscaloosa","AL",125,1
NA,NA,"Walker","AL",127,1
NA,NA,"Washington","AL",129,1
NA,NA,"Wilcox","AL",131,1
NA,NA,"Winston","AL",133,1
NA,NA,"Apache","AZ",1,4
NA,NA,"Cochise","AZ",3,4
NA,NA,"Coconino","AZ",5,4
