Key ,p1 ,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Occupation and age,observationAbout,country/USA,populationType,Person,observationDate,2023,employmentStatus,Employed,measuredProperty,earnings,,
All occupations,occupation,"""""",,,,,,,,,,
All occupations:29 and younger,age,[- 29 Years],,,,,,,,,,
All degrees:Total,value,{Number},,,,,,,,,,
All degrees:Female,value ,{Number},gender,Female,,,,,,,,
All degrees:Male,value ,{Number},gender,Male,,,,,,,,
Bachelor's:Total,educationalAttainment,BachelorsDegree,value,{Number},,,,,,,,
Bachelor's:Female,educationalAttainment,BachelorsDegree,value,{Number},gender,Female,,,,,,
Bachelor's:Male,educationalAttainment,BachelorsDegree,value,{Number},gender,Male,,,,,,
Master's:Total,educationalAttainment,MastersDegree,value,{Number},,,,,,,,
Master's:Female,educationalAttainment,MastersDegree,value,{Number},gender ,Female,,,,,,
Master's:Male,educationalAttainment,MastersDegree,value,{Number},gender ,Male,,,,,,
Doctorate:Total,educationalAttainment,DoctorateDegree,value,{Number},,,,,,,,
Doctorate:Female,educationalAttainment,DoctorateDegree,value,{Number},gender,Female,,,,,,
Doctorate:Male,educationalAttainment,DoctorateDegree,value,{Number},gender,Male,,,,,,
Professional:Total,occupationalCategory,Professional,value,{Number},,,,,,,,
Professional:Female,occupationalCategory,Professional,value,{Number},gender,Female,,,,,,
Professional:Male,occupationalCategory,Professional,value,{Number},gender,Male,,,,,,
D,#ignore,empty value,,,,,,,,,,
S,#ignore,empty value,,,,,,,,,,
All occupations:30–39,age,[30 39 Years],,,,,,,,,,
All occupations:40–49,age ,[40 49 Years],,,,,,,,,,
All occupations:50–75,age ,[50 75 Years],,,,,,,,,,
S&E occupations,occupation,ScienceAndEngineering,,,,,,,,,,
S&E occupations:29 and younger,age,[- 29 Years],occupation,ScienceAndEngineering,,,,,,,,
S&E occupations:30–39,age,[30 39 Years],occupation,ScienceAndEngineering,,,,,,,,
S&E occupations:40–49,age ,[40 49 Years],occupation,ScienceAndEngineering,,,,,,,,
S&E occupations:50–75,age ,[50 75 Years],occupation,ScienceAndEngineering,,,,,,,,
"Biological, agricultural, and other life scientists",occupation,SOCv2018/19-1029,,,,,,,,,,
"Biological, agricultural, and other life scientists:29 and younger",age,[- 29 Years],occupation,SOCv2018/19-1029,,,,,,,,
"Biological, agricultural, and other life scientists:30–39",age,[30 39 Years],occupation,SOCv2018/19-1029,,,,,,,,
"Biological, agricultural, and other life scientists:40–49",age ,[40 49 Years],occupation,SOCv2018/19-1029,,,,,,,,
"Biological, agricultural, and other life scientists:50–75",age ,[50 75 Years],occupation,SOCv2018/19-1029,,,,,,,,
Computer and mathematical scientists,occupation,SOCv2018/15-0000,,,,,,,,,,
Computer and mathematical scientists:29 and younger,age,[- 29 Years],occupation,SOCv2018/15-0000,,,,,,,,
Computer and mathematical scientists:30–39,age,[30 39 Years],occupation,SOCv2018/15-0000,,,,,,,,
Computer and mathematical scientists:40–49,age ,[40 49 Years],occupation,SOCv2018/15-0000,,,,,,,,
Computer and mathematical scientists:50–75,age ,[50 75 Years],occupation,SOCv2018/15-0000,,,,,,,,
Physical and related scientists,occupation,SOCv2018/19-2000,,,,,,,,,,
Physical and related scientists:29 and younger,age,[- 29 Years],occupation,SOCv2018/19-2000,,,,,,,,
Physical and related scientists:30–39,age,[30 39 Years],occupation,SOCv2018/19-2000,,,,,,,,
Physical and related scientists:40–49,age ,[40 49 Years],occupation,SOCv2018/19-2000,,,,,,,,
Physical and related scientists:50–75,age ,[50 75 Years],occupation,SOCv2018/19-2000,,,,,,,,
Social and related scientists,occupation,SOCv2018/19-3000,,,,,,,,,,
Social and related scientists:29 and younger,age,[- 29 Years],occupation,SOCv2018/19-3000,,,,,,,,
Social and related scientists:30–39,age,[30 39 Years],occupation,SOCv2018/19-3000,,,,,,,,
Social and related scientists:40–49,age ,[40 49 Years],occupation,SOCv2018/19-3000,,,,,,,,
Social and related scientists:50–75,age ,[50 75 Years],occupation,SOCv2018/19-3000,,,,,,,,
Engineers,occupation,SOCv2018/17-2000,,,,,,,,,,
Engineers:29 and younger,age,[- 29 Years],occupation,SOCv2018/17-2000,,,,,,,,
Engineers:30–39,age,[30 39 Years],occupation,SOCv2018/17-2000,,,,,,,,
Engineers:40–49,age ,[40 49 Years],occupation,SOCv2018/17-2000,,,,,,,,
Engineers:50–75,age ,[50 75 Years],occupation,SOCv2018/17-2000,,,,,,,,
S&E-related occupations,occupation,ScienceAndEngineeringRelated,,,,,,,,,,
S&E-related occupations:29 and younger,age,[- 29 Years],occupation,ScienceAndEngineeringRelated,,,,,,,,
S&E-related occupations:30–39,age,[30 39 Years],occupation,ScienceAndEngineeringRelated,,,,,,,,
S&E-related occupations:40–49,age ,[40 49 Years],occupation,ScienceAndEngineeringRelated,,,,,,,,
S&E-related occupations:50–75,age ,[50 75 Years],occupation,ScienceAndEngineeringRelated,,,,,,,,
Non-S&E occupations,occupation,NonScienceAndEngineering,,,,,,,,,,
Non-S&E occupations:29 and younger,age,[- 29 Years],occupation,NonScienceAndEngineering,,,,,,,,
Non-S&E occupations:30–39,age,[30 39 Years],occupation,NonScienceAndEngineering,,,,,,,,
Non-S&E occupations:40–49,age ,[40 49 Years],occupation,NonScienceAndEngineering,,,,,,,,
Non-S&E occupations:50–75,age ,[50 75 Years],occupation,NonScienceAndEngineering,,,,,,,,
"Median annual salary of full-time employed college graduates, by major occupation, age, level of highest degree, and sex: 2023",observationAbout,country/USA,populationType,Person,observationDate,2023,employmentStatus,Employed,measuredProperty,earnings,statType,medianValue
